v_lab_kms,delta_keV,N_SHM,N_stream_pure,boost_f0.001,boost_f0.01,boost_f0.05,f_s_for_one_event
750,350,27.51,5225,1.189,2.889,10.44,
750,365,3.318,643.4,1.193,2.929,10.64,
750,370,1.462,302.5,1.206,3.059,11.3,
750,380,0.3131,62.81,1.2,2.996,10.98,0.01099
750,385,0.1422,27.42,1.192,2.919,10.59,0.03145
780,350,27.51,4.54e+04,2.649,17.49,83.45,
780,365,3.318,1.099e+04,4.311,34.11,166.6,
780,370,1.462,6242,5.269,43.69,214.4,
780,380,0.3131,1820,6.813,59.13,291.6,0.0003774
780,385,0.1422,947.5,7.664,67.64,334.2,0.0009055
800,350,27.51,1.073e+05,4.901,40.01,196,
800,365,3.318,4.006e+04,13.07,121.7,604.6,
800,370,1.462,2.632e+04,19,181,901,
800,380,0.3131,1.002e+04,32.99,320.9,1601,6.857e-05
800,385,0.1422,5829,42,411,2051,0.0001472
810,350,27.51,1.44e+05,6.233,53.33,262.6,
810,365,3.318,6.479e+04,20.52,196.2,977.2,
810,370,1.462,4.561e+04,32.2,313,1561,
810,380,0.3131,1.996e+04,64.76,638.6,3189,3.44e-05
810,385,0.1422,1.239e+04,88.18,872.8,4360,6.922e-05
