delta_keV,v_lab_kms,N_SHM,N_stream_pure,N_f0.01,N_f0.05,N_f0.2,boost_f0.01,boost_f0.05,boost_f0.2
445,775,0,0.0091056,9.1056e-05,0.00045528,0.0018211,inf,inf,inf
445,800,0,1.1927,0.011927,0.059633,0.23853,inf,inf,inf
445,825,0,42.022,0.42022,2.1011,8.4044,inf,inf,inf
445,850,0,504,5.04,25.2,100.8,inf,inf,inf
445,875,0,3387.6,33.876,169.38,677.51,inf,inf,inf
445,900,0,16535,165.35,826.73,3306.9,inf,inf,inf
445,925,0,51161,511.61,2558,10232,inf,inf,inf
445,950,0,1.0416e+05,1041.6,5207.8,20831,inf,inf,inf
445,975,0,1.5909e+05,1590.9,7954.5,31818,inf,inf,inf
445,1000,0,2.0181e+05,2018.1,10091,40363,inf,inf,inf
450,600,0,0,0,0,0,inf,inf,inf
450,625,0,0,0,0,0,inf,inf,inf
450,650,0,0,0,0,0,inf,inf,inf
450,675,0,0,0,0,0,inf,inf,inf
450,700,0,7.1749e-14,7.1749e-16,3.5874e-15,1.435e-14,inf,inf,inf
450,725,0,1.0764e-09,1.0764e-11,5.3819e-11,2.1528e-10,inf,inf,inf
450,750,0,3.3538e-06,3.3538e-08,1.6769e-07,6.7076e-07,inf,inf,inf
450,775,0,0.002449,2.449e-05,0.00012245,0.0004898,inf,inf,inf
450,800,0,0.43586,0.0043586,0.021793,0.087171,inf,inf,inf
450,825,0,20.314,0.20314,1.0157,4.0629,inf,inf,inf
450,850,0,296.23,2.9623,14.811,59.245,inf,inf,inf
450,875,0,2107.1,21.071,105.35,421.42,inf,inf,inf
450,900,0,11031,110.31,551.57,2206.3,inf,inf,inf
450,925,0,38423,384.23,1921.1,7684.6,inf,inf,inf
450,950,0,86357,863.57,4317.9,17271,inf,inf,inf
450,975,0,1.4123e+05,1412.3,7061.7,28247,inf,inf,inf
450,1000,0,1.8781e+05,1878.1,9390.5,37562,inf,inf,inf
455,600,0,0,0,0,0,inf,inf,inf
455,625,0,0,0,0,0,inf,inf,inf
455,650,0,0,0,0,0,inf,inf,inf
455,675,0,0,0,0,0,inf,inf,inf
455,700,0,4.058e-15,4.058e-17,2.029e-16,8.1161e-16,inf,inf,inf
455,725,0,1.3676e-10,1.3676e-12,6.838e-12,2.7352e-11,inf,inf,inf
455,750,0,5.9438e-07,5.9438e-09,2.9719e-08,1.1888e-07,inf,inf,inf
455,775,0,0.00060243,6.0243e-06,3.0121e-05,0.00012049,inf,inf,inf
455,800,0,0.14739,0.0014739,0.0073696,0.029478,inf,inf,inf
455,825,0,9.2357,0.092357,0.46178,1.8471,inf,inf,inf
455,850,0,169.55,1.6955,8.4776,33.91,inf,inf,inf
455,875,0,1314.5,13.145,65.725,262.9,inf,inf,inf
455,900,0,7210.7,72.107,360.54,1442.1,inf,inf,inf
455,925,0,28080,280.8,1404,5616,inf,inf,inf
455,950,0,70007,700.07,3500.4,14001,inf,inf,inf
455,975,0,1.2332e+05,1233.2,6166.2,24665,inf,inf,inf
455,1000,0,1.7274e+05,1727.4,8637.1,34549,inf,inf,inf
460,600,0,0,0,0,0,inf,inf,inf
460,625,0,0,0,0,0,inf,inf,inf
460,650,0,0,0,0,0,inf,inf,inf
460,675,0,0,0,0,0,inf,inf,inf
460,700,0,2.8832e-17,2.8832e-19,1.4416e-18,5.7664e-18,inf,inf,inf
460,725,0,1.6959e-11,1.6959e-13,8.4796e-13,3.3918e-12,inf,inf,inf
460,750,0,1.0164e-07,1.0164e-09,5.0822e-09,2.0329e-08,inf,inf,inf
460,775,0,0.00014147,1.4147e-06,7.0734e-06,2.8293e-05,inf,inf,inf
460,800,0,0.047208,0.00047208,0.0023604,0.0094416,inf,inf,inf
460,825,0,3.9752,0.039752,0.19876,0.79504,inf,inf,inf
460,850,0,93.732,0.93732,4.6866,18.746,inf,inf,inf
460,875,0,822.21,8.2221,41.11,164.44,inf,inf,inf
460,900,0,4642.8,46.428,232.14,928.56,inf,inf,inf
460,925,0,19927,199.27,996.35,3985.4,inf,inf,inf
460,950,0,55444,554.44,2772.2,11089,inf,inf,inf
460,975,0,1.0585e+05,1058.5,5292.3,21169,inf,inf,inf
460,1000,0,1.567e+05,1567,7834.9,31340,inf,inf,inf
465,600,0,0,0,0,0,inf,inf,inf
465,625,0,0,0,0,0,inf,inf,inf
465,650,0,0,0,0,0,inf,inf,inf
465,675,0,0,0,0,0,inf,inf,inf
465,700,0,0,0,0,0,inf,inf,inf
465,725,0,1.97e-12,1.97e-14,9.8498e-14,3.9399e-13,inf,inf,inf
465,750,0,1.6317e-08,1.6317e-10,8.1583e-10,3.2633e-09,inf,inf,inf
465,775,0,3.1155e-05,3.1155e-07,1.5577e-06,6.231e-06,inf,inf,inf
465,800,0,0.014189,0.00014189,0.00070945,0.0028378,inf,inf,inf
465,825,0,1.6117,0.016117,0.080583,0.32233,inf,inf,inf
465,850,0,49.62,0.4962,2.481,9.924,inf,inf,inf
465,875,0,513.56,5.1356,25.678,102.71,inf,inf,inf
465,900,0,2982.9,29.829,149.14,596.58,inf,inf,inf
465,925,0,13751,137.51,687.57,2750.3,inf,inf,inf
465,950,0,42757,427.57,2137.8,8551.3,inf,inf,inf
465,975,0,89151,891.51,4457.6,17830,inf,inf,inf
465,1000,0,1.4023e+05,1402.3,7011.6,28046,inf,inf,inf
470,600,0,0,0,0,0,inf,inf,inf
470,625,0,0,0,0,0,inf,inf,inf
470,650,0,0,0,0,0,inf,inf,inf
470,675,0,0,0,0,0,inf,inf,inf
470,700,0,0,0,0,0,inf,inf,inf
470,725,0,1.9396e-13,1.9396e-15,9.6979e-15,3.8791e-14,inf,inf,inf
470,750,0,2.3413e-09,2.3413e-11,1.1706e-10,4.6825e-10,inf,inf,inf
470,775,0,6.2099e-06,6.2099e-08,3.1049e-07,1.242e-06,inf,inf,inf
470,800,0,0.0039012,3.9012e-05,0.00019506,0.00078024,inf,inf,inf
470,825,0,0.60422,0.0060422,0.030211,0.12084,inf,inf,inf
470,850,0,24.722,0.24722,1.2361,4.9443,inf,inf,inf
470,875,0,314.23,3.1423,15.711,62.846,inf,inf,inf
470,900,0,1919.8,19.198,95.989,383.96,inf,inf,inf
470,925,0,9268.8,92.688,463.44,1853.8,inf,inf,inf
470,950,0,32111,321.11,1605.6,6422.3,inf,inf,inf
470,975,0,73546,735.46,3677.3,14709,inf,inf,inf
470,1000,0,1.2367e+05,1236.7,6183.7,24735,inf,inf,inf
475,600,0,0,0,0,0,inf,inf,inf
475,625,0,0,0,0,0,inf,inf,inf
475,650,0,0,0,0,0,inf,inf,inf
475,675,0,0,0,0,0,inf,inf,inf
475,700,0,0,0,0,0,inf,inf,inf
475,725,0,1.6354e-14,1.6354e-16,8.1769e-16,3.2708e-15,inf,inf,inf
475,750,0,3.2999e-10,3.2999e-12,1.65e-11,6.5998e-11,inf,inf,inf
475,775,0,1.1968e-06,1.1968e-08,5.9841e-08,2.3936e-07,inf,inf,inf
475,800,0,0.0010245,1.0245e-05,5.1226e-05,0.00020491,inf,inf,inf
475,825,0,0.21474,0.0021474,0.010737,0.042949,inf,inf,inf
475,850,0,11.695,0.11695,0.58475,2.339,inf,inf,inf
475,875,0,187.38,1.8738,9.3691,37.477,inf,inf,inf
475,900,0,1247.9,12.479,62.397,249.59,inf,inf,inf
475,925,0,6140.5,61.405,307.03,1228.1,inf,inf,inf
475,950,0,23444,234.44,1172.2,4688.8,inf,inf,inf
475,975,0,59320,593.2,2966,11864,inf,inf,inf
475,1000,0,1.0721e+05,1072.1,5360.7,21443,inf,inf,inf
480,600,0,0,0,0,0,inf,inf,inf
480,625,0,0,0,0,0,inf,inf,inf
480,650,0,0,0,0,0,inf,inf,inf
480,675,0,0,0,0,0,inf,inf,inf
480,700,0,0,0,0,0,inf,inf,inf
480,725,0,5.044e-16,5.044e-18,2.522e-17,1.0088e-16,inf,inf,inf
480,750,0,4.1928e-11,4.1928e-13,2.0964e-12,8.3857e-12,inf,inf,inf
480,775,0,2.1018e-07,2.1018e-09,1.0509e-08,4.2036e-08,inf,inf,inf
480,800,0,0.00024747,2.4747e-06,1.2373e-05,4.9493e-05,inf,inf,inf
480,825,0,0.070779,0.00070779,0.0035389,0.014156,inf,inf,inf
480,850,0,5.1813,0.051813,0.25906,1.0363,inf,inf,inf
480,875,0,107.15,1.0715,5.3573,21.429,inf,inf,inf
480,900,0,814.48,8.1448,40.724,162.9,inf,inf,inf
480,925,0,4041,40.41,202.05,808.2,inf,inf,inf
480,950,0,16671,166.71,833.54,3334.2,inf,inf,inf
480,975,0,46827,468.27,2341.3,9365.3,inf,inf,inf
480,1000,0,91549,915.49,4577.5,18310,inf,inf,inf
485,600,0,0,0,0,0,inf,inf,inf
485,625,0,0,0,0,0,inf,inf,inf
485,650,0,0,0,0,0,inf,inf,inf
485,675,0,0,0,0,0,inf,inf,inf
485,700,0,0,0,0,0,inf,inf,inf
485,725,0,1.061e-18,1.061e-20,5.3048e-20,2.1219e-19,inf,inf,inf
485,750,0,4.9465e-12,4.9465e-14,2.4732e-13,9.8929e-13,inf,inf,inf
485,775,0,3.4368e-08,3.4368e-10,1.7184e-09,6.8736e-09,inf,inf,inf
485,800,0,5.5806e-05,5.5806e-07,2.7903e-06,1.1161e-05,inf,inf,inf
485,825,0,0.021871,0.00021871,0.0010935,0.0043741,inf,inf,inf
485,850,0,2.1656,0.021656,0.10828,0.43312,inf,inf,inf
485,875,0,58.688,0.58688,2.9344,11.738,inf,inf,inf
485,900,0,530.28,5.3028,26.514,106.06,inf,inf,inf
485,925,0,2670.3,26.703,133.52,534.06,inf,inf,inf
485,950,0,11566,115.66,578.28,2313.1,inf,inf,inf
485,975,0,36001,360.01,1800,7200.1,inf,inf,inf
485,1000,0,76588,765.88,3829.4,15318,inf,inf,inf
490,600,0,0,0,0,0,inf,inf,inf
490,625,0,0,0,0,0,inf,inf,inf
490,650,0,0,0,0,0,inf,inf,inf
490,675,0,0,0,0,0,inf,inf,inf
490,700,0,0,0,0,0,inf,inf,inf
490,725,0,0,0,0,0,inf,inf,inf
490,750,0,5.4139e-13,5.4139e-15,2.707e-14,1.0828e-13,inf,inf,inf
490,775,0,5.2705e-09,5.2705e-11,2.6353e-10,1.0541e-09,inf,inf,inf
490,800,0,1.1742e-05,1.1742e-07,5.8709e-07,2.3484e-06,inf,inf,inf
490,825,0,0.0062743,6.2743e-05,0.00031372,0.0012549,inf,inf,inf
490,850,0,0.83905,0.0083905,0.041952,0.16781,inf,inf,inf
490,875,0,30.091,0.30091,1.5045,6.0182,inf,inf,inf
490,900,0,336.39,3.3639,16.82,67.278,inf,inf,inf
490,925,0,1782.5,17.825,89.124,356.5,inf,inf,inf
490,950,0,7873.6,78.736,393.68,1574.7,inf,inf,inf
490,975,0,26983,269.83,1349.1,5396.5,inf,inf,inf
490,1000,0,62808,628.08,3140.4,12562,inf,inf,inf
495,600,0,0,0,0,0,inf,inf,inf
495,625,0,0,0,0,0,inf,inf,inf
495,650,0,0,0,0,0,inf,inf,inf
495,675,0,0,0,0,0,inf,inf,inf
495,700,0,0,0,0,0,inf,inf,inf
495,725,0,0,0,0,0,inf,inf,inf
495,750,0,5.2264e-14,5.2264e-16,2.6132e-15,1.0453e-14,inf,inf,inf
495,775,0,7.653e-10,7.653e-12,3.8265e-11,1.5306e-10,inf,inf,inf
495,800,0,2.34e-06,2.34e-08,1.17e-07,4.6799e-07,inf,inf,inf
495,825,0,0.0017093,1.7093e-05,8.5463e-05,0.00034185,inf,inf,inf
495,850,0,0.30977,0.0030977,0.015489,0.061954,inf,inf,inf
495,875,0,14.78,0.1478,0.73902,2.9561,inf,inf,inf
495,900,0,208.75,2.0875,10.438,41.751,inf,inf,inf
495,925,0,1209.3,12.093,60.467,241.87,inf,inf,inf
495,950,0,5321.9,53.219,266.1,1064.4,inf,inf,inf
495,975,0,19763,197.63,988.15,3952.6,inf,inf,inf
495,1000,0,50539,505.39,2526.9,10108,inf,inf,inf
500,600,0,0,0,0,0,inf,inf,inf
500,625,0,0,0,0,0,inf,inf,inf
500,650,0,0,0,0,0,inf,inf,inf
500,675,0,0,0,0,0,inf,inf,inf
500,700,0,0,0,0,0,inf,inf,inf
500,725,0,0,0,0,0,inf,inf,inf
500,750,0,3.5995e-15,3.5995e-17,1.7997e-16,7.199e-16,inf,inf,inf
500,775,0,1.0256e-10,1.0256e-12,5.1279e-12,2.0512e-11,inf,inf,inf
500,800,0,4.294e-07,4.294e-09,2.147e-08,8.5879e-08,inf,inf,inf
500,825,0,0.00042817,4.2817e-06,2.1408e-05,8.5634e-05,inf,inf,inf
500,850,0,0.10532,0.0010532,0.005266,0.021064,inf,inf,inf
500,875,0,6.7364,0.067364,0.33682,1.3473,inf,inf,inf
500,900,0,123.06,1.2306,6.1528,24.611,inf,inf,inf
500,925,0,819.77,8.1977,40.989,163.95,inf,inf,inf
500,950,0,3580.3,35.803,179.01,716.05,inf,inf,inf
500,975,0,14092,140.92,704.62,2818.5,inf,inf,inf
500,1000,0,39724,397.24,1986.2,7944.9,inf,inf,inf
