delta_keV,v_lab_kms,N_SHM,N_stream_pure,N_f0.01,N_f0.05,N_f0.2,boost_f0.01,boost_f0.05,boost_f0.2
385,725,0.14216,0.48978,0.14564,0.15954,0.21169,1.0245,1.1223,1.489
385,750,0.14216,27.417,0.41492,1.5059,5.5972,2.9186,10.593,39.371
385,775,0.14216,565.19,5.7926,28.394,113.15,40.746,199.73,795.92
385,800,0.14216,5828.7,58.427,291.57,1165.8,410.99,2050.9,8200.7
385,825,0.14216,31473,314.87,1573.8,6294.7,2214.8,11070,44278
385,850,0.14216,91230,912.44,4561.6,18246,6418.2,32087,1.2835e+05
385,875,0.14216,1.6624e+05,1662.5,8312.1,33248,11694,58468,2.3387e+05
385,900,0.14216,2.2555e+05,2255.7,11278,45111,15867,79330,3.1732e+05
385,925,0.14216,2.564e+05,2564.1,12820,51280,18036,90177,3.6071e+05
385,950,0.14216,2.6437e+05,2643.8,13218,52873,18597,92980,3.7192e+05
385,975,0.14216,2.6376e+05,2637.7,13188,52752,18554,92766,3.7106e+05
385,1000,0.14216,2.7017e+05,2701.8,13509,54034,19005,95021,3.8008e+05
390,600,0.053059,0,0.052529,0.050406,0.042448,0.99,0.95,0.8
390,625,0.053059,2.6414e-16,0.052529,0.050406,0.042448,0.99,0.95,0.8
390,650,0.053059,1.0118e-10,0.052529,0.050406,0.042448,0.99,0.95,0.8
390,675,0.053059,5.0923e-07,0.052529,0.050406,0.042448,0.99,0.95,0.8
390,700,0.053059,0.00058497,0.052535,0.050436,0.042565,0.99011,0.95055,0.8022
390,725,0.053059,0.16038,0.054133,0.058426,0.074524,1.0202,1.1011,1.4045
390,750,0.053059,11.612,0.16865,0.63102,2.3649,3.1785,11.893,44.571
390,775,0.053059,282.28,2.8753,14.164,56.498,54.191,266.95,1064.8
390,800,0.053059,3282.4,32.877,164.17,656.53,619.62,3094.1,12373
390,825,0.053059,20716,207.21,1035.8,4143.2,3905.3,19522,78087
390,850,0.053059,69797,698.02,3489.9,13959,13156,65774,2.6309e+05
390,875,0.053059,1.419e+05,1419,7094.9,28379,26744,1.3372e+05,5.3486e+05
390,900,0.053059,2.0703e+05,2070.3,10351,41406,39019,1.9509e+05,7.8036e+05
390,925,0.053059,2.4653e+05,2465.4,12327,49307,46465,2.3232e+05,9.2928e+05
390,950,0.053059,2.608e+05,2608,13040,52159,49153,2.4576e+05,9.8304e+05
390,975,0.053059,2.6132e+05,2613.2,13066,52263,49251,2.4625e+05,9.85e+05
390,1000,0.053059,2.6285e+05,2628.6,13143,52570,49540,2.477e+05,9.9079e+05
395,600,0.013823,0,0.013684,0.013132,0.011058,0.99,0.95,0.8
395,625,0.013823,0,0.013684,0.013132,0.011058,0.99,0.95,0.8
395,650,0.013823,1.1925e-11,0.013684,0.013132,0.011058,0.99,0.95,0.8
395,675,0.013823,8.3647e-08,0.013684,0.013132,0.011058,0.99,0.95,0.8
395,700,0.013823,0.00013301,0.013686,0.013138,0.011085,0.9901,0.95048,0.80192
395,725,0.013823,0.04977,0.014182,0.01562,0.021012,1.026,1.13,1.5201
395,750,0.013823,4.7365,0.061049,0.24996,0.95836,4.4166,18.083,69.332
395,775,0.013823,138.88,1.4025,6.9572,27.787,101.46,503.32,2010.3
395,800,0.013823,1801.2,18.025,90.071,360.24,1304,6516.2,26062
395,825,0.013823,13056,130.58,652.83,2611.3,9446.6,47229,1.8891e+05
395,850,0.013823,51411,514.12,2570.5,10282,37194,1.8597e+05,7.4386e+05
395,875,0.013823,1.1799e+05,1179.9,5899.5,23598,85361,4.268e+05,1.7072e+06
395,900,0.013823,1.8653e+05,1865.4,9326.7,37307,1.3495e+05,6.7474e+05,2.699e+06
395,925,0.013823,2.3405e+05,2340.5,11702,46810,1.6932e+05,8.4661e+05,3.3865e+06
395,950,0.013823,2.5561e+05,2556.1,12780,51121,1.8492e+05,9.2459e+05,3.6984e+06
395,975,0.013823,2.5928e+05,2592.8,12964,51856,1.8758e+05,9.3787e+05,3.7515e+06
395,1000,0.013823,2.5846e+05,2584.6,12923,51691,1.8698e+05,9.349e+05,3.7396e+06
400,600,0.0013982,0,0.0013842,0.0013283,0.0011186,0.99,0.95,0.8
400,625,0.0013982,0,0.0013842,0.0013283,0.0011186,0.99,0.95,0.8
400,650,0.0013982,1.2633e-12,0.0013842,0.0013283,0.0011186,0.99,0.95,0.8
400,675,0.0013982,1.2555e-08,0.0013842,0.0013283,0.0011186,0.99,0.95,0.8
400,700,0.0013982,2.7822e-05,0.0013845,0.0013297,0.0011241,0.9902,0.95099,0.80398
400,725,0.0013982,0.014351,0.0015278,0.0020459,0.0039887,1.0926,1.4632,2.8527
400,750,0.0013982,1.83,0.019684,0.092828,0.36712,14.078,66.39,262.56
