sigma_kms,v_lab_kms,N_stream_d380,fs_one_event_d380,N_stream_d400,fs_one_event_d400,N_stream_d450,fs_one_event_d450
5,725,0,,0,,0,
5,750,5.139e-09,,0,,0,
5,775,15.28,0.0459,1.686e-07,,0,
5,800,2081,0.0003301,36.38,0.02745,0,
5,825,3.008e+04,2.284e-05,2036,0.0004904,3.266e-10,3.062e+09
5,850,1.132e+05,6.067e-06,2.277e+04,4.386e-05,1.761,0.5678
5,900,2.509e+05,2.737e-06,1.695e+05,5.891e-06,4188,0.0002388
5,1000,2.731e+05,2.515e-06,2.546e+05,3.922e-06,1.925e+05,5.194e-06
10,725,8.539e-07,,9.57e-14,,0,
10,750,0.1653,,3.388e-06,,0,
10,775,139.7,0.004926,0.3507,2.859,4.094e-16,2.443e+15
10,800,3248,0.0002115,182.9,0.00546,8.05e-08,1.242e+07
10,825,3.394e+04,2.024e-05,2826,0.0003534,0.0254,39.37
10,850,1.135e+05,6.054e-06,2.613e+04,3.821e-05,42.12,0.02374
10,900,2.489e+05,2.759e-06,1.684e+05,5.929e-06,5758,0.0001737
10,1000,2.748e+05,2.499e-06,2.549e+05,3.918e-06,1.916e+05,5.221e-06
20,725,1.43,0.6149,0.01435,77.1,1.076e-09,9.29e+08
20,750,62.81,0.01099,1.83,0.5461,3.354e-06,2.982e+05
20,775,1113,0.0006172,66.82,0.01495,0.002449,408.3
20,800,1.002e+04,6.857e-05,973.2,0.001026,0.4359,2.294
20,825,4.592e+04,1.496e-05,7945,0.0001257,20.31,0.04923
20,850,1.154e+05,5.951e-06,3.653e+04,2.734e-05,296.2,0.003376
20,900,2.416e+05,2.843e-06,1.648e+05,6.06e-06,1.103e+04,9.065e-05
20,1000,2.815e+05,2.44e-06,2.558e+05,3.904e-06,1.878e+05,5.325e-06
40,725,738.2,0.0009309,99.04,0.01008,0.3398,2.943
40,750,3441,0.0001996,600.3,0.001663,3.581,0.2792
40,775,1.218e+04,5.64e-05,2778,0.0003594,28.59,0.03498
40,800,3.319e+04,2.069e-05,9882,0.000101,177.5,0.005634
40,825,7.11e+04,9.66e-06,2.733e+04,3.654e-05,872.4,0.001146
40,850,1.229e+05,5.587e-06,5.98e+04,1.67e-05,3419,0.0002925
40,900,2.212e+05,3.105e-06,1.574e+05,6.343e-06,2.696e+04,3.71e-05
40,1000,3.016e+05,2.277e-06,2.565e+05,3.893e-06,1.751e+05,5.712e-06
