delta_keV,N_SHM,v_lab_kinematic_min,v_lab_for_fs_1.0,v_lab_for_fs_0.2,v_lab_for_fs_0.05,v_lab_for_fs_0.01,v_lab_for_fs_0.001
350,27.51,764.6,,,,,
365,3.318,782.8,,,,,
380,0.3131,801.1,725,732,740.6,750.8,770.8
400,0.001398,825.4,746.9,757,766.6,778.8,800.3
450,0,886.2,805.4,815.9,824.9,839.9,865.5
