variant,S1c_lo,S1c_hi,N_ER_in_bin,frac_below_NR_median,N_below_NR_median,frac_below_event_depth(-1.5sig_LZ),N_below_event_depth(-1.5sig_LZ),frac_in_ROI(<4.15),N_in_ROI(<4.15),frac_NR_pm1hw,N_NR_pm1hw,frac_event_region_V(3.90-4.00),N_event_region_V(3.90-4.00),frac_gap_G(-1hw..ROI_top),N_gap_G(-1hw..ROI_top),frac_tail_+1..+5hw,N_tail_+1..+5hw
"baseline: k=0.50, NEST skew",300,350,704.6635001553557,2.215709566599348e-23,1.561329658527603e-20,1.6052150246908563e-25,1.1311364378006246e-22,1.3786257958536604e-11,9.714672787107031e-09,6.688573201597181e-22,4.713193403282783e-19,2.6593800072313865e-21,1.873968024138844e-18,1.3786257958535444e-11,9.714672787106214e-09,6.111711325848395e-15,4.30669989481146e-12
"baseline: k=0.50, NEST skew",350,400,728.2779313196467,2.2558437253759062e-20,1.6428812016971702e-17,3.4743805116728737e-22,2.530314651658416e-19,2.057014716074046e-12,1.4980784221164767e-09,3.152059424147836e-19,2.2955753168149826e-16,1.9812737947021908e-19,1.4429179805835377e-16,2.057014714033769e-12,1.498078420630588e-09,3.8313976489425765e-14,2.790322353834857e-11
"baseline: k=0.50, NEST skew",400,450,762.4652614330507,3.0100557536326185e-18,2.2950629471215528e-15,8.981725249963418e-20,6.84825349083319e-17,2.004579774619923e-12,1.5284224419189853e-09,2.606667545226474e-17,1.987493451340152e-14,6.174996161349425e-18,4.708220062511374e-15,2.0045793655096344e-12,1.5284221299866023e-09,3.386809661744084e-13,2.582324714165685e-10
"baseline: k=0.50, NEST skew",450,500,806.1969098327515,8.078621896110044e-17,6.512960008351122e-14,4.809286068630056e-18,3.8772315670312535e-15,2.3068008450458864e-12,1.8597357128755736e-09,4.4218933195849315e-16,3.5649167298594596e-13,7.040737673838804e-17,5.676220955591879e-14,2.3067854620437823e-12,1.8597233111468133e-09,1.032182861401601e-12,8.321426332442981e-10
"baseline: k=0.50, NEST skew",500,550,856.1795072732598,7.73422211209885e-16,6.621882477078745e-13,6.22662366224085e-17,5.3311075791133914e-14,2.2164260525914064e-12,1.8976585656153268e-09,3.2228167516187425e-15,2.759309658432943e-12,3.6914953391269026e-16,3.160582660555207e-13,2.2162396751591108e-12,1.8974989930771768e-09,2.0146973713543513e-12,1.7249426027109002e-09
"baseline: k=0.50, NEST skew",550,600,907.3618433764483,3.0088313394465752e-15,2.7300987505690723e-12,3.394122091906817e-16,3.0796968779572966e-13,1.6164617751680988e-12,1.4667157360640922e-09,9.104377285027715e-15,8.26096455613741e-12,9.507217124351526e-16,8.626486055331736e-13,1.615562193292425e-12,1.4658994897951126e-09,1.6064578160073972e-12,1.4576385252389753e-09
"baseline: k=0.50, NEST skew",500,600,1763.5413506497082,1.9235653289485903e-15,3.392286998276947e-12,2.048609540421401e-16,3.6128076358686356e-13,1.9077376895301868e-12,3.3643743016794188e-09,6.248945742332815e-15,1.1020274214570355e-11,6.683749554012133e-16,1.1787068715886942e-12,1.9071843603968663e-12,3.363398482872289e-09,1.8046535323809548e-12,3.1825811279498757e-09
"baseline: k=0.50, NEST skew",480,600,2091.7568152759895,1.6444721717945857e-15,3.4398358728830324e-12,1.7415430829906301e-16,3.6428846129424085e-13,1.9752453029398982e-12,4.131732824266419e-09,5.387504450933166e-15,1.1269349152569177e-11,5.812800006203832e-16,1.2158964028813181e-12,1.9747743149780596e-12,4.1307476319873296e-09,1.719308654854322e-12,3.596375596354522e-09
Gaussian (s=0),300,350,704.6755018403331,7.027235081269241e-10,4.951920407443397e-07,8.094254969165102e-11,5.703823182420029e-08,9.224885296888295e-06,0.006500550676004271,2.6902902450229617e-09,1.8957816285077083e-06,6.41776871631106e-09,4.522444390861687e-06,9.22469809902725e-06,0.006500418762257595,8.808187483581623e-07,0.0006206913935296621
Gaussian (s=0),350,400,728.2871928229954,9.824366093503106e-10,7.154960003502794e-07,1.455093021225818e-10,1.0597256117248822e-07,1.9108731521875164e-06,0.0013916644438474745,2.8312523199354006e-09,2.061964804259346e-06,3.082448456399439e-09,2.244907733332723e-06,1.91055575247681e-06,0.0013914332857031615,3.962861091906632e-07,0.00028861009801721513
Gaussian (s=0),400,450,762.4923841252452,1.0643036230611445e-09,8.115234069810284e-07,1.9785139679760485e-10,1.5086018324671562e-07,5.040450648788018e-07,0.0003843305232260014,2.5272113629020195e-09,1.9269794172875708e-06,1.6527644380803174e-09,1.2602202967892822e-06,5.036458696372215e-07,0.00038402613989451745,2.1399356834533014e-07,0.0001631684661150994
