fig,S1c,ER_p10,ER_p50,ER_p90,NR_p10,NR_p50,NR_p90,ER_halfwidth,ER_upper,ER_lower,NR_halfwidth
Fig4,250,4.314245967247314,4.395410269389739,4.476347875148532,3.8895540816383667,3.91965992112893,3.9512482308512666,0.08105095395060902,0.08093760575879294,0.0811643021424251,0.030847074606449976
Fig2,250,4.3140505526933195,4.39520279612026,4.476128376844227,3.8894217642648066,3.9198375904022424,3.951145914386025,0.08103891207545377,0.08092558072396727,0.08115224342694027,0.03086207506060923
Fig4,260,4.330101420177863,4.410766850340257,4.491911872406159,3.8960100719681785,3.9255596245449476,3.956438419830657,0.08090522611414785,0.08114502206590224,0.08066543016239347,0.030214173931239152
Fig2,260,4.329903649952831,4.410557095517982,4.491690061732872,3.896072402422012,3.9254219577679392,3.956050481990252,0.08089320589002069,0.08113296621489052,0.08065344556515086,0.029989039784120042
Fig4,270,4.339731818401069,4.424366125070715,4.507879281235608,3.8992253082589152,3.9297967576412667,3.959987706645107,0.08407373141726948,0.08351315616489341,0.08463430666964555,0.030381199193095787
Fig2,270,4.3395326173717415,4.424154349781554,4.50836485015601,3.899253142410241,3.92955189091471,3.9602293737754857,0.0844161163921342,0.08421050037445621,0.08462173240981219,0.03048811568262244
Fig4,280,4.354410903133181,4.438452695940111,4.522253892834128,3.9044117906088536,3.934491996361312,3.965560709625689,0.08392149485047318,0.08380119689401688,0.08404179280692947,0.03057445950841764
Fig2,280,4.354209521207799,4.438238827785665,4.522027574196355,3.904876508083209,3.9342593546670512,3.965201861776564,0.08390902649427812,0.0837887464106899,0.08402930657786634,0.030162676846677394
Fig4,290,4.362921512165475,4.450556108264464,4.536383434628792,3.9092486798065447,3.9391314212687707,3.970551060259539,0.08673096123165847,0.08582732636432855,0.08763459609898838,0.030651190226497205
Fig2,290,4.362718865804742,4.450340441885901,4.536235967706822,3.908985598020155,3.9391538952026126,3.969663159422391,0.08675855095104001,0.08589552582092086,0.08762157608115917,0.03033878070111795
Fig4,300,4.375949924151315,4.464545504965075,4.5525245769789615,3.9123596578683526,3.9434434503648506,3.9750130208262755,0.08828732641382331,0.08797907201388622,0.0885955808137604,0.03132668147896145
Fig2,300,4.375745342137724,4.464473974759002,4.552293760975253,3.9120628498173793,3.9432774754291313,3.974868006675856,0.08827420941876474,0.08781978621625086,0.08872863262127861,0.03140257842923844
