E_keV,Nq,Ni,sd_Ni,fano_Nq,r,sd_Ne_nestpy_LZWS2024,sd_Ne_omega0,sample_skew,shape_a,eff_sigma_p_nestpy,sigma_p_TableS4,sd_Ne_TableS4_k1
3,223.206475,216.5642,8.35258513036533,0.30000918689466777,0.47010549599131257,11.837568389559573,8.623059449957422,0.4966439633406676,2.160589749815597,0.03744812963157259,0.04405394442560599,12.040298536207544
5,371.9016,354.03645,10.834321455333509,0.29809354797075355,0.5587848474635873,18.42822066498825,10.616592199830414,0.6098937458122788,2.6697749751168405,0.04254584010942767,0.05124920938447038,20.408175286169296
10,743.96295,679.4344,15.689623852725088,0.3000007961384368,0.6372228511376135,26.785414937937773,13.670026323950513,0.6955772192650879,3.1938081684494217,0.03390248413546415,0.046848505388989777,34.208838382104005
15,1115.969025,987.656775,19.27118371038414,0.29767543552508097,0.6672480166953634,31.77726995133471,16.254596680324,0.7305119949875247,3.4667758662018517,0.027646613638821017,0.04467970321857616,46.54660692395218
20,1488.10005,1289.751775,22.47402410226916,0.3031970128604592,0.6843831565407085,36.00581496244739,18.217010999337955,0.7554899187816355,3.693421324224552,0.024080101568737102,0.04570281433996071,61.26285002451906
30,2231.85375,1897.38725,27.592969891577454,0.29774966703687467,0.7058490598920297,43.67833663722069,21.590485966682177,0.7619159330462643,3.7569659833046916,0.020011223387944626,0.050697025628879414,98.21826177986455
40,2976.0379,2518.39985,31.908659796009925,0.29960956263023397,0.7189105678455259,51.946923057963694,24.580513582866814,0.7250718333712474,3.4212119351629657,0.01817158495661904,0.05602230681599369,142.87873736652128
50,3720.4066,3146.532225,35.894209303860904,0.3011680299782287,0.7253090368098263,60.188505798013466,27.050562817804735,0.6270563886083661,2.76221175581907,0.017087797919655062,0.06075148424277682,192.7892906263599
60,4464.00545,3775.366375,39.12196626397215,0.2998179740791983,0.7254012461997572,71.88046904075803,29.496237688856183,0.508680717600638,2.2082550750329024,0.017362495320638452,0.06483682465146896,246.31409768606463
70,5208.0625,4404.439275,42.30805375427207,0.29564676763191683,0.7196088982952771,85.6056219726507,32.5047176489429,0.3967164235446508,1.8032307285096505,0.017980604612918828,0.06837979213340845,302.6464228406395
80,5952.3022,5033.558825,45.36353810737623,0.3010970822617171,0.7089370491501569,103.81979294021625,34.79427270672574,0.3020040690624402,1.5052591021314459,0.01943270897961714,0.07147599867493869,361.21921857008107
90,6696.114775,5662.5733,47.6784246500448,0.29646758133702616,0.6949570369474345,127.02938781522172,37.39007863588281,0.22847610357772194,1.2847427070677344,0.021439370568285092,0.07420271164385243,421.6043374736302
100,7439.82805,6291.7616,50.64233520919035,0.2987586901551441,0.6793093030730113,153.57902739749332,40.5066128092377,0.15057184596859335,1.0445767483768083,0.023545221311883996,0.07662344675706699,483.51592061302307
110,8184.3954,6921.30255,52.89657326800574,0.29780959248865224,0.6632720582848577,183.69343560420853,43.06737145215041,0.10373517245522089,0.884798276245959,0.025800556531800432,0.07878900452263159,546.7380447142598
120,8928.684325,7551.0458,55.189508535227965,0.2994264246534861,0.6476480347166707,217.07218847187536,45.62514863293598,0.06474397307335612,0.7287041330136835,0.028105138276308655,0.08073358255229442,611.0346358124032
130,9672.54455,8179.922975,57.465289890066465,0.2979404850916401,0.6328558257545872,252.1003008918276,48.310807616696906,0.03188008203033083,0.5556034324777949,0.030248209646985873,0.08248714197874857,676.1453982444707
140,10416.05085,8808.776275,59.96630905870708,0.29616688308290084,0.6190659852064178,289.02676564921177,51.0220541835587,-0.014419514782647837,-0.4169911046930202,0.032295932832882165,0.08407438062934718,741.993552200728
160,11904.320175,10067.2337,63.714776812839894,0.29740814350781475,0.5945446868935611,361.6672444607612,55.407787149100265,-0.006699540603966347,-0.31896030189004887,0.03550109098654595,0.08683055710357955,875.5305235679606
