S1c,log10S2c,resid_dex,z_halfwidths,blob_px,n_est
525.9770490464329,4.987764504629406,0.2206090906081739,1.8599294550616117,47.0,2.0
534.9328214971209,4.989422857557504,0.2089795114828572,1.7356415829152838,20.0,1.0
542.1785028790788,4.986804168783105,0.19590923082499323,1.6108950441979848,32.0,1.0
569.9749826185653,4.902412072438764,0.07292434918843149,0.5888738925608027,6460.0,258.0
577.2000232652823,4.980152709153796,0.14139078168409736,1.144373140314102,132.0,5.0
590.04872287022,4.9894128482358635,0.13313277804987944,1.0579992822562796,13.0,1.0
645.4104952087913,4.838183171090185,-0.03278603772388067,-0.2636173018000108,9523.0,381.0
720.7019468055937,4.990556770709152,0.11958756189508701,0.9615480425273291,21.0,1.0
727.17301891966,4.988573971755451,0.11760476294138567,0.9456052770553699,21.0,1.0
752.5820308929714,4.971330702283088,0.10036149346902246,0.8069601558974708,147.0,6.0
766.9385796545106,4.970665527820104,0.09969631900603915,0.8016117969821692,288.0,12.0
790.2623160588611,4.983307162034683,0.11233795322061813,0.9032573062704919,120.0,5.0
516.7754318618042,4.980964980770624,0.22648008069979042,1.9263176304426257,40.0,2.0
550.1279590531029,4.983849333623586,0.18495351418964034,1.5151667013620378,24.0,1.0
492.13051823416504,4.982005950221317,0.2614174986858151,2.295601694188156,21.0,1.0
416.5901694066594,4.974085530487783,0.35745940933915854,3.4557384942483123,23.0,1.0
481.7658349328215,4.97419867934112,0.2684698058224093,2.4132458586686423,26.0,1.0
540.7438315391248,4.959828774967423,0.170359457425727,1.4017094500754284,69.0,3.0
511.1908537094217,4.966391408460922,0.22041653090297508,1.8734915292486596,23.0,1.0
490.75495841330775,4.960644389618555,0.24231177111720825,2.1343476838507196,24.0,1.0
797.3896353166987,4.960535955300774,0.08956674648670848,0.7201646090534958,20.0,1.0
438.32095468580485,4.953605588033932,0.30730097562805714,2.839800163104773,46.0,2.0
518.0742162507997,4.955981713953992,0.19951766987475672,1.697253833896172,48.0,2.0
553.3736896500811,4.946458559363862,0.14176096873083477,1.1549593191999166,91.0,4.0
478.40690978886755,4.9529455530561375,0.25207621017852766,2.269766207918177,24.0,1.0
785.7616471819928,4.940248880210564,0.06927967139649915,0.557045660623817,88.0,4.0
470.56360146571274,4.950540282734461,0.26159593219619826,2.3288414230595986,22.0,1.0
529.7504798464491,4.950776866700528,0.17872444390490116,1.4981497366481977,21.0,1.0
671.0172744721689,4.955981713953992,0.08501250513992709,0.6835460696101008,1.0,1.0
494.20669892676597,4.94172336478781,0.21773010531867243,1.903191404017412,71.0,3.0
525.0696551297133,4.946075714342559,0.18009788014390882,1.5204965193558722,31.0,1.0
775.5171678396247,4.948897338525665,0.07792812971159968,0.6265838971425912,18.0,1.0
506.41564911994124,4.934608617785509,0.19427158668339306,1.6601281993964845,94.0,4.0
651.8234165067179,4.949475654887161,0.07850644607309576,0.6312338704052448,4.0,1.0
456.1128265042143,4.940932916460278,0.27242415038206413,2.4709972413578094,23.0,1.0
515.8975214887757,4.938783088246891,0.1856359860964929,1.5787537902571607,23.0,1.0
746.1804222648753,4.938371980746436,0.06740277193237088,0.5419543837622951,30.0,1.0
757.7735124760077,4.940367172193597,0.06939796337953208,0.5579967915184477,1.0,1.0
797.1023466039255,4.931972257268654,0.06100304845458915,0.4904971796412199,31.0,1.0
518.7748371225433,4.905155036549265,0.14762335598454257,1.2559054639265472,213.0,9.0
534.6552243777859,4.922773928171555,0.1427845627177673,1.1864606795329347,121.0,5.0
754.3994342862916,4.913384148274319,0.04241493946025354,0.34103882850042017,76.0,3.0
761.7082533589252,4.9268851720162194,0.055915963202154195,0.44959428983283234,72.0,3.0
