m_chi_GeV,model,mZp_GeV,feasible,gchi,gN,G_max,Omega_h2,sigv_ff_cm3s,sigv_ZZ_cm3s,Gamma_over_M,Nmax_250,Nmax_280,Nmax_300,Nmax_320,Nmax_340,Nmax_350,Nmax_360,Nmax_366,Nmax_370,Nmax_380,delta_Nmax1_keV
1000.0,B-L,2682.6957952797247,True,1.0010379709816313,0.13413478976398624,1.86573142721397e-08,0.12,5.564179371593907e-26,0.0,0.025741122198826107,0.13376485038695152,0.041984585147355605,0.017360813883553625,0.0054446779392287705,0.001041707729286463,0.000338911795218008,8.054111138258477e-05,2.7318388006061164e-05,1.2065955976007313e-05,8.747994577233464e-07,205.875271713876
1000.0,B-L,3162.2776601683795,True,1.6277776632795957,0.15811388300841897,2.5737424701550754e-08,0.12,4.957256759509259e-26,0.0,0.06964092548542275,0.25455048692231036,0.0798954027278087,0.03303710664380383,0.010361058353944385,0.0019823384764647406,0.00064493895254918,0.0001532673124546095,5.198607069614614e-05,2.2961151303881177e-05,1.664717055928266e-06,218.9627457076417
1000.0,B-L,3727.593720314938,True,2.297030323508848,0.1863796860157469,3.0811167952536096e-08,0.12,4.77988465259802e-26,0.0,0.14109788805452164,0.36480440747596826,0.11450064544982634,0.04734652940417108,0.01484876261418509,0.0028409523865662294,0.0009242825471973361,0.00021965226537752652,7.450289310622884e-05,3.29063569968142e-05,2.385759016003761e-06,226.58111209465577
1000.0,B-L,4393.97056076079,True,3.0283340100339804,0.21969852803803952,3.446010809764782e-08,0.12,4.694256365617484e-26,0.0,0.24736270361079335,0.4563279026154385,0.14322699593391067,0.059225003909934536,0.018574075754860458,0.0035537011544398444,0.0011561700120478948,0.00027475944783112116,9.319445777854874e-05,4.116202700226498e-05,2.984307167370467e-06,231.4840606466447
1000.0,B-L,5179.474679231213,False,3.5449077018110318,0.25897373396156065,3.4220726244936495e-08,0.1400564452700363,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1000.0,B-L,6105.402296585326,False,3.5449077018110318,0.3052701148292663,2.9030910082646422e-08,0.21137396642272221,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1000.0,B-L,7196.856730011514,False,3.5449077018110318,0.3598428365005757,2.4628166398175336e-08,0.3097239667341804,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1000.0,B-L,8483.428982440717,False,3.5449077018110318,0.42417144912203586,2.0893130060665326e-08,0.4450053876368271,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1000.0,B-L,10000.0,False,3.5449077018110318,0.5,1.7724538509055158e-08,0.6310169691610173,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1000.0,U(1)_B,100.0,True,0.651963424219126,0.15000000000000002,9.779451363286891e-06,0.12,3.762016276649391e-27,4.174902653477855e-26,0.0009947147106729303,36751.30256900783,11535.079563287527,4769.807031017694,1495.901245779869,286.20460335232764,93.11452069980888,22.128315062611357,7.505606595484558,3.3150681780438007,0.2403472920202275,374.9466128295813
1000.0,U(1)_B,117.87686347935879,True,0.6522434683230875,0.15000000000000002,7.041154191910598e-06,0.12,3.772099524925349e-27,4.173746643109317e-26,0.0009947164876283388,19051.60040259595,5979.698979084045,2472.6322932856783,775.4640185291513,148.3663259611977,48.2698711622808,11.471153039107039,3.8908503274886996,1.7185065513490818,0.12459423871623147,372.2348102670736
1000.0,U(1)_B,138.94954943731375,True,0.6526365793844338,0.15000000000000002,5.070471956492619e-06,0.12,3.7862095200365724e-27,4.172128901084678e-26,0.000994717407218033,9879.626451164084,3100.904436128516,1282.2378641439002,402.13392405305115,76.93862181932772,25.031403443889765,5.948618729955666,2.017686021156521,0.8911693727784531,0.06461108308338262,369.43600239390804
1000.0,U(1)_B,163.78937069540646,True,0.6531906290965938,0.15000000000000002,3.6522439307835405e-06,0.12,3.806009970993928e-27,4.169858583384413e-26,0.000994717883227131,5125.819467268,1608.8337351026496,665.2599506859418,208.63803976284234,39.917853924508734,12.986974325391774,3.086305523805415,1.0468304988251869,0.4623629589844036,0.033521990847240016,366.2240263792155
1000.0,U(1)_B,193.06977288832496,True,0.6539759086626153,0.15000000000000002,2.6316276305751557e-06,0.12,3.8339062524248826e-27,4.166659703415692e-26,0.0009947181296668893,2661.2926175417456,835.2961647248226,345.39870294150484,108.32353314526182,20.725093935863068,6.742753840058773,1.602390048738761,0.5435076861623993,0.24005588515698992,0.017404402815343525,362.68838174574955
1000.0,U(1)_B,227.58459260747887,True,0.6550977435808483,0.15000000000000002,1.897193588592128e-06,0.12,3.873430345104136e-27,4.1621268844089887e-26,0.0009947182572695454,1383.142896623376,434.12511243618053,179.51267715827422,56.29855372514874,10.771369623277268,3.5043843041100646,0.832803728129771,0.28247506133696987,0.12476327862594357,0.009045520197718983,358.80201909348347
1000.0,U(1)_B,268.26957952797244,True,0.6567183248809952,0.15000000000000002,1.3687607302416276e-06,0.12,3.929881751141249e-27,4.1556516460731554e-26,0.0009947183233460482,719.9441839862252,225.9678667936645,93.43872436275666,29.304142341478926,5.606640451088521,1.824078411822729,0.433485362888239,0.1470320080645142,0.06494093780265375,0.00470831298297227,354.4632155723624
