mZp_GeV,gchi_thermal,alpha_chi,eps_phi,S0_saturated,sigv_eff_cm3s,sigv_CMB_cm3s,Planck_limit_cm3s,ratio_to_Planck
100.0,0.6677079964602514,0.035478339945467105,2.818621168682288,2.155525832385511,2.296517393100746e-26,4.950202565351289e-26,1e-24,0.049502025653512895
300.0,0.6751483247974132,0.03627342169551302,8.27051835689131,1.2814029973453747,2.2965130732319192e-26,2.942758735482219e-26,1e-24,0.029427587354822194
500.0,0.6948538655819397,0.03842174557246146,13.013463926489893,1.168967146759936,2.296500264478056e-26,2.684533361700352e-26,1e-24,0.02684533361700352
900.0,0.9588825609948252,0.07316796503911505,12.30046509451051,1.1797755436664117,2.2965449496297013e-26,2.709407566503733e-26,1e-24,0.027094075665037333
