delta_true_keV,R_WXe_SHM,R_june16,delta_read_june16,R_vesc528,delta_read_vesc528,R_vesc560,delta_read_vesc560,R_v0=220,delta_read_v0=220,R_v0=250,delta_read_v0=250,delta_read_FFx2,delta_read_FFx0.5,delta_read_isovector_x1.04,dlnR_ddelta_per_keV,R_m400,delta_read_m400,R_m4000,delta_read_m4000
300,15.944,13.98,290.28,19.447,310.97,13.875,289.64,22.833,317.82,13.312,285.95,328.93,nan,302.43,0.015653,45.74,338.17,12.517,280.02
330,33.116,24.899,321.04,55.371,342.39,23.456,318.86,68.456,346.66,23.416,318.79,346.04,302.35,331.08,0.035907,1266.3,385.43,19.302,310.6
350,81.706,52.425,341.23,198.52,364.44,44.934,337.75,258.8,368.2,47.349,338.99,361.54,335.48,350.7,0.05473,2.0831e+07,nan,31.683,328.74
366,220.98,123.19,357.07,834.5,381.8,93.599,352.41,1171.3,384.8,104.42,354.3,375.08,355.26,366.55,0.069832,nan,nan,53.055,341.49
380,692.99,318.28,370.98,6923.8,nan,205.69,364.95,11923,nan,245.84,367.49,386.13,372.09,380.39,0.099215,nan,nan,88.362,351.4
