delta_keV,expo_Xe_tyr,expo_NaI_tyr,mu_I,sigma_delta_IXe_keV,sigma_delta_three_target_W0p1_keV
300,20,10,2.1526,197.82,84.783
300,20,30,6.4578,135.78,74.114
330,20,10,2.0167,53.165,23.412
330,20,30,6.0501,35.513,19.826
350,20,10,1.9754,23.965,8.7523
350,20,30,5.9261,15.348,7.4159
366,20,10,2.4555,10.264,3.1338
366,20,30,7.3665,6.2655,2.6787
380,20,10,2.4561,2.1096,0.70141
380,20,30,7.3682,1.23,0.60755
