delta_keV,Eplus_W186_june,Eminus_W186_june,frac_above_500,frac_above_700,frac_above_1000,frac_above_1300,E90,E99,E_peak,dE90_ddelta,dE99_ddelta,E90_annual_vesc528,E99_annual_vesc528,E90_annual_vesc560,E99_annual_vesc560,E90_june16,E99_june16,E90_m400,E99_m400,Epeak_m400,E90_m4000,E99_m4000,Epeak_m4000,I1_shape_full,I1_shape_above300,I1_shape_Xe_5_1000
300,1278.5,51.107,0.0012215,5.785e-05,2.316e-07,0,241.34,409.72,101,0.5071,0.67942,243.25,411.21,239.82,408.5,239.69,408.48,233.89,371.86,103,245.11,421.64,101,0.00017234,1.686e-07,0.00015967
330,1213.3,65.16,0.002094,9.2258e-05,2.2104e-07,0,257.98,429.7,108,0.62671,0.64615,261.21,431.72,255.28,427.8,255.49,428.09,251.58,397.83,114,261.76,440.6,107,0.00040281,3.0648e-07,0.00081546
350,1168.3,76.122,0.0030181,0.0001244,1.7588e-07,0,272.63,442.16,215,0.91818,0.59341,278.02,443.91,268.35,440.21,268.99,440.67,262.03,407.92,214,278.95,453.91,112,0.00058398,2.8336e-07,0.0018358
366,1131.1,85.971,0.003932,0.00015148,1.1545e-07,0,303.64,451.14,217,5.7055,0.52684,343.35,452.1,285.22,449.57,287.29,450.12,267.98,410.63,216,348.64,465.52,218,0.00063474,3.9477e-07,0.0022922
380,1097.7,95.49,0.00478,0.00017111,5.6102e-08,0,358.77,458.04,219,1.3462,0.46424,364.49,458,350.86,457.18,353.11,457.68,271.71,409.78,220,369.78,477.7,218,0.00055496,5.408e-07,0.0011714
