delta_keV,expo_Xe_tyr,expo_CaWO4_tyr,xe_window,mu_Xe,mu_W,p_W,sigma_delta_keV
330,50,0.3,Xe_5_1000,24.741,3.2696,0.11673,16.383
330,50,1,Xe_LZ270,17.606,10.899,0.38235,8.1061
330,50,1,Xe_5_1000,24.741,10.899,0.3058,10.122
350,10,0.01,Xe_LZ270,3.5211,0.41213,0.10478,18.115
350,10,0.01,Xe_5_1000,7.5839,0.41213,0.051542,29.233
350,10,0.03,Xe_LZ270,3.5211,1.2364,0.25988,11.502
350,10,0.03,Xe_5_1000,7.5839,1.2364,0.14018,17.726
350,10,0.1,Xe_LZ270,3.5211,4.1213,0.53927,7.985
350,10,0.1,Xe_5_1000,7.5839,4.1213,0.35209,11.185
350,10,0.3,Xe_LZ270,3.5211,12.364,0.77834,6.6465
350,10,0.3,Xe_5_1000,7.5839,12.364,0.61982,8.4298
350,10,1,Xe_LZ270,3.5211,41.213,0.92129,6.1091
350,10,1,Xe_5_1000,7.5839,41.213,0.84458,7.2215
350,20,0.01,Xe_LZ270,7.0423,0.41213,0.055288,17.634
350,20,0.01,Xe_5_1000,15.168,0.41213,0.026453,28.853
350,20,0.03,Xe_LZ270,7.0423,1.2364,0.14935,10.729
350,20,0.03,Xe_5_1000,15.168,1.2364,0.075371,17.093
350,20,0.1,Xe_LZ270,7.0423,4.1213,0.36918,6.8241
350,20,0.1,Xe_5_1000,15.168,4.1213,0.21366,10.152
350,20,0.3,Xe_LZ270,7.0423,12.364,0.63711,5.1946
350,20,0.3,Xe_5_1000,15.168,12.364,0.44908,7.0028
350,20,1,Xe_LZ270,7.0423,41.213,0.85406,4.4866
350,20,1,Xe_5_1000,15.168,41.213,0.73098,5.4888
350,30,0.01,Xe_LZ270,10.563,0.41213,0.03755,17.471
350,30,0.01,Xe_5_1000,22.752,0.41213,0.017792,28.726
350,30,0.03,Xe_LZ270,10.563,1.2364,0.10478,10.459
350,30,0.03,Xe_5_1000,22.752,1.2364,0.051542,16.877
350,30,0.1,Xe_LZ270,10.563,4.1213,0.28066,6.3904
350,30,0.1,Xe_5_1000,22.752,4.1213,0.15336,9.7842
350,30,0.3,Xe_LZ270,10.563,12.364,0.53927,4.6101
350,30,0.3,Xe_5_1000,22.752,12.364,0.35209,6.4574
350,30,1,Xe_LZ270,10.563,41.213,0.79598,3.7946
350,30,1,Xe_5_1000,22.752,41.213,0.64431,4.7735
350,50,0.01,Xe_LZ270,17.606,0.41213,0.022874,17.339
350,50,0.01,Xe_5_1000,37.92,0.41213,0.010752,28.623
350,50,0.03,Xe_LZ270,17.606,1.2364,0.065619,10.237
350,50,0.03,Xe_5_1000,37.92,1.2364,0.031576,16.703
350,50,0.1,Xe_LZ270,17.606,4.1213,0.18969,6.021
350,50,0.1,Xe_5_1000,37.92,4.1213,0.098032,9.4794
350,50,0.3,Xe_LZ270,17.606,12.364,0.41255,4.0827
350,50,0.3,Xe_5_1000,37.92,12.364,0.24589,5.9854
350,50,1,Xe_LZ270,17.606,41.213,0.70068,3.1328
350,50,1,Xe_5_1000,37.92,41.213,0.52081,4.1127
366,10,0.01,Xe_LZ270,3.5211,2.8789,0.44983,4.9682
366,10,0.01,Xe_5_1000,19.588,2.8789,0.12814,9.0331
366,10,0.03,Xe_LZ270,3.5211,8.6368,0.71039,3.9534
366,10,0.03,Xe_5_1000,19.588,8.6368,0.306,5.8455
366,10,0.1,Xe_LZ270,3.5211,28.789,0.89102,3.53
366,10,0.1,Xe_5_1000,19.588,28.789,0.5951,4.1917
366,10,0.3,Xe_LZ270,3.5211,86.368,0.96083,3.3994
366,10,0.3,Xe_5_1000,19.588,86.368,0.81513,3.5815
366,10,1,Xe_LZ270,3.5211,287.89,0.98792,3.3525
366,10,1,Xe_5_1000,19.588,287.89,0.9363,3.3418
366,20,0.01,Xe_LZ270,7.0423,2.8789,0.29018,4.3739
366,20,0.01,Xe_5_1000,39.175,2.8789,0.068458,8.739
366,20,0.03,Xe_LZ270,7.0423,8.6368,0.55085,3.1746
366,20,0.03,Xe_5_1000,39.175,8.6368,0.18064,5.3798
366,20,0.1,Xe_LZ270,7.0423,28.789,0.80346,2.6286
366,20,0.1,Xe_5_1000,39.175,28.789,0.42359,3.5131
366,20,0.3,Xe_LZ270,7.0423,86.368,0.92461,2.4504
366,20,0.3,Xe_5_1000,39.175,86.368,0.68795,2.7567
366,20,1,Xe_LZ270,7.0423,287.89,0.97612,2.3848
366,20,1,Xe_5_1000,39.175,287.89,0.88022,2.4371
366,30,0.01,Xe_LZ270,10.563,2.8789,0.21417,4.157
366,30,0.01,Xe_5_1000,58.763,2.8789,0.046704,8.6387
366,30,0.03,Xe_LZ270,10.563,8.6368,0.44983,2.8684
366,30,0.03,Xe_5_1000,58.763,8.6368,0.12814,5.2153
366,30,0.1,Xe_LZ270,10.563,28.789,0.73157,2.2492
366,30,0.1,Xe_5_1000,58.763,28.789,0.32882,3.2557
366,30,0.3,Xe_LZ270,10.563,86.368,0.89102,2.0381
366,30,0.3,Xe_5_1000,58.763,86.368,0.5951,2.4201
366,30,1,Xe_LZ270,10.563,287.89,0.96461,1.9588
366,30,1,Xe_5_1000,58.763,287.89,0.83049,2.0486
366,50,0.01,Xe_LZ270,17.606,2.8789,0.14054,3.975
366,50,0.01,Xe_5_1000,97.939,2.8789,0.028556,8.5576
366,50,0.03,Xe_LZ270,17.606,8.6368,0.32912,2.5975
366,50,0.03,Xe_5_1000,97.939,8.6368,0.08104,5.0799
366,50,0.1,Xe_LZ270,17.606,28.789,0.62053,1.8917
366,50,0.1,Xe_5_1000,97.939,28.789,0.22718,3.034
366,50,0.3,Xe_LZ270,17.606,86.368,0.83067,1.635
366,50,0.3,Xe_5_1000,97.939,86.368,0.46861,2.1125
366,50,1,Xe_LZ270,17.606,287.89,0.94237,1.5351
366,50,1,Xe_5_1000,97.939,287.89,0.74616,1.6741
380,10,0.01,Xe_LZ270,3.5211,56.449,0.94129,2.0262
380,10,0.01,Xe_5_1000,122.47,56.449,0.31549,1.6168
380,10,0.03,Xe_LZ270,3.5211,169.35,0.97963,1.9861
380,10,0.03,Xe_5_1000,122.47,169.35,0.58031,1.1921
380,10,0.1,Xe_LZ270,3.5211,564.49,0.9938,1.9719
380,10,0.1,Xe_5_1000,122.47,564.49,0.82172,1.0018
