E_ER_keV,note,Nph_ER,Ne_ER,S1c,log10S2c,shift_dex,shift_sigma,shift_sigma_ambe,E_NR_S1matched_keV,shift_sigma_S1matched,above_2sigma,above_ROI
0.1,N/O-shell scale,0.0,8.478928213208748,540.1,4.028586960096778,0.012060736162731622,0.385327033953087,0.3350204489647673,247.99999999999991,0.385327033953087,False,False
0.5,,0.0,38.48483268709279,540.1,4.06876416398155,0.052237940047503706,1.6689437714857414,1.4510538902084364,247.99999999999991,1.6689437714857414,False,False
0.7,"M4/5 hole, E_e~0",2.8880205134012553,49.19388080462831,540.4176822564741,4.082248528538999,0.06564950871761166,2.0974283935339186,1.8235974643781019,247.8732955051088,2.0977493454989307,True,False
1.0,M-shell typical,12.875073682969912,61.52764248564374,541.5162581051267,4.097276990311281,0.0804262352982521,2.569528284289204,2.234062091618114,247.43508057824175,2.571253977280025,True,False
1.5,,34.10081272919096,77.5032615237295,543.851089400211,4.116000561756214,0.098616218227912,3.1506778986553354,2.739339395219778,246.50342857134248,3.1561199840062146,True,False
2.0,,57.792003035612,91.0134293016153,546.4571203339173,4.131228026700837,0.11325104714954648,3.618244317876884,3.1458624208207357,245.46307335144635,3.628548950067348,True,False
3.5,ROI-ceiling crossing,134.725314185404,125.68419240474381,554.9197845603945,4.168024861724147,0.14814420279649632,4.733041622891256,4.11511674434712,242.08110077283598,4.76239763320732,True,True
5.0,L-shell typical,215.75457658882937,156.2590042542389,563.8330034247712,4.198073941165328,0.17622262842980163,5.630115924274812,4.895073011938934,238.5130510552877,5.683001642871267,True,True
10.0,,497.5236615878533,246.50350009828315,594.8276027746639,4.276283316296788,0.24783417591203794,7.918024789521978,6.884282664223276,226.05571086823323,8.066614978008609,True,True
35.0,K-shell,1971.3051306263444,632.7899352751333,756.9435643688979,4.508113620736061,0.4503697159356612,14.388808815835821,12.510269887101702,159.38605609352635,15.069705654408345,True,True
39.58,P036 129Xe* check,2243.2505160791006,701.6089898746277,786.8575567687011,4.538992914705519,0.4787832026477039,15.296587944016098,13.299533406880665,146.7376876003906,15.994055902068148,True,True
