name,class4,cls,op,tau,mass,delta,f_lo,f_L2,f_M,f_hi,N_lo,N_M,rho,B_logu,B_logu_rho,post_uniform,post_classes,s_hat,s_mean_logu,s_med_logu,s_mean_flat,s_mean_jeff,g_lo,g_L2M,g_X_raw,g_X
O1s_m100,elastic-isoscalar,elastic,O1,s,100,0,0.983566,0.0159901,0.000430583,1.35758e-05,72449.8,31.7169,0.22615,2.13761e-21,1.07746e-21,4.362100000000001e-25,1.26574e-25,0.001,0.0010132176543903922,0.001,0.001013580609356832,0.0010133973870950436,72449.9477010563,1209.5554589784763,0.008323566617806075,0.01066031520264338
O1s_m200,elastic-isoscalar,elastic,O1,s,200,0,0.974535,0.0236451,0.00169932,0.000120313,8099.98,14.1241,0.31376,0.00212681,0.001134,4.34008e-07,1.25935e-07,0.001,0.001219351310657489,0.0011418546879466262,0.0012608706797084554,0.0012388310066603935,8099.99750650387,210.65404403514168,0.17020495739425276,0.2179881027195372
O1s_m400,elastic-isoscalar,elastic,O1,s,400,0,0.96994,0.0270856,0.00272947,0.000245146,3956.57,11.134,0.344136,0.0278697,0.0148362,5.68723e-06,1.65025e-06,0.001,0.0014663090677310788,0.0013084213556545615,0.001621200211936212,0.0015370341425467416,3956.5809762345702,121.62168666835274,0.30687076232860233,0.39302130962707693
O1s_m4000,elastic-isoscalar,elastic,O1,s,4000,0,0.966146,0.0297017,0.00375776,0.000394464,2449.26,9.52624,0.365622,0.0830443,0.044003,1.69464e-05,4.9173e-06,0.001,0.0017592544423961232,0.0015009328654670667,0.00210707537100359,0.001915973357942575,2449.26279711203,84.82259471079745,0.4471050476577394,0.5726248080394036
O1v_m200,elastic-isovector,elastic,O1,v,200,0,0.988056,0.00934111,0.00201036,0.000592454,1667.73,3.39328,1.20266,0.171564,0.198274,3.50103e-05,1.60575e-05,0.0010607673656021965,0.002269626036091762,0.0018626386469593383,0.0029795480689901927,0.002591651334287675,1667.7345414158738,19.16008669027469,0.5324432432450548,0.6819207511798695
O1v_m400,elastic-isovector,elastic,O1,v,400,0,0.983616,0.011983,0.00304602,0.00135451,726.181,2.2488,1.24569,0.533184,0.641476,0.000108804,4.99032e-05,0.0030225800882178635,0.003982165967839657,0.0030339211497781276,0.006211553076544653,0.005013948528203666,726.1784704431861,11.095540084606242,0.7016247473653541,0.8985980775223448
O3s_m100,elastic-isoscalar,elastic,O3,s,100,0,0.739966,0.253834,0.00419194,0.00200778,368.549,2.08785,0.621332,0.83952,0.568106,0.000171317,4.97105e-05,0.004243201744302566,0.005230037471684476,0.0038040669757313885,0.008862157159832752,0.006924265712934084,368.5493430555141,128.51305421908776,0.04289996150715927,0.054943647698962976
O3s_m200,elastic-isoscalar,elastic,O3,s,200,0,0.647875,0.318402,0.0165866,0.0171363,37.8073,0.967921,0.827512,7.31083,6.10361,0.00149188,0.000432896,0.04112154895902114,0.03936183360607091,0.027673511815366602,0.07576961717287584,0.05767469287046072,37.80716957569604,19.548478959868817,0.16277562813433763,0.2084730720492124
O3s_m400,elastic-isoscalar,elastic,O3,s,400,0,0.603829,0.337001,0.0258035,0.0333666,18.0968,0.773334,0.886194,13.6854,12.1703,0.00279271,0.000810354,0.07753290926930553,0.0745849264842059,0.05246449231507235,0.14426178462506103,0.10985104801611487,18.09680938423453,10.87328346310382,0.21650157334854916,0.27728197775535857
O3s_m1000,elastic-isoscalar,elastic,O3,s,1000,0,0.57963,0.343684,0.0315174,0.0451684,12.8327,0.697775,0.912913,18.0617,16.5235,0.00368576,0.00106949,0.10413262864415582,0.09910001377301664,0.06967349000602044,0.1920399524122345,0.14618919728554677,12.832644060892129,8.306723284420082,0.24603087674177374,0.3151013040538767
O3s_m4000,elastic-isoscalar,elastic,O3,s,4000,0,0.568448,0.346055,0.0342338,0.0512634,11.0888,0.667802,0.924096,20.2469,18.7412,0.00413168,0.00119888,0.1154574853670809,0.11141717479245039,0.07830340541080287,0.21609608807568753,0.1644632055984467,11.088768985279945,7.418329646492428,0.2597662176175198,0.33269268883813147
O3v_m100,elastic-isovector,elastic,O3,v,100,0,0.617649,0.284672,0.092796,0.00488238,126.506,19.0063,0.336416,1.89974,0.763381,0.000387671,0.000177806,0.009409481856498649,0.009953643224133309,0.006694148969782337,0.019313177418368806,0.01442555807200856,126.50572057070526,77.31229441378999,0.011789636165868716,0.01509944515657298
O3v_m200,elastic-isovector,elastic,O3,v,200,0,0.419999,0.324768,0.226067,0.0291665,14.4,7.7509,0.478318,9.44738,4.69349,0.00192788,0.000884224,0.05362411543856158,0.05148185391144684,0.035115994982632806,0.10342921655596415,0.07753739509001877,14.400048000274287,18.885879347881986,0.17035067542970941,0.2181747294698241
O3v_m400,elastic-isovector,elastic,O3,v,400,0,0.343587,0.320527,0.287542,0.0483436,7.10718,5.94788,0.524797,14.3155,7.69068,0.0029213,0.00133986,0.08224437991307536,0.079532186062402,0.05440519355702395,0.15979906940841582,0.11986138961408298,7.107186887199132,12.57806617628807,0.3045209844636189,0.3900118578082699
