k,E_tyr,Pge1_200-270 keV,Pge1_55-270 keV,Pge1_55-420 keV (1000 phd),Pge1_P038,Pge1_flat,Pge1_plugin
0.1,0.284,0.03634741252396434,0.09427534023865913,0.15046290883490376,0.021055672552287352,0.0705151782281721,0.037852464196211466
0.10326676186053371,0.29327760368391576,0.03746819530566892,0.09704608551259242,0.1540573568661895,0.02172420764758931,0.07262959683287862,0.03905170459971985
0.10664024105160179,0.30285828458654906,0.038621486463137455,0.09988898712036842,0.15772955917496756,0.022413344789117273,0.07480170123264196,0.04028770874472931
0.11012392377425673,0.3127519435188891,0.03980810487179531,0.10280537798026523,0.1614804504016608,0.023123679140773068,0.07703272660157268,0.041561523829968805
0.11372141011543736,0.3229688047278421,0.041028882668305844,0.10579658332594088,0.16531093144854736,0.02385582055151292,0.07932391471015199,0.04287422168149069
0.11743641776834958,0.3335194264621128,0.042284665016302014,0.10886391840978615,0.169221866687977,0.02461039375778684,0.08167651267301024,0.04422689898195942
0.12127278587438306,0.34441471188324785,0.043576309838525784,0.11200868609429815,0.17321408110607173,0.025388038577693672,0.08409177161675951,0.04562067747505982
0.1252344789905341,0.35566592033311684,0.044904687513888875,0.1152321743313578,0.1772883573871057,0.026189410095901144,0.08657094526643838,0.047056704142604655
0.12932559118643497,0.3672846789694753,0.04627068053797179,0.11853565352974105,0.1814454329443692,0.02701517883832205,0.08911528844934058,0.04853615135178324
0.1335503502752232,0.37928299478163385,0.047675183145489464,0.12192037381169563,0.1856859969039335,0.027866030935494557,0.09172605551520796,0.05006021696985774
0.13791312218262333,0.39167326699865024,0.04911910089327565,0.12538756215993907,0.19001068704836477,0.028742668273552763,0.09440449867202783,0.05163012444346049
0.14241841545875653,0.40446829990286853,0.05060335020235773,0.1289384194570119,0.1944200867280672,0.029645808631625137,0.09715186623693128,0.05324712283950539
0.14707088593733963,0.41768131606204456,0.05212885785772947,0.13257411741951675,0.1989147217485664,0.030576185804439215,0.09996940080199168,0.05491248684456551
0.1518753415470897,0.43132596999373474,0.053696560464479015,0.1362957954304278,0.20349505724268002,0.03153454970885883,0.10285833731502791,0.056627516719424564
0.1568367472803053,0.44541636227606707,0.05530740385896937,0.14010455727333004,0.20816149453715538,0.03252166647302013,0.10581990107586114,0.05839353820534554
0.16196023032376,0.45996705411947836,0.05696234247384069,0.1440014677731598,0.2129143680239597,0.03353831850667932,0.10885530564883583,0.06021190237843621
0.1672510853572091,0.4749930824144738,0.0586623386556675,0.14798754934877212,0.21775394204702747,0.03458530455132636,0.11196575069279457,0.06208398544834637
0.1727147800249871,0.49050997527096335,0.06040836193419319,0.15206377848342756,0.22268040781584542,0.035663439708565114,0.11515241971010548,0.06401118849735032
0.17835696058634803,0.5065337680652284,0.062201388242144606,0.15623108212010195,0.22769388035781568,0.036773555445202444,0.118416477716763,0.0659949371557188
0.18418345775039002,0.5230810200111077,0.06404239908474574,0.16049033398934842,0.23279439552187653,0.037916499573435236,0.12175906883603249,0.06803668120912942
0.19020029270159194,0.5401688312725211,0.06593238065815354,0.1648423508782827,0.23798190704634237,0.03909313620447086,0.12518131381856423,0.07013789413368099
0.19641368332219106,0.5578148606350226,0.06787232291617151,0.16928788885013024,0.24325628370438557,0.04030434567386454,0.1286843074923847,0.0723000725539591
0.2028300506178298,0.5760373437546366,0.0698632185847251,0.17382763942464352,0.24861730654098513,0.041551024436806916,0.13226911614666137,0.07452473561941231
0.20945602535311433,0.5948551120028447,0.07190606212374306,0.17846222573056936,0.2540646662155076,0.04283408493154672,0.13593677485364242,0.07681342429418148
0.2162984549039397,0.6142876119271887,0.07400184863623771,0.18319219864222558,0.259597960464377,0.044154455409091575,0.13968828473367112,0.07916770055536748
0.2233644103336653,0.6343549253476094,0.07615157272455342,0.18801803291310493,0.2652166916985065,0.04551307972728269,0.143524610168706,0.08158914649460636
0.2306611937004515,0.6550777901092822,0.0783562272939351,0.19294012332027455,0.27092026475029785,0.04691091710730899,0.14744667597027306,0.08407936331769483
0.2381963456033096,0.6764776215133992,0.08061680230375734,0.1979587808341594,0.2767079847850761,0.04834894185068761,0.15145536450830532,0.0866399702369075
0.2459776529746636,0.6985765344480446,0.08293428346696297,0.20307422882909287,0.2825790553917926,0.049828143014707615,0.15555151280781865,0.08927260325055397
0.25401315712747585,0.7213973662420314,0.08530965089846343,0.20828659935075644,0.28853257686769973,0.051349524044319805,0.15973590962087647,0.09197891380425471
0.2623111620652538,0.7449637002653208,0.0877438777134869,0.2135959294573404,0.29456754471147084,0.05291410235842808,0.16400929248176976,0.09476056732835847
0.27088024306352426,0.7692998903004089,0.09023792857707291,0.21900215765188158,0.30068284833890857,0.05452290888853317,0.16837234475380025,0.09761924164589098
0.27972925553164446,0.7944310857098702,0.09279275820616417,0.22450512042380721,0.3068772700349318,0.05617698756767919,0.17282569267649395,0.10055662524543074
0.2888673441641071,0.8203832574260641,0.09540930982597362,0.2301045489182003,0.3131494841549799,0.05787739476765341,0.1773699024224702,0.10357441541331269
0.29830395239079677,0.8471832247898627,0.09808851358256132,0.2358000657516952,0.31949805658829455,0.059625198682406566,0.1820054771735733,0.10667431621963996
0.30804883213596396,0.8748586832661376,0.10083128491379656,0.24159118199421314,0.32592144449475924,0.06142147865568881,0.18673285422619756,0.1098580363526509
0.3181120538960011,0.9034382330646431,0.10363852288113862,0.24747729433593468,0.33241799632605373,0.06326732445092265,0.19155240213603308,0.11312728679614392
0.3285040171464361,0.9329514086958786,0.10651110846491352,0.25345768245897604,0.3389859521408807,0.06516383546138838,0.19646441791269875,0.1164837783448125
0.339235461088897,0.9634287094924675,0.10944990282601941,0.2595315066331827,0.34562344422287494,0.06711211985884624,0.20146912427491914,0.11992921895258468
0.3503174757491548,0.9949016311275996,0.11245574553723359,0.2656978055552647,0.352328498008569,0.06911329367879704,0.20656666697703452,0.12346531090932444
0.36176151343771257,1.0274026981631037,0.11552945278753968,0.2719554944501673,0.35909903333145354,0.07116847984065755,0.21175711221771165,0.12709374784157645
0.3735794005847853,1.06096549766079,0.11867181556312234,0.2783033634530957,0.36593286598672214,0.0732788071012318,0.2170404441417314,0.1308162115334397
0.3857833499618995,1.0956247138917945,0.1218835978089069,0.28474007628998343,0.37282770961977807,0.07544540893996388,0.22241656244567454,0.13463436856409217
0.3983859733027441,1.1314161641797933,0.12516553457472734,0.2912641692734128,0.379781177939974,0.0776694223745873,0.22788528009821685,0.13854986675902703
0.41140029433631414,1.168376835915132,0.12851833015041647,0.2978740506300569,0.3867907872593911,0.07995198670592862,0.23344632118554376,0.1425643314526459
0.42483976224581627,1.2065449247781181,0.13194265619428802,0.30456800017461383,0.39385395935474965,0.08229424219078063,0.23909931889214797,0.1466793615605385
0.43871826556724464,1.2459598742109748,0.13543914985966055,0.3113441693439537,0.4009680246487828,0.08469732864193347,0.24484381362694596,0.15089652546053434
