exposure_tyr,placement,regions_examined,P_DM,P_DM_P038wt,P_B,P_Usteady,BF_DM_vs_B,BF_DM_vs_Usteady,postDM_med,postDM_16,postDM_84
1.0,both 200-270,L2M + H,0.01923725408127753,0.006555915814065425,1.9270824502806567e-08,0.04808107796581055,998257.9665169931,0.4001003075462813,0.01752184360346968,0.0015167704127919113,0.1742294985386787
1.0,200-270 + 55-200,L2M + H,0.0209563845592636,0.014989320113589805,8.120995530725188e-06,0.007801324199523065,2580.5191592553724,2.686259925019495,0.106734694327384,0.01007658700623742,0.5854089898559225
1.0,both 55-200,L2M + H,0.028761669349043326,0.026910586339876953,0.0008555753335885226,0.0006328961604120117,33.61675847807443,45.444531264527896,0.36696947719396533,0.057513778903565495,0.8513328558171545
1.0,200-270 + 270-420,L2M + H + X,0.014743642522997865,0.00797865095471052,1.8930316675758728e-07,0.00018185151934696844,77883.7606128263,81.0751682248381,0.7829072347812881,0.23501872768162496,0.9770729761125738
1.0,both 270-420,L2M + H + X,0.011480115890646202,0.004831144136933985,4.6535421100630563e-07,3.4423724225679674e-07,24669.629325629212,33349.43022255034,0.9976548628639261,0.978157360068682,0.9997620939525286
1.0,55-200 + 270-420,L2M + H + X,0.012885091716503531,0.010012376436876557,3.9887503800540476e-05,2.9506049336296857e-05,323.03580040847123,436.6932207577156,0.8478063439531044,0.3696407364097573,0.9821515991227179
1.0,"one 200-270 only (N=1, nothing elsewhere)",L2M + H,0.08265087713311728,0.05474344436458251,0.0001921968942271627,0.18463133938871246,430.03232422387623,0.44765356416068003,0.01952344145851025,0.0016934399554412037,0.1904841664186545
1.0,nothing anywhere 55-420,L2M + H + X,0.5972789047458734,0.7007730537724374,0.957490031707259,0.7082856890679636,0.6237964730357467,0.8432739979990779,0.010642547669911646,0.0011310778069864463,0.09605370301693682
2.8,both 200-270,L2M + H,0.02717376324757213,0.012219103127866594,1.399679974597202e-07,0.11025943730840213,194142.6879054418,0.24645294689438255,0.010866174865183598,0.0009348402835077402,0.11501688062807665
2.8,200-270 + 55-200,L2M + H,0.0383718538106282,0.03318247238961752,5.8984475814690704e-05,0.026275910975467102,650.5415752303979,1.460343424304286,0.06086056597777818,0.005489611750114439,0.43351848920681857
2.8,both 55-200,L2M + H,0.05840203349353089,0.06141621079383916,0.006214221197483126,0.0031309043218655163,9.398125949746492,18.653407287365667,0.152974799639002,0.018831963873866563,0.6359386325791772
