exposure_tyr,k,region,mean_DM,mean_DM_median,mean_B,P0_DM,P1_DM,Pge2_DM,Pge1_DM,P0_DM_P038wt,P1_DM_P038wt,Pge2_DM_P038wt,P0_B,P1_B,Pge2_B,P0_Usteady,P1_Usteady,Pge2_Usteady,P0_mix_med,P0_mix_16,P0_mix_84,P1_mix_med,P1_mix_16,P1_mix_84,Pge2_mix_med,Pge2_mix_lo,Pge2_mix_hi
1.0,0.35211267605633806,200-270 keV (600 phd ROI),0.20992258032393657,0.07971089878732193,0.00020053211140893723,0.8491702631214342,0.11255647987369345,0.03827325700487237,0.15082973687856582,0.913157693894137,0.07568833726314514,0.011153968842717826,0.999799487993811,0.00020049190231297346,2.0103876006337612e-08,0.7395833333333334,0.19259982638888892,0.0678168402777777,0.8870735332196698,0.8730334231257791,0.9271111751333537,0.08362663773579473,0.054040839778608615,0.09396814073875964,0.029298424235914944,0.018848708822708036,0.03299503440664734
1.0,0.35211267605633806,55-270 keV (above old edge),0.4825351226116391,0.30921265412074805,0.042454053238169503,0.6832331612531559,0.21058324536809053,0.10618359337875355,0.3167668387468441,0.7479203367529434,0.18527583016339266,0.06680383308366389,0.9584345014710537,0.04068942935075056,0.00087606917819575,0.7089843432526557,0.214588424314881,0.0764272324324633,0.843744408770831,0.8327158712877283,0.8813332439112903,0.11986041071510116,0.09345826411498896,0.12742496457877478,0.03620602215073053,0.025141022896890877,0.04064336943737495
1.0,0.35211267605633806,55-420 keV (1000 phd edge),3.831731248602028,0.4221801352319584,0.04343996873112725,0.5972789047458735,0.21264526791940458,0.1900758273347219,0.40272109525412647,0.7007730537724374,0.2048167490926175,0.09441019713494514,0.9574900317072589,0.04159333703772937,0.0009166312550117489,0.7082856890679636,0.21507527235588997,0.0766390385761464,0.8406900592471453,0.8251365893259911,0.8769592366515515,0.12063960118048206,0.09434422108007012,0.1281563861009941,0.037589273777006174,0.0276196149044508,0.05026445987855073
1.0,0.35211267605633806,270-420 keV extension only,3.349196125990389,0.06663807218359015,0.0009859154929577466,0.821525921567672,0.09834942540131272,0.08012465303101526,0.178474078432328,0.9193387458279476,0.06842541121405263,0.01223584295799976,0.9990145703620381,0.0009849439426104604,4.856953514272011e-07,0.9990145703620381,0.0009849439426104604,4.856953514272011e-07,0.9962968057705397,0.9750316985096105,0.9987272998577321,0.002475820919676415,0.0011425311679351454,0.01414116490470417,0.0012273733097838896,0.00013016897433270762,0.010827136585685399
2.8,0.9859154929577465,200-270 keV (600 phd ROI),0.3782292576995034,0.1862012816432114,0.0005614899119450242,0.7520935149816759,0.16853652446444137,0.07936996055388276,0.24790648501832413,0.8317428239760942,0.13408083524797876,0.03417634077592702,0.9994386676940161,0.0005611747295179654,1.575764659094911e-07,0.5035460992907801,0.2499874251798199,0.24646647552940001,0.7881640017037335,0.759413659737979,0.864599651034384,0.11034347871157772,0.07210698371373454,0.12304295598834417,0.10134084921365813,0.061595708732840156,0.11852882342771016
2.8,0.9859154929577465,55-270 keV (above old edge),1.0283214565754288,0.6924547859933353,0.1188713490668746,0.4992630157051651,0.24582067864983298,0.25491630564500184,0.5007369842948348,0.5610284657149365,0.23939763800433045,0.19957389628073308,0.8879220254113505,0.10554848902683897,0.006529485561810572,0.44736079043435567,0.27502120154322235,0.2776180080224219,0.6893168540885188,0.6690417103529329,0.7565427620647696,0.18148318389968893,0.15561841046572158,0.18953072215898173,0.1291718454425265,0.0878173461269035,0.14140289889778776
2.8,0.9859154929577465,55-420 keV (1000 phd edge),5.505733673315456,0.9799756625569895,0.12163191244715629,0.41274564795416235,0.22796008244571597,0.3592942696001217,0.5872543520458376,0.5040893386063521,0.24544209412660334,0.2504685672670446,0.8854742405705395,0.10770192530328808,0.006823834126172448,0.4461275256544995,0.2754945983605074,0.2783778759849932,0.6838574802188211,0.6647948725275756,0.7501188581434031,0.18198344520991827,0.1562437126528447,0.1903273252049019,0.13313716695996353,0.09302391128046555,0.14752070124174338
2.8,0.9859154929577465,270-420 keV extension only,4.477412216740027,0.158636191269245,0.00276056338028169,0.736511343597943,0.14420724534984122,0.11928141105221576,0.263488656402057,0.8495229214645628,0.11850378723911856,0.03197329129631868,0.9972432434709828,0.002752953179159333,3.803349857857234e-06,0.9972432434709828,0.002752953179159333,3.803349857857234e-06,0.9932508308284705,0.9620122594899181,0.996821241360572,0.004918947845231491,0.0029819010365245476,0.021866739808048322,0.0018302213262979656,0.00019685760290341555,0.016121000702033577
5.6,1.971830985915493,200-270 keV (600 phd ROI),0.7564585153990068,0.3724025632864228,0.0011229798238900485,0.620753511782631,0.20669629238441942,0.17255019583294953,0.37924648821736895,0.7192630738888405,0.18938858159946312,0.0913483445116964,0.9988776504819901,0.0011217194480259702,6.300699839649655e-07,0.33649289099526064,0.22326542530491222,0.4402416836998271,0.7122894822846084,0.676453354544386,0.814327899602477,0.10173485572442384,0.0677921925472478,0.11169261787636706,0.18319035273960046,0.11464092210978943,0.21220452936864503
5.6,1.971830985915493,55-270 keV (above old edge),2.0566429131508577,1.3849095719866709,0.2377426981337492,0.335584914014231,0.21837035682015618,0.4460447291656128,0.6644150859857689,0.3950197429017448,0.23096400042500342,0.3740162566732518,0.7884055232105949,0.18743765631163709,0.024156820477768043,0.2655909396448623,0.2390655298660329,0.49534353048910473,0.553193899372646,0.5288642464800981,0.6328422837249955,0.2098838980004245,0.20194471210318254,0.21263235367648092,0.23687436972972054,0.16494317592025717,0.2584162332380032
5.6,1.971830985915493,55-420 keV (1000 phd edge),11.011467346630912,1.959951325113979,0.24326382489431259,0.26738191902379926,0.18611738048279897,0.5465007004934017,0.7326180809762007,0.34017130172296456,0.21940163783914712,0.44042706043788826,0.7840646307139737,0.19073456103182793,0.025200808254198376,0.2641286189442411,0.23920754335955,0.4966638376962089,0.5470117049361911,0.5245290744647101,0.6257565844287558,0.20965648859864966,0.19965848176860695,0.21385543358816891,0.24200735233757786,0.17096108864945073,0.2628866877217575
5.6,1.971830985915493,270-420 keV extension only,8.954824433480056,0.31727238253849,0.00552112676056338,0.6250850722781128,0.17517005325639975,0.19974487446548742,0.37491492772188717,0.750172375724828,0.1676004840265724,0.08222714024859962,0.9944940866485259,0.005490727915017211,1.5185436456889752e-05,0.9944940866485259,0.005490727915017211,1.5185436456889752e-05,0.988837574269532,0.9445782801281799,0.9938961874894855,0.008088913576210818,0.005765358803765431,0.028418377335479392,0.003073512154257176,0.00033845370674910196,0.0270033425363407
10.0,3.5211267605633805,200-270 keV (600 phd ROI),1.406006497555222,0.6776781648551934,0.002005321114089372,0.4923442085907416,0.21478107828800158,0.29287471312125674,0.5076557914092583,0.5953471864867985,0.22115723380073268,0.1834955797124688,0.9979966881989656,0.0020013038306366526,2.0079703977604613e-06,0.22118380062305298,0.17226152696499455,0.6065546724119525,0.6573564276040318,0.6171664991805419,0.7766627759355141,0.08098921756149988,0.05567204176077655,0.08954928252239322,0.25735078661085564,0.164039834935768,0.29336893161680905
10.0,3.5211267605633805,55-270 keV (above old edge),3.758710853513841,2.5309677664539576,0.42454053238169503,0.21878733451345722,0.16725080142073173,0.6139618640658111,0.7812126654865428,0.2683277324604163,0.19002810765225003,0.5416441598873336,0.6540702401953415,0.27767932798755346,0.068250431817105,0.1449601419639147,0.1741480710355836,0.6808917870005017,0.4253117685203844,0.40146563914661226,0.5030124145886626,0.23019792181011003,0.22571745494948278,0.24585384360778142,0.34468400316564785,0.25122564288004445,0.3727594073067972
10.0,3.5211267605633805,55-420 keV (1000 phd edge),21.01572417379208,3.567293810013952,0.4343996873112725,0.17113377236971458,0.1358568046268011,0.6930094230034842,0.8288662276302854,0.22363037767670732,0.16971680456160487,0.6066528177616878,0.6476533449230951,0.2813404105206922,0.07100624455621268,0.14353797964484238,0.17385471750699755,0.6826073028481601,0.41895389727695254,0.3965559361489646,0.4956700605960802,0.23118636740480739,0.22516394389589361,0.24694546017486438,0.35042271422816507,0.2579214234171073,0.3767331292107686
