source,sigma_E_S1_MC,sigma_E_comb_MC,sigma_E_ML_MC,sigma_E_ee_MC,sigma_E_S1_lin,sigma_E_comb_lin,sigma_E_ML_lin,sigma_nsig_band
g1,3.8887691606608352,3.824731852909821,3.7054136082543345,1.2027960817456713,3.8969164761629975,3.8327322006225586,3.7231034365567295,0.07131870263064745
g2,8.526512829121202e-14,0.36842181762640336,0.8357822456109695,0.11585078978289552,0.0,0.3677309423253156,0.838706201746844,0.44193020160937785
Nq-scale,9.192425663392726,8.983291355577471,8.769353655032294,0.0,9.099348449707032,8.893346099853515,8.7042183303833,0.16797392726773958
field,0.03498750076981177,2.842170943040401e-14,0.03582782257132496,0.0,0.03634635648579178,0.0,0.03723095118072984,0.03755754631591669
W,8.526512829121202e-14,2.842170943040401e-14,2.842170943040401e-14,1.0394299082041591,0.0,0.0,0.0,
all,9.992975188248591,9.783284173394492,9.57003858244741,1.591644577549899,9.89875857312452,9.691061191603954,9.50419539881497,0.5380082540784762
