label,N_lo,Z_LZ,Z_model,s_hat,lo_events_hat,theta_hat,resid
L10s,0.2,3.4,3.400010193797789,0.49946580261571005,0.09989316052314201,0.9973563807118114,1.0193797788993209e-05
L4s=O6s,0.43,3.1,3.26383153619133,0.31653723836159703,0.1361110124954867,0.9966691053762805,0.16383153619133006
L4v=O6v,0.45,3.1,3.2525649049441845,0.30504468557755854,0.13727010850990135,0.9965904659074848,0.1525649049441844
L2s=O10s,3.08,3.0,3.0798672612427342,0.1748230566727552,0.538455014552086,0.9939419042904467,0.07986726124273424
L2v=O10v,3.15,3.1,3.069848940624882,0.16945402325809755,0.5337801732630073,0.9938886686205622,-0.030151059375118194
L15s=O4s,28.1,2.7,2.7017269925103364,0.056820091283607356,1.5966445650693668,0.9903042292833708,0.001726992510336256
L15v=O4v,29.4,2.7,2.6847618420670947,0.05421572338399045,1.593942267489319,0.9902587348843196,-0.015238157932905505
L3v=O11v,34.0,2.6,2.728142116782408,0.06075576970422818,2.065696169943758,0.9893445485075383,0.12814211678240772
L3s=O11s,258.3,1.7,1.896560552539166,0.007887816503418106,2.037423002832897,0.9893140200800062,0.19656055253916604
L1v=O1v,476.6,1.3,1.6508498899454498,0.004675399565853225,2.228295433085647,0.9892077680627963,0.35084988994544974
L1s=O1s,2752.1,0.0,0.4760263762035074,0.00036742009500755085,1.0111768434702806,0.9945115177129278,0.4760263762035074
