kappa,mode,model,N_lo,Z
0.5,model_only,L10_1000,0.2,3.4105052783035052
0.5,model_only,O6s_1000,0.43447411968345223,3.276638023953478
0.5,model_only,O10s_1000,3.076476917551439,3.1130513637929913
0.5,model_only,O9s_1000,2.065076572287078,3.2317518470095408
0.5,model_only,O4s_1000,28.084161072578794,2.76606264727299
0.5,model_only,O11v_1000,33.96727253570907,2.799060125512173
0.5,model_only,O11s_1000,257.67844901222225,1.9991538326612426
0.5,model_only,O1v_1000,476.90672412229316,1.7682944873417639
0.5,model_only,O1s_1000,2744.703770862073,0.6704546626394347
0.5,model_and_data,L10_1000,0.2,3.3996348004305905
0.5,model_and_data,O6s_1000,0.43447411968345223,3.260945954194185
0.5,model_and_data,O10s_1000,3.076476917551439,3.0771089233122955
0.5,model_and_data,O9s_1000,2.065076572287078,3.2078786884944597
0.5,model_and_data,O4s_1000,28.084161072578794,2.692497498174289
0.5,model_and_data,O11v_1000,33.96727253570907,2.717183222545149
0.5,model_and_data,O11s_1000,257.67844901222225,1.881467695074754
0.5,model_and_data,O1v_1000,476.90672412229316,1.6315011317297496
0.5,model_and_data,O1s_1000,2744.703770862073,0.4630456652254499
1.0,model_only,L10_1000,0.2,3.400010193797789
1.0,model_only,O6s_1000,0.43447411968345223,3.26166538898258
1.0,model_only,O10s_1000,3.076476917551439,3.0801726542357515
1.0,model_only,O9s_1000,2.065076572287078,3.209408249913131
1.0,model_only,O4s_1000,28.084161072578794,2.7019217435209324
1.0,model_only,O11v_1000,33.96727253570907,2.7284703643545836
1.0,model_only,O11s_1000,257.67844901222225,1.8977350227793002
1.0,model_only,O1v_1000,476.90672412229316,1.6505042906564196
1.0,model_only,O1s_1000,2744.703770862073,0.4782404730536186
1.0,model_and_data,L10_1000,0.2,3.400010193797789
1.0,model_and_data,O6s_1000,0.43447411968345223,3.26166538898258
1.0,model_and_data,O10s_1000,3.076476917551439,3.0801726542357515
1.0,model_and_data,O9s_1000,2.065076572287078,3.209408249913131
1.0,model_and_data,O4s_1000,28.084161072578794,2.7019217435209324
1.0,model_and_data,O11v_1000,33.96727253570907,2.7284703643545836
1.0,model_and_data,O11s_1000,257.67844901222225,1.8977350227793002
1.0,model_and_data,O1v_1000,476.90672412229316,1.6505042906564196
1.0,model_and_data,O1s_1000,2744.703770862073,0.4782404730536186
2.0,model_only,L10_1000,0.2,3.3983491111792596
2.0,model_only,O6s_1000,0.43447411968345223,3.259310959448436
2.0,model_only,O10s_1000,3.076476917551439,3.0751245926204103
2.0,model_only,O9s_1000,2.065076572287078,3.205932980319045
2.0,model_only,O4s_1000,28.084161072578794,2.692322671274201
2.0,model_only,O11v_1000,33.96727253570907,2.7179709066309625
2.0,model_only,O11s_1000,257.67844901222225,1.8825821738707516
2.0,model_only,O1v_1000,476.90672412229316,1.6329015196809709
2.0,model_only,O1s_1000,2744.703770862073,0.4491137009457504
2.0,model_and_data,L10_1000,0.2,3.400197856958426
2.0,model_and_data,O6s_1000,0.43447411968345223,3.262027990443276
2.0,model_and_data,O10s_1000,3.076476917551439,3.0817795236869627
2.0,model_and_data,O9s_1000,2.065076572287078,3.2101917143244325
2.0,model_and_data,O4s_1000,28.084161072578794,2.70720831528787
2.0,model_and_data,O11v_1000,33.96727253570907,2.7349263331638927
2.0,model_and_data,O11s_1000,257.67844901222225,1.9071035931934042
2.0,model_and_data,O1v_1000,476.90672412229316,1.6615381619948613
2.0,model_and_data,O1s_1000,2744.703770862073,0.48679435547474603
3.0,model_only,L10_1000,0.2,3.3985167636408367
3.0,model_only,O6s_1000,0.43447411968345223,3.2595491545330133
3.0,model_only,O10s_1000,3.076476917551439,3.075640107320466
3.0,model_only,O9s_1000,2.065076572287078,3.206286007480309
3.0,model_only,O4s_1000,28.084161072578794,2.6933158793637286
3.0,model_only,O11v_1000,33.96727253570907,2.719061072801567
3.0,model_only,O11s_1000,257.67844901222225,1.884156369414721
3.0,model_only,O1v_1000,476.90672412229316,1.634730915998759
3.0,model_only,O1s_1000,2744.703770862073,0.4520725483459559
3.0,model_and_data,L10_1000,0.2,3.4002603171257717
3.0,model_and_data,O6s_1000,0.43447411968345223,3.2621491225181054
3.0,model_and_data,O10s_1000,3.076476917551439,3.0823266206762594
3.0,model_and_data,O9s_1000,2.065076572287078,3.2104554183834604
3.0,model_and_data,O4s_1000,28.084161072578794,2.709073614808068
3.0,model_and_data,O11v_1000,33.96727253570907,2.737229879774971
3.0,model_and_data,O11s_1000,257.67844901222225,1.9104606441626761
3.0,model_and_data,O1v_1000,476.90672412229316,1.6655117002452413
3.0,model_and_data,O1s_1000,2744.703770862073,0.48981745147616046
