model,N_lo,q0_obs,Z_wilks,p_toy,Z_toy,frac_toys_q0_gt0,n_toys
L10_1000,0.2,11.559216176705718,3.399884729914489,0.000465,3.3108892735647646,0.020655,200000
O10s_1000,3.076476917551439,9.482718072382113,3.0794022264689804,0.00074,3.1785768083405865,0.038225,200000
O4s_1000,28.084161072578794,7.288216517625642,2.6996697052835263,0.002435,2.8155092167822673,0.3038,200000
O11s_1000,257.67844901222225,3.5866605781285443,1.893848087394695,0.02552,1.9511433135121596,0.438665,200000
