b_L,N_lo,s_hat,Z,lo_events
5,0.2,0.9912933697519486,3.3988649483931272,0.19825867395038974
5,3.0,0.5666604753402502,3.289244672696585,1.6999814260207506
5,28.0,0.09318776526561798,2.7622636160367584,2.6092574274373033
5,258.0,0.010068991398551518,1.8824673277974324,2.5977997808262914
5,2752.0,0.0005106696503369484,0.6378538252369358,1.405362877727282
15,0.2,0.9962487948272011,3.399613164185093,0.19924975896544023
15,3.0,0.7238279182762832,3.3436261192855854,2.1714837548288495
15,28.0,0.14347723685855968,2.913373895556292,4.017362632039671
15,258.0,0.01627443541391153,2.1048302740165177,4.198804336789175
15,2752.0,0.001070221046332595,0.9010080078724998,2.9452483195073014
45,0.2,0.9979814476614254,3.3998700752486455,0.1995962895322851
45,3.0,0.8590717279169015,3.3758296046759226,2.5772151837507042
45,28.0,0.2244997960968139,3.0540224671279996,6.285994290710789
45,258.0,0.026980934932966178,2.320317136498287,6.961081212705274
45,2752.0,0.002076278042110956,1.1847251985347582,5.713917171889351
