N_lo,baseline (O4-like 55-200 keV companions),no 55-200 keV companions,sig_theta = 1.0,f_exp = 0.5,"kappa = 3 (bkg x3, data fixed)"
0.03162277660168379,3.5927867064610335,3.594453408067349,3.5927871592408103,3.592783117663233,3.5926517509875664
0.044521668184840275,3.5908502956396093,3.5931850136024623,3.590850956966405,3.590843494319647,3.5906616227259085
0.06268200173970413,3.5881433009053336,3.5914071678070125,3.5881442775450014,3.5881303806293445,3.587880263006563
0.08824991295887957,3.5843697239530723,3.588919706326047,3.5843711846482957,3.584345227433933,3.5840044184699753
0.12424694363767746,3.579129773594947,3.5854480686775085,3.5791319878647454,3.5790836325247493,3.5786251062930443
0.17492711874398423,3.5718924076606458,3.580619632040248,3.5718958070112357,3.571806510964767,3.5712001743222337
0.24627967478463406,3.5619684559012796,3.573936198609938,3.5619737246701484,3.561811355951063,3.5610279558226714
0.34673685045253166,3.5484919241697845,3.564745531888454,3.5485001207976676,3.548211587711945,3.5472299602078325
0.48817038420599096,3.530421997812595,3.552218509746873,3.530434688474639,3.529937706985255,3.5287553878785345
0.6872944819819478,3.506581886474544,3.5353435850601116,3.5066012388015575,3.5057785468952734,3.504423479340178
0.9676410537094536,3.4757479680242405,3.512955078940566,3.475776716836841,3.4744782126421883,3.47301620620188
1.3623406463614456,3.4367878019643294,3.4838116564618034,3.4368290022992936,3.4348867410945156,3.43341804159355
1.9180377161692859,3.3888187110410453,3.4467291869026724,3.3888752794547083,3.3861305455870876,3.3847726714948907
2.700402935545858,3.331334137632738,3.400745325032184,3.3314083263731216,3.327741371020588,3.3266036486380015
3.801893963205613,3.264246070867606,3.3452635107448483,3.2643391023710597,3.2596882627186172,3.2588495314722357
5.3526818228471065,3.1878265094885494,3.2801175159002134,3.187938523379423,3.182301143076156,3.1817997936264613
7.5360341382273095,3.1025763795503534,3.2055292183781843,3.102706668480662,3.096124599304624,3.0959618789240806
10.609973170854326,3.0090737691794263,3.1219823364420813,3.009221153676888,3.0017598498983307,3.0019108625050688
14.937768144549388,2.9078449281818295,3.030065689262854,2.9080081156561723,2.8997375998849697,2.9001634251516957
21.03086535159893,2.7992770703181318,2.9303349790589333,2.7994549131251985,2.7904366561999234,2.791093573164646
29.60932939627084,2.6835709286681775,2.823216929664761,2.6837625667343845,2.6740426027181106,2.674887248870865
41.68693834703355,2.5607210051211826,2.7089559555994924,2.560925915898841,2.550532770993526,2.5515236501534027
58.69098909643811,2.4305103904675898,2.5875915052211376,2.4307283758645553,2.4196742107883606,2.420770334706439
82.63097117956943,2.2925100716550912,2.458952286864713,2.292741202810081,2.2810251371639776,2.2821822784121086
116.33604243505941,2.1460763599866,2.32265654245771,2.1463208864318943,2.133934267609787,2.1350987087188718
163.78937069540646,1.9903430380580558,2.178111489334933,1.9906012521942045,1.9775354947518198,1.9786344044081305
230.59885304051406,1.8242068451260254,2.0245083170222586,1.824478874796006,1.8107375294388661,1.8116640903643042
324.6598408543244,1.6463063253437262,1.8608114319553735,1.6465918020904764,1.6322099905564682,1.6327998807382194
457.0881896148752,1.4549953423553228,1.6857423345244953,1.4552928535548453,1.4403696392568655,1.4403629131210993
643.533898543218,1.2483142872558148,1.4977601469262372,1.2486204515885204,1.2333740524595738,1.2323519139265706
906.030582245338,1.0239649952239815,1.2950430879013113,1.0242728776750982,1.0091367393295039,1.0064142042748994
1275.5993395563098,0.7793010235900935,1.0754791358212894,0.7795973746333271,0.7653909856277923,0.7598298926175658
1795.9147372752675,0.5113560012883606,0.8366815420926323,0.5116163528861898,0.4998572259741791,0.48953027304677366
2528.4661441455028,0.2169552622967329,0.5760593820811641,0.21713498604492018,0.21062872768723082,0.19219233680353048
3559.8243666008316,0.0,0.2910028703814787,0.0,0.0,0.0
5011.872336272725,0.0,0.0,0.0,0.0,0.0
