model,operator,isospin,m_chi_GeV,N_lo,N_L2,N_M,Z_joint,s_hat,lo_events_hat,theta_hat,P_ge1_event_at_shat,s_total_hat,Z_analytic,Z_LZ_table,Z_Nmax3,Z_only2024_Nmax3,Z_Nmax5,Z_only2024_Nmax5,Z_Nmax10,Z_only2024_Nmax10,Z_Nmax20,Z_only2024_Nmax20,B10_flat,B10_exp_penalty,B10_loguniform,w_B10_flat,w_B10_exp_penalty
O9v_4000,O9,v,4000,1.8773506769566615,0.8749765394145683,1.4867673935826673,3.2321983428406575,0.2849213753488828,0.5348973368906481,0.9956680931390165,0.24792661649776115,1.492730041850983,2.541787058979356,,3.224498878509089,3.5376208036259515,3.229341996440581,3.570818020237124,3.231474669197824,3.5899636686140184,3.232016808081389,3.595601730011227,15.211400451270219,22.20860696766054,61.48828376510538,,
O10s_200,O10,s,200,9.131106125898825,8.231060433621984,3.3799517918008593,2.8629827443924194,0.09055176560409911,0.8268377816185438,0.9921670488160336,0.08657295142588317,1.9687872046854615,2.9922023651675587,2.8,2.843360619169898,3.2776344316376846,2.855451006053758,3.387379348810264,2.8610422181173383,3.497779123265774,2.862493777280916,3.5605906156022527,2.424740578702897,2.7107399760814523,18.953858447456422,,
O10s_1000,O10,s,1000,3.076476917551439,3.6045487783415027,2.194538517763545,3.0801726542357515,0.17498929179042336,0.538350517011911,0.9939429128369237,0.16053399010095504,1.7281179877785977,2.9531514896769018,3.0,3.0719896090123795,3.482647339874349,3.0771366562661453,3.5390771333812596,3.0794034362559923,3.578645819349621,3.0799796927825454,3.5923810199630606,6.335495225029729,11.566417300892955,37.4166527697611,0.028235143150154955,0.021327855993672474
O10s_4000,O10,s,4000,2.651644514456355,3.223170074259846,2.0706355059148622,3.1052072722640482,0.18933480779205591,0.5020486044774534,0.994195665815241,0.17249059628715924,1.6936850742804008,2.925066179721571,3.1,3.098106156862534,3.501773401578871,3.102582235659284,3.550754843345852,3.1045432970377185,3.583084496684819,3.1050407841409666,3.593683217216834,7.250332412006218,14.168028208809377,40.55678774345559,,
O10v_200,O10,v,200,9.34038639656611,8.724614515508636,3.502352490397171,2.8508571988530833,0.08741641877135847,0.816503128728523,0.9921364648331032,0.08370454644976522,1.9727572155917266,2.9837447023300525,2.5,2.8315960390653188,3.2722760527192896,2.8434741077340933,3.382987071405774,2.848956319654131,3.494933141523429,2.8503783145071697,3.5592203030553393,2.32815903696058,2.6421930058037955,18.268877878114974,,
O10v_1000,O10,v,1000,3.1504378840902647,3.821841437966908,2.2705011076776067,3.0698114848505544,0.16943418917372233,0.5337918884330114,0.9938885534543165,0.15585769364493773,1.7354771969965834,2.953280381129303,3.1,3.061733075052906,3.4793805010011267,3.066815750348738,3.537022570067272,3.069052638575121,3.577833011148328,3.069621136301929,3.592137155391243,6.001832876770008,11.193184762080955,36.199593230059904,0.026748123772457316,0.02063963511828347
O10v_4000,O10,v,4000,2.715893390159124,3.417730368458228,2.1419231970713706,3.0951078155584106,0.1834280360098677,0.4981709905690695,0.9941387799742721,0.16758822274458285,1.7013953609992898,2.9272384913721865,3.1,3.0880887522645395,3.4988446148191015,3.0925141239814207,3.5490070698375966,3.094451886752146,3.5824400461874615,3.0949433526665815,3.5934972613824088,6.866006156111036,13.71660678269037,39.26273371004922,,
O11s_200,O11,s,200,721.5989633993303,57.84903925704937,10.132728536888127,1.3663983981695016,0.0026351377106969063,1.901512640453372,0.9900837794913842,0.002631668783022789,2.083289098117714,1.8978189231159768,1.1,1.2170551992957697,1.6762327201739444,1.2971667006601402,1.922540622331266,1.3460946028305794,2.229447133075954,1.3610622499788316,2.5067197026741233,1.0016873582299146,1.0003362815689445,1.0000007566369986,,
O11s_1000,O11,s,1000,257.67844901222225,24.915881532859686,7.215181725445924,1.8977350227793002,0.007907964586241167,2.0377120494262035,0.989312673032498,0.007876778893554648,2.2997113243774,2.343207091703685,1.7,1.7708730033293594,2.155207413945041,1.8396906929982273,2.3676197919940547,1.880871521820048,2.6315195435880288,1.893317468845897,2.8693757203948467,1.0120250750235065,1.0026240810003413,1.5500339784949477,0.0045102508722514156,0.0018487852771586068
O11s_4000,O11,s,4000,224.01867892966143,22.243075631691212,6.898349298544265,1.961088129126489,0.009088218709280225,2.0359307490767886,0.9892985034260684,0.009047045673883591,2.3098626110521203,2.3952828693065764,1.8,1.8379587404209972,2.2150088392793243,1.9048696904188558,2.4231016817818443,1.9447833514662731,2.6816112469158773,1.9568196710397188,2.9143133082605175,1.0156300672684957,1.0034678523004612,1.7319497425639478,,
O11v_200,O11,v,200,113.13549379309181,6.084033117726628,1.9523600880935106,2.2956060204583006,0.019667078305363715,2.225044615544727,0.9888464780867875,0.01947494296274943,2.4027640683216487,2.693984672822852,2.2,2.174741686913821,2.4898538917527104,2.239511467609619,2.6780662042854213,2.2790982190996485,2.911136797479768,2.2912601170994638,3.117979717143245,1.0688487605537698,1.0134789570436102,3.710511722698308,,
O11v_1000,O11,v,1000,33.96727253570907,2.656443162512537,1.072456613608463,2.7284703643545836,0.06081141748896905,2.0655979911305966,0.9893449984740975,0.05899932068452596,2.3531690896797834,3.0522587749319685,2.6,2.636333308945331,2.91088758582845,2.6866065384392326,3.0660352923603877,2.716380355208413,3.2513269122195734,2.725310391430835,3.4011308952654633,1.6371068158264,1.1436065393093435,12.512833371496008,0.007296027169957477,0.0021087494034932324
O11v_4000,O11,v,4000,28.84945166642614,2.3775472770644863,0.9897512536444749,2.7801215822162058,0.0703439395765235,2.0293840848389157,0.9894747680693049,0.06792681208744655,2.336597068795747,3.0931342235628834,2.7,2.6919472383657874,2.9620685800282436,2.7402357996459044,3.11246126298187,2.7686463519506437,3.2901448580552635,2.777126505201028,3.430258637086091,1.8510707245244813,1.1970720427512884,14.59361815608246,,
O12s_200,O12,s,200,299.5737832347377,59.28383461751566,1.2613973793290019,1.8062673977295098,0.006471836234853477,1.9387924653507163,0.9889405724456601,0.006450939008173728,2.337103127870359,2.2866414910274084,,1.6827065826514838,2.0894634826298586,1.750302367456493,2.3066244114088725,1.7901527357311449,2.5764321436383946,1.8020602866005053,2.819845786842767,1.0082527102196481,1.0019435491953463,1.349875815720215,,
O12s_1000,O12,s,1000,100.01987612122625,24.197161449126668,0.9075922494020449,2.2879225032572093,0.019273788260880994,1.9277619142400617,0.9886375613891701,0.019089236377142438,2.430899409627954,2.69529988075343,,2.1887634166324963,2.5365608972046205,2.2435718638495503,2.7213590933313507,2.275281138031646,2.94988321766838,2.284634230851257,3.151771694925453,1.066119697006446,1.0172061644812882,3.6317730313492644,0.0047513321675710955,0.0018756738605875771
O12s_4000,O12,s,4000,86.18608203645906,21.44802760710177,0.868959477360778,2.3460366232937093,0.022220028340617478,1.9150571854169032,0.9886481166445926,0.021974981846656805,2.4331612992514726,2.7444839497028766,,2.250129884008533,2.591869668215331,2.303236173386276,2.7725880918856207,2.333859376112332,2.9955817907634983,2.3428711583191966,3.19129079878077,1.0872776057542495,1.0230995441645951,4.2326248187613364,,
O12v_200,O12,v,200,117.96518922133852,29.55826662304284,10.991675549489745,2.147054734863033,0.013934236702248028,1.6437548692356088,0.9900766137138091,0.013837604578332607,2.2227215984323956,2.509076092921904,,2.0643015927433828,2.473814805422408,2.111304452492131,2.6631947094892876,2.137134992572056,2.8978046939368935,2.144498311841901,3.1062998965563287,1.035537659687957,1.0124067472249885,2.585701819325961,,
