delta,m1,m2,KL_12,KL_21,KS_ext_obs,KS_true_LZROI,N_3sigma_ext
250.0,400.0,4000.0,0.07057927173285558,0.12227915048454815,0.0721092723465549,0.08270521578795371,251.90787910603188
250.0,400.0,1000.0,0.03876513374596509,0.05948283482149853,0.05033683205901615,0.05682673857330824,460.31163881425044
250.0,1000.0,4000.0,0.0068510627611149035,0.00810964774629157,0.021846820588522706,0.025932383732442776,2477.1990175953165
250.0,200.0,4000.0,0.3087798001079637,1.5710316414579175,0.1603976289317448,0.14044166822852516,58.77730309941406
250.0,700.0,4000.0,0.01755766028787207,0.02378707202058881,0.035457878130843806,0.04166775511654672,986.1102727604944
260.0,400.0,4000.0,0.07071885177041778,0.13585504393749745,0.06465568019656531,0.057632039450522074,240.42829145792874
260.0,400.0,1000.0,0.038747926610275485,0.06495062996507689,0.04605984285794673,0.03662706851532724,442.80840599326336
260.0,1000.0,4000.0,0.007411085852099983,0.009172784571911582,0.018787443869455633,0.021009547804422435,2272.2058380645544
260.0,200.0,4000.0,0.30861347870452166,1.0033233275156375,0.21933001289742016,0.15650818774786435,93.60854544667482
260.0,700.0,4000.0,0.018638149483617715,0.027413099803108458,0.03047382615316996,0.03269415558202006,936.1684535055707
270.0,400.0,4000.0,0.06400052453383862,0.13528685161715404,0.07634324580921703,0.03203140339772282,259.7155725062055
270.0,400.0,1000.0,0.035124883826517524,0.0637377586333142,0.05464783546249108,0.019207422620703712,473.67585692286593
270.0,1000.0,4000.0,0.007185346328184743,0.009460655279289736,0.02181426742174508,0.013340636312143304,2333.972783619007
270.0,700.0,4000.0,0.01748523841054048,0.02867166536530308,0.03554929868477119,0.01980190426680645,1023.6417187688069
280.0,400.0,4000.0,0.06079778445839809,0.12349422326564806,0.08766052119648482,0.02965459410959126,291.983567061763
280.0,400.0,1000.0,0.03508532444007588,0.06089883640062226,0.0633312963356013,0.022115600267238578,480.7183494808473
280.0,1000.0,4000.0,0.006347571547368083,0.009061187078265986,0.024353605232365516,0.008067462906084621,2668.32693315758
280.0,700.0,4000.0,0.015186623693445799,0.028405245055187146,0.03996259476363251,0.012593052521217576,1247.1889544036562
290.0,400.0,4000.0,0.07736157247107892,0.14164938978512037,0.09996063804189625,0.06033008630662837,219.1439049713122
290.0,400.0,1000.0,0.05013951410770566,0.08715399368448153,0.07375280877826085,0.05119222742784951,330.5602458944939
290.0,1000.0,4000.0,0.005558080369348425,0.008549918638536765,0.026208105307724994,0.009402053121837894,3202.3930437365166
290.0,700.0,4000.0,0.013643761410066348,0.02732208150643601,0.0431869518983814,0.0170984870595971,1586.996339933733
300.0,400.0,4000.0,0.13333397416524861,0.266551154303777,0.11411232871748689,0.12921104323732646,130.0926789554177
300.0,400.0,1000.0,0.09577344875535151,0.18340277696851948,0.08736384177077794,0.11211971998517034,177.86356093928774
300.0,1000.0,4000.0,0.005997318498792228,0.009571129496410941,0.026751003389900774,0.017455988017206436,3184.7402486459905
300.0,700.0,4000.0,0.01643620318319788,0.03267060412241184,0.04453793384843763,0.03491187703016296,1469.1734525665086
310.0,400.0,4000.0,0.262527314638176,0.6092107300883535,0.15781755167447012,0.24416848104920433,67.77368953170323
310.0,400.0,1000.0,0.20043012170577162,0.43842954740674644,0.1416443076597052,0.2125808765526234,88.11233258358538
310.0,1000.0,4000.0,0.008791431990287275,0.014378429138321758,0.025030637283926405,0.03372512558514945,2258.5347544587858
310.0,700.0,4000.0,0.02660489544443649,0.04994900227087398,0.04295543736107421,0.06648680494402043,935.9493474301672
320.0,400.0,4000.0,0.4953215553054496,1.4030070495755917,0.25272102073343045,0.3898901820216867,36.36443215422233
320.0,400.0,1000.0,0.3907095675534332,1.029151209179967,0.22238551016146382,0.34105265912439797,46.929431165592185
320.0,1000.0,4000.0,0.015554181100011926,0.025443195300001577,0.03772105757127134,0.059020257798647724,1289.5240165294995
320.0,700.0,4000.0,0.049470536524192296,0.08831766018982118,0.07524051002572693,0.11563103188405957,477.21528742686286
330.0,1000.0,4000.0,0.029328301275352138,0.048382787225293294,0.06442617161015574,0.09683884283780508,675.9318832372029
330.0,700.0,4000.0,0.09457876190246818,0.1673138517099433,0.12486720335369464,0.1887066371634055,224.43175718316522
340.0,1000.0,4000.0,0.05455032119748758,0.092077380876964,0.09987533256183576,0.14931898499225096,357.885244120804
340.0,700.0,4000.0,0.18005714861779462,0.3208730047774049,0.18966180454004053,0.28687714096506745,105.50382085889362
350.0,1000.0,4000.0,0.10033273314098694,0.17278975565753654,0.14637598838761032,0.22227536423861352,191.95305677024663
350.0,700.0,4000.0,0.34704640541176923,0.6313891305130532,0.26685886248107704,0.394318267391587,49.12516116405131
360.0,1000.0,4000.0,0.16791341700079904,0.30582703917986387,0.19296011637010835,0.3022777672398076,110.97204337246949
360.0,700.0,4000.0,0.5559042450075748,1.2966386088092507,0.3037874727528587,0.539758584602166,28.788082967662525
370.0,1000.0,4000.0,0.20830282050370116,0.45088161157257617,0.16214872519609463,0.37449947342343404,83.56274570868885
380.0,1000.0,4000.0,0.176667790364164,0.49080276259758965,0.15738433125196605,0.8277463815234247,100.46023299564182
