halo,m,delta,physical,ceiling,E_star,vmin_star,E_minus,E_plus,R_unit,E_med,E_p16,E_p84,frac_gt400,frac_gt500,frac_last50
sunframe,200.0,250.0,True,266.7938445745177,155.1243182840044,769.9877371742939,92.89756260430727,259.03321301953497,2044.7159931578256,154.82142463028725,131.85164938315444,181.50663299641286,4.476215085813152e-35,4.025245297790308e-92,0.024092777889164658
sunframe,200.0,260.0,True,266.7938445745177,161.32929101536456,785.2364994157754,116.92616114616581,222.59466901495605,282.33051635203077,157.12500009508253,136.92733777088242,179.49910281711726,4.446892219977569e-54,9.263512795962479e-129,0.25185883384413027
sunframe,200.0,270.0,False,,,,,,,,,,,,
sunframe,200.0,280.0,False,,,,,,,,,,,,
sunframe,200.0,290.0,False,,,,,,,,,,,,
sunframe,200.0,300.0,False,,,,,,,,,,,,
sunframe,200.0,310.0,False,,,,,,,,,,,,
sunframe,200.0,320.0,False,,,,,,,,,,,,
sunframe,200.0,330.0,False,,,,,,,,,,,,
sunframe,200.0,340.0,False,,,,,,,,,,,,
sunframe,200.0,350.0,False,,,,,,,,,,,,
sunframe,200.0,360.0,False,,,,,,,,,,,,
sunframe,200.0,370.0,False,,,,,,,,,,,,
sunframe,200.0,380.0,False,,,,,,,,,,,,
sunframe,200.0,390.0,False,,,,,,,,,,,,
sunframe,200.0,400.0,False,,,,,,,,,,,,
sunframe,300.0,250.0,True,305.43116450784004,177.58955890653883,719.639573257884,71.48231819182507,441.2007364952222,18703.489939213137,159.9475119518938,131.69901978619782,193.46713735301176,0.00036245602316051565,2.064972918878543e-10,0.0006393684454788809
sunframe,300.0,260.0,True,305.43116450784004,184.6931412628004,733.891245359107,81.8820463999916,416.59384357453257,10386.47776834801,162.78067276989012,135.76939891687095,195.3468774595835,0.00012351088737976436,3.335401008377884e-13,0.0013467247519610558
sunframe,300.0,270.0,True,305.43116450784004,191.79672361906194,747.8713824119042,94.34036283495318,389.92836242704783,5149.305747838378,165.7051269910152,139.1541392922534,197.31412794478715,1.8796955192619524e-05,1.3693380177173766e-17,0.002665250705275063
sunframe,300.0,280.0,True,305.43116450784004,198.90030597532348,761.5949377764035,109.81841682976865,360.2431437197093,2026.2987445536762,170.22205299102515,144.68263155277097,200.2523638219613,6.324161036719995e-07,1.683512901874331e-24,0.0046351787893171865
sunframe,300.0,290.0,True,305.43116450784004,206.00388833158502,775.0755407459299,130.3915349882619,325.4628608486929,505.1444062894894,177.95221425219432,154.37409316914852,205.22812408103505,5.725773832265938e-10,1.155601197925195e-35,0.0067838743868511376
sunframe,300.0,300.0,True,305.43116450784004,213.1074706878466,788.325655093469,162.95933360004238,278.68789752438937,42.28412921450005,188.18664306658036,167.38100696075313,211.22812111261732,6.539251638112095e-17,4.156690214002855e-55,0.047275209350324546
sunframe,300.0,310.0,False,,,,,,,,,,,,
sunframe,300.0,320.0,False,,,,,,,,,,,,
sunframe,300.0,330.0,False,,,,,,,,,,,,
sunframe,300.0,340.0,False,,,,,,,,,,,,
sunframe,300.0,350.0,False,,,,,,,,,,,,
sunframe,300.0,360.0,False,,,,,,,,,,,,
sunframe,300.0,370.0,False,,,,,,,,,,,,
sunframe,300.0,380.0,False,,,,,,,,,,,,
sunframe,300.0,390.0,False,,,,,,,,,,,,
sunframe,300.0,400.0,False,,,,,,,,,,,,
sunframe,400.0,250.0,True,329.27404321787367,191.45273596641704,693.0953148007778,65.41583308052736,560.3253582952173,31309.410656935484,160.86157703622288,129.65540735730463,197.75309424526756,0.004044059763532342,1.7184767359109814e-05,7.244164111041936e-06
sunframe,400.0,260.0,True,329.27404321787367,199.11084540507375,706.8213069897799,73.891209656455,536.5337628419763,19483.03612629742,164.29787374337502,135.34488053063853,200.59194474437172,0.003960431646700066,9.768321893351679e-06,3.4110067345084035e-05
sunframe,400.0,270.0,True,329.27404321787367,206.76895484373043,720.2857798337354,83.5795968201324,511.5291568009856,11730.738692412853,167.07004925613367,138.65764657011044,203.07441946782103,0.0035843381941296484,3.555075128163648e-06,0.00013215074228508487
sunframe,400.0,280.0,True,329.27404321787367,214.4270642823871,733.5031351307532,94.80428921954848,484.98824552425606,6517.083904148623,170.20545977424337,142.02240602739437,205.85341158255102,0.0029453194555970267,6.810728770330793e-07,0.00046337279311878623
sunframe,400.0,290.0,True,329.27404321787367,222.08517372104376,746.4864994509918,108.06424080773142,456.4120750587598,3147.3512736143225,174.79341042815824,147.1621921983417,209.83566379249578,0.002051177172242813,5.170095237471401e-08,0.0014572690972504195
sunframe,400.0,300.0,True,329.27404321787367,229.74328315970047,759.2478768350604,124.20642423058278,424.9536727585951,1207.7764731482437,181.65532366181156,155.28095874222203,215.64971114435576,0.0010337258801538373,4.432298832124557e-10,0.005078420617678705
sunframe,400.0,310.0,True,329.27404321787367,237.40139259835715,771.7982787584452,144.90595509588104,388.9379230159834,309.3689297625212,191.69864941989022,167.03282808264822,224.56644134226153,0.0003037364801610613,3.4937926924419225e-14,0.019404656114832868
