ref_delta,m,delta_b,at_ceiling,a1,phase_day,max_over_min,zero_frac,frac_MayAug,june_over_dec,R_mean_unit
366.0,200.0,183.28818892465046,False,0.3640658201662805,151.89903171038733,2.0983866669974067,0.0,0.4216251136321894,2.0557352170801657,774098.9635295043
366.0,300.0,244.66653459023533,False,0.42889634513503294,151.8991983788989,2.413743514638589,0.0,0.4378390729727369,2.3550667081559027,27367.56609602268
366.0,400.0,320.710459760122,False,1.4871662213670849,151.90173779306204,714.988322286384,0.0,0.7291959559578061,558.4797912690988,104.77735032257154
366.0,700.0,359.19688494867626,False,1.4538243224788252,151.90163737840228,341.914493351136,0.0,0.7192422424240431,271.7449011677099,20.169475274533216
366.0,1000.0,365.9656947325316,False,1.1965010414672215,151.90101335307529,31.26632897247766,0.0,0.6399448327818037,27.93433662006758,44.34342465672476
366.0,2000.0,373.20361879577473,False,0.9008986733806216,151.90022605605387,8.38698096604303,0.0,0.5590394062439383,7.861921140847023,63.43865725911555
366.0,4000.0,376.80547887021015,False,0.7908316559709725,151.9000202538427,5.914854297763635,0.0,0.5302502191082413,5.61462725612278,48.65071128251532
366.0,10000.0,378.95515607445117,False,0.7367742403453936,151.89991317072236,5.070373894459898,0.0,0.5162588315292131,4.8382414663843285,24.520779862555884
300.0,200.0,216.9971759723956,False,0.5517139367575707,151.89953399791654,3.1799336339775777,0.0,0.468801578315315,3.0790048861183026,50618.861339255054
300.0,300.0,256.3164230299428,False,0.48685695929220585,151.89919570391157,2.7618985262968843,0.0,0.4519004784832955,2.6828966594055053,14307.503385156975
300.0,400.0,286.44701395438227,False,0.6313889593612386,151.8994441461464,3.9414763618133444,0.0,0.4877492249423325,3.785597886901638,4768.770389048115
300.0,700.0,299.305776080469,False,0.4923896225788332,151.89916507015965,2.8021139594019084,0.0,0.45304265245069947,2.720829848547392,5284.33409641824
300.0,1000.0,299.90835800107277,False,0.41884174276417885,151.89902181405185,2.3712240541997516,0.0,0.4348536703871767,2.3141045208433253,5859.681928980785
300.0,2000.0,299.43888797681996,False,0.3520420790096203,151.89890012712993,2.0493210896849665,0.0,0.4184444498283754,2.0085930782380617,4910.860957412304
300.0,4000.0,298.9880445795533,False,0.3256887626969008,151.89885490274207,1.937104331705185,0.0,0.4119990045758429,1.9017226610142584,3125.27295570503
300.0,10000.0,298.6431145703473,False,0.31163189884891024,151.89883199048617,1.8802588225355084,0.0,0.4085672658690242,1.8475085557757798,1438.3928024196903
nan,400.0,300.0,False,0.9022494149527512,151.90014544193423,8.827466186565296,0.0,0.5576297448439909,8.249602942912823,1577.4003624770764
nan,1000.0,300.0,False,0.41935067184884167,151.8990228471385,2.373899027950304,0.0,0.4349791713612253,2.316638332593974,5837.599922242123
nan,4000.0,300.0,False,0.32932567214969866,151.89886117538026,1.9521387201888527,0.0,0.4128869697891812,1.9160547109248325,3009.3708405960683
nan,1000.0,350.0,False,0.9632578982974016,151.90044498255318,10.285881537545466,0.0,0.575635194727029,9.601357427973346,208.93123894221787
nan,4000.0,350.0,False,0.6223407857850621,151.89963058071584,3.7845862995239514,0.0,0.48637890750697155,3.6452641736967006,269.8853183944579
nan,1000.0,366.0,False,1.1970489322871494,151.90100480796178,31.39296263720295,0.0,0.6400910570979655,28.042733763202392,44.186768930923954
nan,4000.0,366.0,False,0.7248898569788386,151.89992671816117,4.887418668863664,0.0,0.5131999346005173,4.673285770706303,98.92875816634309
