ref_m,ref_delta,halo,m,ceiling,delta_b,KL_min,at_ceiling,delta_Estar,delta_vminstar,delta_onset,delta_endpoint,E_star_b,E_minus_b,E_plus_b,R_unit_b,R_unit_ref
1000.0,300.0,june16,200.0,277.28340379843434,218.25774572515687,1.9474813536858926,False,430.7882535335699,208.91934555264422,256.0004371102213,nan,135.42833606327412,49.91478350604801,367.44292813861074,72343.78100281615,8316.564042546803
1000.0,300.0,june16,226.00747760385804,289.94553322164,232.69579491162892,1.1085367419380012,False,411.97542148325124,218.45963449947928,262.3294182271714,nan,150.98053445584733,58.082608692610016,392.46036460262474,38224.1528440379,8316.564042546803
1000.0,300.0,june16,255.39689966429194,302.1556781550193,244.8531265279501,0.6417069839421871,False,395.32744837211953,227.65937546356128,267.9301011639046,16.640128502335894,165.5588551470151,65.10749133664746,420.99202341961603,26354.92366071059,8316.564042546803
1000.0,300.0,june16,288.6080454048612,313.85164121154645,255.2309810651869,0.3841098725391637,False,380.59521624632066,236.47170578663324,272.88629376081474,60.4315387763679,179.25603854702086,71.07035508219926,452.1256059352261,20683.22079926644,8316.564042546803
1000.0,300.0,june16,300.0,317.4398309523162,258.3973825766527,0.3281392150996182,False,376.29314789458243,239.1752294814926,274.3335883142958,73.21939323109056,183.55470877756764,72.93697475383729,461.9376006220367,19230.43887699613,8316.564042546803
1000.0,300.0,june16,326.137881790662,324.9836602651075,266.56198801423454,0.23501370626090157,False,367.5582740336198,244.8591321651703,277.27215979450193,99.18371701251438,193.8544367526562,78.41482772417002,479.2402628349631,15206.538187642496,8316.564042546803
1000.0,300.0,june16,368.5480000728636,335.51462554064284,275.23207754207243,0.14148708968812204,False,356.0215387442222,252.79369421707662,281.1533287542074,133.47654541536053,206.64576316811323,83.61207789955942,510.7213276846087,12485.380186400813,8316.564042546803
1000.0,300.0,june16,400.0,342.22014241570446,284.45629288237404,0.09484057724277985,False,349.04559507508867,257.8459698958203,283.500163916333,154.21246707712965,217.83974214077983,90.96829883751109,521.6559379737854,8873.962806892698,8316.564042546803
1000.0,300.0,june16,416.4730193620719,345.4197751465609,287.9734241574549,0.07683794542472511,False,345.8123762760502,260.25673508040114,284.5878779123625,163.82317709889645,222.59510424051498,93.63384817123445,529.1738126711717,7856.298077425257,8316.564042546803
1000.0,300.0,june16,470.63008298042297,354.68595579711103,294.1577474896406,0.038842097280945884,False,336.77801814205384,267.23834440417,287.6272013848142,190.67771483833107,233.47494639433808,96.96830090542068,562.1481461968342,6884.677190856061,8316.564042546803
1000.0,300.0,june16,531.829589694499,363.3105518754261,297.2635239846535,0.018874969848403422,False,328.7832754638213,273.7365514502985,290.31677918522547,214.44200620085323,241.67717411417655,97.1928367791932,600.948160619156,6928.2658354448195,8316.564042546803
1000.0,300.0,june16,600.9873204097423,371.3001904098099,298.86854851876984,0.00880793638335518,False,321.708516024007,279.7563493572048,292.6968577816746,235.47165673673192,248.32553912078805,96.1706283374441,641.2100497384455,7275.57631374199,8316.564042546803
1000.0,300.0,june16,679.1381417885374,378.6693240349851,299.6055764240078,0.00378076031719293,False,315.4478741064729,285.3086274711186,294.80305233920205,254.0813512113003,253.8785548379303,94.63086096127024,681.1131162906283,7696.125342565746,8316.564042546803
1000.0,300.0,june16,700.0,380.39961059853516,299.7461585049908,0.002998089475036569,False,314.01302716431104,286.612312911803,295.2857611189524,258.3464191648942,255.15829432772486,94.26364077142595,690.6772816265897,7775.823830728417,8316.564042546803
1000.0,300.0,june16,767.451491850993,385.4387813901151,299.98133706499436,0.0013631190223118038,False,309.9076663364383,290.4090791426091,296.6668796601894,270.54956250401443,258.7412350122339,93.08041502720732,719.2385925233305,8015.691873340218,8316.564042546803
1000.0,300.0,june16,867.2488792828036,391.6343576163497,300.00668923537535,0.0003153565507569754,False,305.0049898154912,295.07713973612147,298.316229797404,285.1227186378831,262.92248230349713,91.49297420534701,755.5578152425252,8253.599763206053,8316.564042546803
1000.0,300.0,june16,980.023658307396,397.28549930402903,299.938804692559,4.932220230465371e-06,False,300.66648157414835,299.33499580266584,299.77578339686994,298.0188902941257,266.65600661517044,90.07333581029542,789.4170369542644,8338.005684060667,8316.564042546803
1000.0,300.0,june16,1000.0,398.1681108539039,299.9341720228507,-2.6109502703315524e-07,False,300.0,300.0,300.0000000000001,300.00000000000006,267.2442832445957,89.866149906265,794.7320209156826,8337.432367763286,8316.564042546803
1000.0,300.0,june16,1107.463375030799,402.42412047941417,299.8222414835878,0.00010812689578309355,False,296.8272207785855,303.20669298431477,301.0673810156214,309.43105399151125,270.0000539078543,88.81945169612057,820.7664843469005,8282.283157423097,8316.564042546803
1000.0,300.0,june16,1251.4750196468315,407.0835704252551,299.6934238259482,0.00044775795103591524,False,293.4297572643098,306.71735831799634,302.21034994076064,319.5299797601437,273.00888982845254,87.72789882726401,849.6026340733523,8105.956968391726,8316.564042546803
1000.0,300.0,june16,1414.213562373095,411.29776108215265,299.5830927468493,0.0009066756658525094,False,290.4232518598907,309.892542775531,303.22179340029305,328.4667865204344,275.73357139651864,86.79541757377255,875.956410146395,7821.01744879011,8316.564042546803
1000.0,300.0,june16,1598.1142001255478,415.10045174507474,299.44777174230256,0.001436207945994367,False,287.76271563666995,312.75768231779637,304.11684649345244,336.37520340560934,278.1571913266204,85.96133392922637,900.072387783273,7471.456467629002,8316.564042546803
1000.0,300.0,june16,1805.928796466411,418.5246816438975,299.38552777862844,0.0019716262772479284,False,285.4083367006914,315.33767037219826,304.9089026702205,343.3735708658551,280.39345900279176,85.28793017435882,921.8243623783814,7049.960852818281,8316.564042546803
1000.0,300.0,june16,2000.0,421.11692200492774,299.33407288032055,0.002421891024712748,False,283.6514683083037,317.2907954143853,305.49994536122296,348.59584430762345,282.08165883122615,84.7908397230785,938.4275767152088,6672.802760607925,8316.564042546803
1000.0,300.0,june16,2040.7670601077232,421.6023364370665,299.30759303863437,0.002512690400663545,False,283.3248844530581,317.65653120706173,305.6098141490483,349.56661149835315,282.3818272275021,84.68564231517973,941.5940431976824,6600.037100599398,8316.564042546803
1000.0,300.0,june16,2306.143078159937,424.3638321963006,299.2113022589456,0.0030341430047089468,False,281.48118240415045,319.7371818297185,306.2300692718075,355.046997101659,284.13998790107473,84.14036227491569,959.5339328422663,6144.263578395262,8316.564042546803
1000.0,300.0,june16,2606.0279004426206,426.8378996328873,299.17576408883787,0.0035279184990252193,False,279.849641652973,321.60126941168045,306.7789494498752,359.8967354036027,285.7625967755609,83.70477807670893,975.5746755708082,5673.883011404094,8316.564042546803
1000.0,300.0,june16,2944.9089617215736,429.05145165782614,299.1538471638744,0.003983852764285145,False,278.4058480506771,323.26907150175117,307.26466804988513,364.18839721352253,287.2234991001473,83.33199187136795,989.9839975345371,5208.32124137593,8316.564042546803
1000.0,300.0,june16,3327.8572310584464,431.02951848646364,299.1009504089732,0.004410590050246658,False,277.12819687063376,324.7594471305744,307.69449329740326,367.98620236175935,288.4966715474952,82.97987641535437,1003.0182387519524,4766.409931350211,8316.564042546803
1000.0,300.0,june16,3760.6030930863935,432.7952360763335,299.09341968622465,0.004802757383182357,False,275.99756951830983,326.0898280991179,308.0748570376431,371.3469806762657,289.67120813550304,82.7019674790036,1014.5999107455923,4337.249016557757,8316.564042546803
1000.0,300.0,june16,4000.0,433.61277154123457,299.0895294726981,0.004969676230605538,False,275.4772024624556,326.7058006815136,308.249918041834,372.8937664614353,290.214612406003,82.57462445437785,1019.9806757886037,4130.883305464182,8316.564042546803
1000.0,300.0,june16,4249.622096688611,434.3698754831513,299.06128430354255,0.005146363460312854,False,274.9970474432786,327.2762410969651,308.4114509807052,374.32102237624633,290.6938829558148,82.43864069606681,1025.040355765601,3938.4435042446567,8316.564042546803
1000.0,300.0,june16,4802.231854211057,435.772902560869,299.0554902268561,0.0054661006727099405,False,274.11165897238476,328.3333526833567,308.7093118715304,376.9528306080018,291.6271823264955,82.22483898320351,1034.3153543792762,3560.132399887827,8316.564042546803
1000.0,300.0,june16,5426.701541195695,437.0220592008892,299.04783871077785,0.005757462831174644,False,273.32815527571,329.2745304969249,308.97289685905633,379.2817873838201,292.4556579091077,82.03502819987268,1042.6072096258729,3212.0853510324773,8316.564042546803
1000.0,300.0,june16,6132.375635173039,438.13345893148454,298.99367895223554,0.0060163024600904755,False,272.63481211292486,330.111915285133,309.2061501923715,381.34274288892976,293.14630730514415,81.83209715219007,1050.1350995175144,2896.110436969123,8316.564042546803
1000.0,300.0,june16,6929.813745124076,439.1216911433922,298.98111220460555,0.006251721983432654,False,272.0212543933874,330.8564994331113,309.41256224190903,383.16653697482474,293.7951648793413,81.68031015125004,1056.7491571303535,2601.3122829353288,8316.564042546803
1000.0,300.0,june16,7830.948624000185,439.9999294576766,299.04442906746146,0.006468894136192478,False,271.47830092473015,331.5182086134881,309.5952217288657,384.78046064251123,294.44509486130926,81.6028189715457,1062.4377316930238,2326.903156299188,8316.564042546803
1000.0,300.0,june16,8849.264728778422,440.7800408095874,298.96847910426726,0.006646411381741032,False,270.99782702677453,332.1059839756871,309.756861944396,386.20866442125106,294.8922258792721,81.43511366782867,1067.8615276297724,2088.2978437561305,8316.564042546803
1000.0,300.0,june16,10000.0,441.4726926996124,298.96513463538946,0.006830187837741414,False,270.5726429549468,332.6278629542971,309.8999016502004,387.4725197537222,295.3523222498352,81.33528145217362,1072.5111255644315,1866.6439304906667,8316.564042546803
