ref_delta,halo,mode,m1,delta1,at_ceiling1,m2,delta2,at_ceiling2,KL_12,KL_21,KS,N_3sigma
366.0,annual,ext,400.0,320.710459760122,False,4000.0,376.80547887021015,False,1.7195517350639702,2.31343605919483,0.7109932885032294,10.663773643502497
366.0,annual,lz,400.0,320.710459760122,False,4000.0,376.80547887021015,False,0.4934863023813937,0.35155059378352416,0.3344158455793527,46.856536773452504
366.0,annual,ext,400.0,320.710459760122,False,1000.0,365.9656947325316,False,1.8462503258068153,1.9069051471716763,0.7018535279339136,10.388535038239683
366.0,annual,lz,400.0,320.710459760122,False,1000.0,365.9656947325316,False,0.7262291684440302,0.46588504237100625,0.386478256985055,35.25788885432689
366.0,annual,ext,700.0,359.19688494867626,False,4000.0,376.80547887021015,False,0.11586580116833195,0.204429071660239,0.18034592404462735,222.57938805203136
366.0,annual,lz,700.0,359.19688494867626,False,4000.0,376.80547887021015,False,0.022816007205104058,0.026120233561396585,0.07819785199053575,749.7996073254485
366.0,annual,ext,1000.0,365.9656947325316,False,4000.0,376.80547887021015,False,0.03506106807976904,0.06949810916103263,0.08876685059960521,641.7016528381894
366.0,annual,lz,1000.0,365.9656947325316,False,4000.0,376.80547887021015,False,0.011181060686661356,0.012311379578385063,0.05512488790389686,1544.2776019189835
366.0,annual,ext,2000.0,373.20361879577473,False,4000.0,376.80547887021015,False,0.0038293366225030656,0.004971909304504669,0.022943362946736823,4369.928416261974
366.0,annual,lz,2000.0,373.20361879577473,False,4000.0,376.80547887021015,False,0.0012404964112392412,0.0012817116575999975,0.01796955576159398,14281.493644336344
366.0,annual,ext,1000.0,365.9656947325316,False,10000.0,378.95515607445117,False,0.04611528884575911,0.10670610463984173,0.10072594202437357,507.81196176056767
366.0,annual,lz,1000.0,365.9656947325316,False,10000.0,378.95515607445117,False,0.015050654721457094,0.016847773360991438,0.06422042493103053,1140.3138886071806
366.0,annual,ext,4000.0,376.80547887021015,False,10000.0,378.95515607445117,False,0.0013909135984712202,0.001619330008910078,0.012402469505176539,12167.856250155535
366.0,annual,lz,4000.0,376.80547887021015,False,10000.0,378.95515607445117,False,0.0003161472832987314,0.0003213602995873481,0.009139613161876114,56480.69359275151
366.0,annual,ext,1000.0,365.9656947325316,False,2000.0,373.20361879577473,False,0.018573692089154544,0.02764858892065923,0.06606677217951751,1065.1018601017383
366.0,annual,lz,1000.0,365.9656947325316,False,2000.0,373.20361879577473,False,0.005150116521611972,0.005485840956310042,0.03733474383453017,3398.3825765405186
366.0,annual,ext,300.0,244.66653459023533,False,1000.0,365.9656947325316,False,6.304167061113076,3.2851095047845327,0.8573973748885726,6.152019512131436
366.0,annual,lz,300.0,244.66653459023533,False,1000.0,365.9656947325316,False,5.088472138224654,1.815736169481463,0.7468975678717222,10.251817858170789
366.0,annual,ext,700.0,359.19688494867626,False,1000.0,365.9656947325316,False,0.03125531338726341,0.03894777073493601,0.09376801609081953,561.3411768112685
366.0,annual,lz,700.0,359.19688494867626,False,1000.0,365.9656947325316,False,0.002275371371791019,0.002357737933429919,0.023137458041848913,7789.850117560327
