m,ceiling_annual,delta_N1_Y12,delta_N1_Y1,delta_N1_Y32,delta_N1_Y2,delta_N365,delta_N0105,E_star_N1
300.0,317.4398309523162,311.6510626100346,315.07054714277797,316.7782534742852,nan,307.61340538335025,316.86012135504905,221.38389896668065
500.0,359.036632428941,343.12945151911265,347.9134637373301,350.2878350669306,351.83200001064705,337.5193200723027,350.4579957763535,275.6847598772136
1000.0,398.1681108539039,365.99922322257106,372.392357256094,375.5840435791511,377.6749478298883,358.601781362363,375.7945729608459,326.1088905559683
1100.0,402.15272085499464,367.888720712785,374.4626466572262,377.77032330545126,379.9237321519534,360.2566883804509,377.98237538884877,331.07278704353854
2000.0,421.11692200492774,375.16542290587677,382.8777224327588,386.69405686284944,389.19889690613627,366.27985663029204,386.9480595854677,353.5423943258206
4000.0,433.61277154123457,377.06109819097793,385.9344630530129,390.31096151788296,393.14926692071015,366.7323517820264,390.59966333365,365.87252204315473
10000.0,441.4726926996124,373.7413494015875,384.1990201708287,389.3370334144422,392.6314876522413,361.3599355442973,389.6759465177423,369.22491179839153
