halo,m,delta,E_minus,E_star,E_plus,E_plus_minus_50,frac_gt400_obs,frac_gt500_obs,frac_gt400_true,frac_gt500_true,frac_last50_true,frac_first50_true,E99_true,E01_true,E_median_obs
sunframe,1000.0,300.0,97.42826316644957,267.3029366166075,733.3689178241142,683.3689178241142,0.027272849051125758,0.0010259155106276724,0.02611429360508601,0.0008804520360643451,3.086903291217362e-05,0.14226364927590518,430.7247096108225,121.14525231921084,179.7604209451804
sunframe,1000.0,350.0,170.1598983207339,311.85342605270876,571.5363037976273,521.5363037976273,0.0935763243623212,0.0006685771403945434,0.08801510755554694,0.000348578394197281,0.0001548972213202945,0.2747351609967485,451.09382774277003,172.93334944335626,315.6056531573662
sunframe,1000.0,366.0,212.33399863227072,326.1095826722611,500.8498902469856,450.8498902469856,0.10933247306255148,0.0001952804429534168,0.09979829010473698,4.2365167409052765e-05,0.007087277398585738,0.06303494352308309,444.92126769566,208.70032666349698,343.49713309218225
sunframe,1000.0,380.0,282.6513115444308,338.5837197143695,405.5843032506089,355.5843032506089,0.08015271535030026,1.9931257245918824e-05,0.06897087511096167,0.0,0.37665748244351654,0.37340173937853355,431.79683080792245,276.2789164758913,343.49993490004624
sunframe,400.0,300.0,124.20642423058278,229.74328315970047,424.9536727585951,374.9536727585951,0.0010337258801538373,4.432298832124557e-10,0.000635043318383624,0.0,0.004201167022304723,0.39089681657995295,357.21886248812206,133.22820193355946,181.65532366181156
sunframe,4000.0,300.0,89.41372470007262,291.0980664394955,947.7077995470648,897.7077995470648,0.039840933629115394,0.0042523666114958345,0.03859874657687966,0.004016408968259515,4.0604791403789754e-07,0.08940047709112385,451.0557350078778,119.3182051514239,180.43802235297383
sunframe,4000.0,366.0,170.8582505374081,355.1396410561845,738.1801244763514,688.1801244763514,0.1692335197558634,0.009250010848691897,0.16369782481254744,0.008253014115600095,0.00040303574732835116,0.17778281070624805,489.5229077141097,177.98218533788082,340.2448645693689
sunframe,4000.0,400.0,257.08831712054456,388.13075525266066,585.9678295002625,535.9678295002625,0.23592248982013367,0.004165597424398813,0.22745831072104966,0.0030761512459910683,0.002243542160839,0.06357229545068858,474.38659528824735,284.24141557351726,365.64967383257016
sunframe,10000.0,366.0,165.51506533729193,361.5771119106397,789.8858487063832,739.8858487063832,0.17118551720515232,0.013091482782428669,0.16610842343198262,0.01204923631139984,0.0001911167601744078,0.1864368506893654,560.6085719802107,173.7745583009079,337.62119611039964
sunframe,200.0,172.0,27.009306636203043,106.725530979395,421.71904359685794,371.71904359685794,3.488160732021267e-06,7.155089607933637e-16,1.334702315579172e-06,0.0,2.3252888662111394e-05,0.8584757472038326,191.29920832199335,31.094516117488862,53.54328923663379
sunframe,300.0,239.5,62.191498966455896,170.1307974324642,465.4090786687406,415.4090786687406,0.0006512169195403513,1.248191452482145e-08,0.0005186763646566064,0.0,0.0001885435059115191,0.1150478706326418,321.39833619414844,68.74222506430489,155.22096471909626
sunframe,400.0,295.0,115.69957632452764,225.9142284403721,441.118630103307,391.118630103307,0.0015392764304160871,7.155476637771136e-09,0.0010971260105901797,0.0,0.0020453198523581666,0.32066561826765444,360.30128071789306,127.86516641404695,177.87882865963275
sunframe,700.0,355.8,216.18459304585943,302.87401037799435,424.3256416658243,374.3256416658243,0.03913525194274439,2.3973744025054773e-06,0.031056661440749984,0.0,0.11741616087491262,0.10829654744704052,417.2349393626474,202.63046762629764,327.9698197893768
sunframe,1000.0,366.0,212.33399863227072,326.1095826722611,500.8498902469856,450.8498902469856,0.10933247306255148,0.0001952804429534168,0.09979829010473698,4.2365167409052765e-05,0.007087277398585738,0.06303494352308309,444.92126769566,208.70032666349698,343.49713309218225
sunframe,2000.0,375.6,203.35623944743654,353.95192414118964,616.0714072195133,566.0714072195133,0.18569913297808674,0.0032741355288378056,0.17789366984617586,0.0023943806318217206,0.0011362722192695216,0.06056204988757964,470.56248798441266,208.1233051128479,354.38171657695125
sunframe,4000.0,380.3,199.82324301348336,369.0153155564671,681.4637829997108,631.4637829997108,0.2131793775932586,0.00811946619099916,0.20609373630838815,0.006907799040594307,0.0012285331500145324,0.06081943641911057,485.88824324247014,207.11210929531535,357.97276436353013
sunframe,10000.0,383.0,197.7156280336261,378.3716772179645,724.0961553953994,674.0961553953994,0.2276162290468105,0.012779694018169403,0.22051606564423412,0.01140580181296489,0.00087379526196461,0.06157983878305463,514.8053421507237,206.33292509377827,359.81477279908796
june16,1000.0,300.0,89.92560151639422,267.3029366166075,794.55526256153,744.55526256153,0.027725705444237428,0.0015460092262880635,0.02665085237931992,0.0013911422999280988,1.1799685400936166e-05,0.09697047124432379,432.9832155930315,118.78058510344377,177.56143648121196
june16,1000.0,350.0,150.90110349814273,311.85342605270876,644.478781707579,594.478781707579,0.08349573346307423,0.0015790769886168826,0.07965277257403708,0.0011760149631698026,0.00028968176294927176,0.2873366321649782,455.25225093305124,158.30363110959723,237.73508439535328
june16,1000.0,366.0,181.7558042331501,326.1095826722611,585.1117677334666,535.1117677334666,0.12699383816186474,0.0012005723742620432,0.12021661089987186,0.0007111423707765449,0.0003384470440273771,0.18838914981861943,458.55259771983305,184.41211501583504,336.0367769267756
june16,1000.0,380.0,219.39406614959233,338.5837197143695,522.5252317328078,472.5252317328078,0.13775899086546184,0.000457275555620876,0.12814001493782715,0.0001626319947074019,0.0023386818473439853,0.0331297676684299,452.34251110455347,220.45797311565065,349.4667202141915
june16,400.0,300.0,110.30416602763364,229.74328315970047,478.5129887458216,428.5129887458216,0.004072031716382536,6.99331322422634e-07,0.003446948402122597,2.1767281953732095e-09,0.0006062577139021659,0.27265920516772113,376.1952701636428,125.2283496413372,177.08657486889456
june16,400.0,330.0,172.38698551119174,252.7176114756705,370.4815126303234,320.4815126303234,0.00039642351261275023,5.929215628832892e-16,6.304150345595835e-05,0.0,0.077628607298381,0.6703537457993569,358.5681215648332,164.22465660116396,209.00484476070005
june16,4000.0,300.0,83.27998435542752,291.0980664394955,1017.5084078205695,967.5084078205695,0.03927214398449976,0.004827058734066512,0.03810756713961422,0.004593436563427244,4.922988116177025e-08,0.06347320721166715,452.98647838993855,117.3670006435159,178.61533677041527
june16,4000.0,366.0,154.06553510998367,355.1396410561845,818.6397078326349,768.6397078326349,0.14582088181614591,0.012382145106572583,0.14152855665425315,0.0114924440488525,8.26594698903858e-05,0.21882606005844266,548.4415448065453,163.6746870107673,320.25163062837623
