construction,M,bins_included,p_family_liftoff_H0
FC,1,230-270 keV,0.0012330110694412921
FC,2,190-270 keV,0.002951683715236686
FC,3,150-270 keV,0.006054748742706506
FC,4,118-270 keV,0.011965063523962094
FC,5,90-270 keV,0.027907459420746794
FC,6,66-270 keV,0.07685429429070167
FC,7,48-270 keV,0.0838699968524812
FC,8,33-270 keV,0.11682980563585732
FC,9,22-270 keV,0.1940298308565359
FC,10,14-270 keV,0.21733624938339313
FC,11,9-270 keV,0.2371777142930297
FC,12,5-270 keV,0.25425828394074024
asym,1,230-270 keV,0.0012330110694412921
asym,2,190-270 keV,0.002951683715236686
asym,3,150-270 keV,0.006054748742706506
asym,4,118-270 keV,0.011965063523962094
asym,5,90-270 keV,0.027907459420746794
asym,6,66-270 keV,0.07685429429070167
asym,7,48-270 keV,0.0838699968524812
asym,8,33-270 keV,0.11682980563585732
asym,9,22-270 keV,0.12892589835389956
asym,10,14-270 keV,0.1541149417678085
asym,11,9-270 keV,0.17555914266158612
asym,12,5-270 keV,0.1940194311823077
