m_GeV,ratio_d10,ratio_events,muhat_over_sigma,pcl_factor_events,lifts_off
10.0,0.7443737344518369,0.5540922565417737,-0.7335182379887822,1.0,False
12.0,0.7447159841479524,0.5546018970454533,-0.7326798793602294,1.0,False
14.0,0.697561681499168,0.4865922994959467,-0.8445556673291679,1.0,False
17.0,0.6438582028029679,0.41455338531666774,-0.9630596811540816,1.0,False
21.0,0.6427348706071896,0.41310811389444074,-0.9654371526436449,1.0,False
30.0,0.623536010769576,0.3887971567264368,-1.0054286771850116,1.008487993428345,False
40.0,0.6368552784481988,0.4055846456873328,-0.9778132578443375,1.0,False
50.0,0.6332262920220771,0.4009755369080289,-0.9853952417862925,1.0,False
100.0,1.3889841311706008,1.929276916643749,1.528660527878967,1.0,True
200.0,1.4360554699537749,2.062255312784157,1.7474099895299386,1.0,True
400.0,1.45800116663426,2.1257674019068635,1.8518873761367904,1.0,True
1000.0,1.4744550081628733,2.174017571096579,1.9312589044538724,1.0,True
4000.0,1.4497105139802113,2.1016605743447685,1.8122316447971443,1.0,True
