m_GeV,halo,eff_sigma_keV,delta_max_248keV_june,delta_max_270keV_june,delta_max_absolute_june_136Xe,N_delta0,N_delta300,N_delta350,N_delta370,N_delta380,delta_N3.65,delta_N3,delta_N1,delta_N0.3,delta_N0.105
300.0,sun,8.0,315.7939536557191,313.6991095359935,324.4058893702736,381668743.8563151,4.874407767420263,0.0,0.0,0.0,300.4812034203279,300.8074407723515,302.63498372022934,304.6377940207131,306.3841744680679
300.0,sun,11.5,315.7939536557191,313.6991095359935,324.4058893702736,381668988.1811379,4.872765922497343,0.0,0.0,0.0,300.48052955206083,300.8066898946771,302.63380144498996,304.6361389754698,306.3821071839366
300.0,sun,15.0,315.7939536557191,313.6991095359935,324.4058893702736,381669279.2397165,4.871129120769375,0.0,0.0,0.0,300.4797871697398,300.8058227234586,302.6322352211702,304.6338066576155,306.37910685891137
300.0,annual,8.0,315.7939536557191,313.6991095359935,324.4058893702736,380751960.9394523,23.15346050068739,0.0,0.0,0.0,306.8106950380047,307.53369291691183,310.22791183498475,310.8666139847963,311.42353989327836
300.0,annual,11.5,315.7939536557191,313.6991095359935,324.4058893702736,380752208.16726303,23.16881786707368,0.0,0.0,0.0,306.81188729194133,307.53475228880325,310.2279970762186,310.86669365467645,311.4236147051332
300.0,annual,15.0,315.7939536557191,313.6991095359935,324.4058893702736,380752502.7655637,23.18602462825853,0.0,0.0,0.0,306.81333062216083,307.53605845518746,310.2281150092584,310.8668038796312,311.4237182089078
300.0,june16,8.0,315.7939536557191,313.6991095359935,324.4058893702736,372889897.9982832,73.15227759553541,0.0,0.0,0.0,310.2729928742259,310.36975023442585,310.9117734889424,311.50577854830806,312.02373015912985
300.0,june16,11.5,315.7939536557191,313.6991095359935,324.4058893702736,372890168.4603896,73.21034553625694,0.0,0.0,0.0,310.27322589275525,310.3699809350523,310.9119912049519,311.5059820344333,312.02392123729436
300.0,june16,15.0,315.7939536557191,313.6991095359935,324.4058893702736,372890491.294114,73.27582597810637,0.0,0.0,0.0,310.27349411401843,310.37024648824087,310.91224181190256,311.506216261753,312.0241411821494
300.0,dec16,8.0,315.7939536557191,313.6991095359935,324.4058893702736,388712005.4300688,0.0248383823091949,0.0,0.0,0.0,291.2959064862399,291.63798477607844,293.55426677854894,295.6543264995182,297.4855050360437
300.0,dec16,11.5,315.7939536557191,313.6991095359935,324.4058893702736,388712229.5168423,0.0248335167484365,0.0,0.0,0.0,291.2953292282114,291.6374167746336,293.553750631388,295.6538671796368,297.48509526756
300.0,dec16,15.0,315.7939536557191,313.6991095359935,324.4058893702736,388712496.0167001,0.0248231604468278,0.0,0.0,0.0,291.2946850653042,291.63676933356845,293.5530848264712,295.65318124971475,297.4843917893382
300.0,annual_vesc528,8.0,315.7939536557191,313.6991095359935,324.4058893702736,381488238.67059296,1.1819971370814644,0.0,0.0,0.0,296.293160613064,296.93790773984,300.2474895127538,302.0295519943365,303.58344807378484
300.0,annual_vesc528,11.5,315.7939536557191,313.6991095359935,324.4058893702736,381488483.5101528,1.181281101191437,0.0,0.0,0.0,296.292196708201,296.9367650783695,300.2465776194442,302.02853192979234,303.5823336877121
300.0,annual_vesc528,15.0,315.7939536557191,313.6991095359935,324.4058893702736,381488775.1416184,1.180551179684299,0.0,0.0,0.0,296.29122962760374,296.9356130603544,300.24561642570944,302.0272343774336,303.5807428424119
300.0,annual_vesc560,8.0,315.7939536557191,313.6991095359935,324.4058893702736,380157124.0826791,103.26809981306442,0.0,0.0,0.0,310.7781721442989,310.869904339824,311.38377721791556,311.9469321875846,312.4379836005033
300.0,annual_vesc560,11.5,315.7939536557191,313.6991095359935,324.4058893702736,380157373.20942646,103.35817629490978,0.0,0.0,0.0,310.7787478732202,310.87047434180283,311.3843151382418,311.94743494952263,312.438455705558
300.0,annual_vesc560,15.0,315.7939536557191,313.6991095359935,324.4058893702736,380157670.1675782,103.46302636699464,0.0,0.0,0.0,310.7794114520183,310.8711313197902,311.3849351392705,311.9480144273814,312.43899984863157
500.0,sun,8.0,356.2631874924752,357.74203781236633,368.1247099195674,235112463.93205443,369.6785671481576,0.0111815112864766,0.0,0.0,330.93700805787694,331.6535508305444,335.66753844697985,340.0621995109039,343.65091652264067
500.0,sun,11.5,356.2631874924752,357.74203781236633,368.1247099195674,235112712.85546005,370.3488795145947,0.0119974942899425,0.0,0.0,331.00563127795897,331.7309866321401,335.7943412848695,340.23029364045664,343.8449304092027
500.0,sun,15.0,356.2631874924752,357.74203781236633,368.1247099195674,235113012.55056903,371.1668872918322,0.0129830284091451,0.0,0.0,331.089914737666,331.82558046143646,335.946692581593,340.42854915156494,344.07335615744165
500.0,annual,8.0,356.2631874924752,357.74203781236633,368.1247099195674,234503227.5084525,437.7552060127258,0.1300478964383291,0.0,0.0,336.34769588604524,337.32659550703755,342.23429707677496,346.92900593619163,350.81044830297736
500.0,annual,11.5,356.2631874924752,357.74203781236633,368.1247099195674,234503478.49641523,438.5018427504588,0.1385304556361423,0.0,0.0,336.4321090557255,337.4175790656192,342.35187633798114,347.1132863370442,351.066106077558
500.0,annual,15.0,356.2631874924752,357.74203781236633,368.1247099195674,234503780.73623073,439.4137232917781,0.1490522118859929,0.0,0.0,336.5355569701874,337.5289973128777,342.49637915734303,347.3374130089843,351.3699679800027
500.0,june16,8.0,356.2631874924752,357.74203781236633,368.1247099195674,229201014.75472584,763.4911646176004,0.4687946887125957,0.0,0.0,342.0339095738797,342.84344833116126,347.21663006421664,351.74338686999715,356.09359005372863
500.0,june16,11.5,356.2631874924752,357.74203781236633,368.1247099195674,229201283.17115036,764.6581225176847,0.4983631547281744,0.0,0.0,342.1346818911592,342.95505801926146,347.39123223750425,352.0217237463333,356.4097942140145
500.0,june16,15.0,356.2631874924752,357.74203781236633,368.1247099195674,229201606.8234955,766.0860053618017,0.5351381783441156,0.0,0.0,342.25932054221516,343.0927797194994,347.60107693665645,352.35511313010176,356.7720832452127
500.0,dec16,8.0,356.2631874924752,357.74203781236633,368.1247099195674,239889374.19406953,168.03959673775708,0.0,0.0,0.0,321.6462470212273,322.31594979185144,326.06754527298403,330.1397335772027,332.93937462555544
500.0,dec16,11.5,356.2631874924752,357.74203781236633,368.1247099195674,239889607.5987394,168.41517407894892,0.0,0.0,0.0,321.69813971084045,322.37342958098174,326.1563233308698,330.2350650546293,333.0486733086011
