m_GeV,delta_keV,N_annual,N_june16,N_dec16,N_sunframe,june_over_dec,june_over_annual,N_next_1000_livedays,N_next_1000_june_only_rate
300.0,300.0,23.16881786707368,73.21034553625694,0.0248335167484365,4.872765922497343,2948.0458316829495,3.1598653827004126,105.31280848669856,332.77429789207696
300.0,350.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0
300.0,310.0,1.5369272177794415,6.350506755588044,0.0,0.0119243267560485,inf,4.131950219974164,6.98603280808837,28.865939798127474
500.0,300.0,438.5018427504588,764.6581225176847,168.41517407894892,370.3488795145947,4.540316077215415,1.743796828130626,1993.1901943202672,3475.7187387167487
500.0,350.0,0.1385304556361423,0.4983631547281744,0.0,0.0119974942899425,inf,3.5974988491855684,0.6296838892551923,2.265287066946247
500.0,340.0,1.7944416060171495,6.080173259628399,0.0078480104691885,0.3207519659496968,774.7407172173538,3.38833720709566,8.156552754623407,27.637151180129088
1000.0,300.0,790.4667887665875,1154.3909621610946,463.8089220211291,727.0885314031465,2.4889365153447947,1.4603914782585108,3593.0308580299434,5247.231646186794
1000.0,350.0,11.124193774548116,27.410466084092008,1.155048820143293,6.126472334437835,23.731002193215975,2.4640406882165684,50.56451715703689,124.59302765496368
1000.0,365.0,1.14108629273748,3.2366565316636415,0.0704513675933757,0.4599641957033839,45.941713301360714,2.8364695573538636,5.186755876079455,14.712075143925643
2000.0,300.0,643.755294254209,892.6296768389944,416.1775084273915,602.5258428884473,2.144829210525987,1.3865978032430888,2926.160428428223,4057.4076219954295
2000.0,350.0,21.26125390758822,43.53355710521141,5.093743422065263,15.536312670966389,8.54647623526367,2.0475536059363892,96.64206321631009,197.87980502368822
2000.0,375.0,0.988416176735742,2.5496941399775475,0.1194915688756488,0.4933753229443861,21.33785809299178,2.579575486510093,4.492800803344282,11.58951881807976
4000.0,300.0,401.0950927955299,544.7945802614996,268.80507594055877,377.7370400249909,2.0267272794430817,1.3582678772368446,1823.1595127069543,2476.3390011886345
4000.0,350.0,18.065046283724904,34.34674896437843,5.5967945013334255,14.184966514189425,6.136860832784799,1.9012820905597112,82.11384674420411,156.12158620172013
4000.0,377.5,0.8716558707912522,2.1412684412089327,0.1296497338987925,0.4754349316767839,16.51579511054342,2.4565525374884243,3.962072139960237,9.733038369131512
