m_GeV,delta_keV,halo,eff_sigma_keV,N_events,N_noeff_all_E
300.0,362.5,annual,11.5,0.0,0.0
300.0,362.5,annual,15.0,0.0,0.0
300.0,362.5,june16,8.0,0.0,0.0
300.0,362.5,june16,11.5,0.0,0.0
300.0,362.5,june16,15.0,0.0,0.0
300.0,362.5,dec16,8.0,0.0,0.0
300.0,362.5,dec16,11.5,0.0,0.0
300.0,362.5,dec16,15.0,0.0,0.0
300.0,362.5,annual_vesc528,8.0,0.0,0.0
300.0,362.5,annual_vesc528,11.5,0.0,0.0
300.0,362.5,annual_vesc528,15.0,0.0,0.0
300.0,362.5,annual_vesc560,8.0,0.0,0.0
300.0,362.5,annual_vesc560,11.5,0.0,0.0
300.0,362.5,annual_vesc560,15.0,0.0,0.0
300.0,365.0,sun,8.0,0.0,0.0
300.0,365.0,sun,11.5,0.0,0.0
300.0,365.0,sun,15.0,0.0,0.0
300.0,365.0,annual,8.0,0.0,0.0
300.0,365.0,annual,11.5,0.0,0.0
300.0,365.0,annual,15.0,0.0,0.0
300.0,365.0,june16,8.0,0.0,0.0
300.0,365.0,june16,11.5,0.0,0.0
300.0,365.0,june16,15.0,0.0,0.0
300.0,365.0,dec16,8.0,0.0,0.0
300.0,365.0,dec16,11.5,0.0,0.0
300.0,365.0,dec16,15.0,0.0,0.0
300.0,365.0,annual_vesc528,8.0,0.0,0.0
300.0,365.0,annual_vesc528,11.5,0.0,0.0
300.0,365.0,annual_vesc528,15.0,0.0,0.0
300.0,365.0,annual_vesc560,8.0,0.0,0.0
300.0,365.0,annual_vesc560,11.5,0.0,0.0
300.0,365.0,annual_vesc560,15.0,0.0,0.0
300.0,367.5,sun,8.0,0.0,0.0
300.0,367.5,sun,11.5,0.0,0.0
300.0,367.5,sun,15.0,0.0,0.0
300.0,367.5,annual,8.0,0.0,0.0
300.0,367.5,annual,11.5,0.0,0.0
300.0,367.5,annual,15.0,0.0,0.0
300.0,367.5,june16,8.0,0.0,0.0
300.0,367.5,june16,11.5,0.0,0.0
300.0,367.5,june16,15.0,0.0,0.0
300.0,367.5,dec16,8.0,0.0,0.0
300.0,367.5,dec16,11.5,0.0,0.0
300.0,367.5,dec16,15.0,0.0,0.0
300.0,367.5,annual_vesc528,8.0,0.0,0.0
300.0,367.5,annual_vesc528,11.5,0.0,0.0
300.0,367.5,annual_vesc528,15.0,0.0,0.0
300.0,367.5,annual_vesc560,8.0,0.0,0.0
300.0,367.5,annual_vesc560,11.5,0.0,0.0
300.0,367.5,annual_vesc560,15.0,0.0,0.0
300.0,370.0,sun,8.0,0.0,0.0
300.0,370.0,sun,11.5,0.0,0.0
300.0,370.0,sun,15.0,0.0,0.0
300.0,370.0,annual,8.0,0.0,0.0
300.0,370.0,annual,11.5,0.0,0.0
300.0,370.0,annual,15.0,0.0,0.0
300.0,370.0,june16,8.0,0.0,0.0
300.0,370.0,june16,11.5,0.0,0.0
300.0,370.0,june16,15.0,0.0,0.0
300.0,370.0,dec16,8.0,0.0,0.0
300.0,370.0,dec16,11.5,0.0,0.0
300.0,370.0,dec16,15.0,0.0,0.0
300.0,370.0,annual_vesc528,8.0,0.0,0.0
300.0,370.0,annual_vesc528,11.5,0.0,0.0
300.0,370.0,annual_vesc528,15.0,0.0,0.0
300.0,370.0,annual_vesc560,8.0,0.0,0.0
300.0,370.0,annual_vesc560,11.5,0.0,0.0
300.0,370.0,annual_vesc560,15.0,0.0,0.0
300.0,372.5,sun,8.0,0.0,0.0
300.0,372.5,sun,11.5,0.0,0.0
300.0,372.5,sun,15.0,0.0,0.0
300.0,372.5,annual,8.0,0.0,0.0
300.0,372.5,annual,11.5,0.0,0.0
300.0,372.5,annual,15.0,0.0,0.0
300.0,372.5,june16,8.0,0.0,0.0
300.0,372.5,june16,11.5,0.0,0.0
300.0,372.5,june16,15.0,0.0,0.0
300.0,372.5,dec16,8.0,0.0,0.0
300.0,372.5,dec16,11.5,0.0,0.0
300.0,372.5,dec16,15.0,0.0,0.0
300.0,372.5,annual_vesc528,8.0,0.0,0.0
300.0,372.5,annual_vesc528,11.5,0.0,0.0
300.0,372.5,annual_vesc528,15.0,0.0,0.0
