delta_keV,halo,edge,c1s_mv2_sq,N_events_at_edge,N_unit
250.0,sun,upper,3.874193463445397e-05,3.8444133445188164,99231.3208101875
250.0,sun,median,1.7397497252714095e-05,1.726376631178428,99231.3208101875
250.0,sun,lower,2.8875596624690022e-06,0.2865363592250183,99231.3208101875
250.0,annual,upper,3.874193463445397e-05,4.034240626182886,104131.10920369875
250.0,annual,median,1.7397497252714095e-05,1.8116206862934205,104131.10920369875
250.0,annual,lower,2.8875596624690022e-06,0.30068479054475516,104131.10920369875
250.0,june16,upper,3.874193463445397e-05,5.18200111529702,133756.90099607373
250.0,june16,median,1.7397497252714095e-05,2.327035317610744,133756.90099607373
250.0,june16,lower,2.8875596624690022e-06,0.3862310318931224,133756.90099607373
300.0,sun,upper,0.0002595483420953701,3.235337836394415,12465.261038753242
300.0,sun,median,0.00013202974059092147,1.6457851813447109,12465.261038753242
300.0,sun,lower,1.2844107100503443e-05,0.16010514781747945,12465.261038753242
300.0,annual,upper,0.0002595483420953701,3.4941167895073413,13462.296700872166
300.0,annual,median,0.00013202974059092147,1.77742354117417,13462.296700872166
300.0,annual,lower,1.2844107100503443e-05,0.17291118064475627,13462.296700872166
300.0,june16,upper,0.0002595483420953701,5.011735448114104,19309.4488974719
300.0,june16,median,0.00013202974059092147,2.549421528886869,19309.4488974719
300.0,june16,lower,1.2844107100503443e-05,0.24801262969082719,19309.4488974719
350.0,sun,upper,0.02246732464391009,3.384147154188265,150.62528395456107
350.0,sun,median,0.010263430445639406,1.5459321252223228,150.62528395456107
350.0,sun,lower,0.0013836000138671642,0.20840514496827622,150.62528395456107
350.0,annual,upper,0.02246732464391009,5.821235742688686,259.0978603349896
350.0,annual,median,0.010263430445639406,2.659232868162159,259.0978603349896
350.0,annual,lower,0.0013836000138671642,0.35848780315244416,259.0978603349896
350.0,june16,upper,0.02246732464391009,14.038399098458909,624.8362598109386
350.0,june16,median,0.010263430445639406,6.412963492483041,624.8362598109386
350.0,june16,lower,0.0013836000138671642,0.8645234577391216,624.8362598109386
