delta_keV,c1s_mv2_sq_lower,c1s_mv2_sq_median,c1s_mv2_sq_upper,sigmaSI_lower_cm2,sigmaSI_upper_cm2,sigmaSI_from_c_upper_cm2
0,nan,2.911e-09,1.638e-09,nan,4.997e-47,4.854e-47
50,nan,8.195e-09,7.56e-09,nan,2.307e-46,2.241e-46
100,1.483e-09,5.249e-08,7.749e-08,4.524e-47,2.365e-45,2.297e-45
150,4.88e-08,3.788e-07,7.533e-07,1.489e-45,2.299e-44,2.233e-44
200,4.515e-07,2.432e-06,6.098e-06,1.378e-44,1.862e-43,1.808e-43
250,2.888e-06,1.74e-05,3.874e-05,8.815e-44,1.183e-42,1.148e-42
300,1.284e-05,0.000132,0.0002595,3.921e-43,7.925e-42,7.694e-42
350,0.001384,0.01026,0.02247,4.225e-41,6.862e-40,6.66e-40
