tag,m_GeV,delta_keV,Z_LZ,Z_model,diff,lowE_events_at_fit
s,400.0,100,0.8,0.28883250161610124,-0.5111674983838987,0.6663448704569176
s,400.0,150,2.2,1.3259589672714736,-0.8740410327285266,1.8350181391686595
s,400.0,200,2.6,2.0735809309810675,-0.5264190690189325,1.2428027771013188
s,400.0,250,2.9,2.4208713693807495,-0.4791286306192504,0.15123270489216128
s,400.0,300,2.9,2.67623838921007,-0.22376161078992984,0.011760094045595523
s,400.0,350,,,,
s,1000.0,100,0.8,0.6060332020715339,-0.19396679792846616,1.208044299148727
s,1000.0,150,2.2,1.52063142303893,-0.6793685769610702,1.8980399208987053
s,1000.0,200,2.7,2.166836222760812,-0.5331637772391882,1.2241114458405622
s,1000.0,250,2.9,2.4880760698292357,-0.41192393017076423,0.21140940567549132
s,1000.0,300,3.0,2.674021695590583,-0.3259783044094169,0.03103216809141868
s,1000.0,350,3.3,3.1213293475899477,-0.1786706524100521,3.915295340132991e-06
s,4000.0,100,1.0,0.7294293430163081,-0.27057065698369187,1.3844498188542953
s,4000.0,150,2.3,1.596288314574531,-0.7037116854254688,1.8869925480882566
s,4000.0,200,2.7,2.203100581544231,-0.4968994184557691,1.1877022833999835
s,4000.0,250,2.9,2.5091114595147856,-0.39088854048521426,0.2410091134122459
s,4000.0,300,3.0,2.6776556562280556,-0.32234434377194443,0.0379525584314736
s,4000.0,350,3.3,3.00574787794582,-0.29425212205417983,0.0003419234828722663
v,400.0,100,2.6,2.4066158797407464,-0.19338412025925367,2.325733425869262
v,400.0,150,2.8,2.9542148505330874,0.1542148505330876,1.7893679648620793
v,400.0,200,2.8,3.2397115155006126,0.4397115155006128,0.9410667404324221
v,400.0,250,2.8,3.3760988076454863,0.5760988076454865,0.5116970637979156
v,400.0,300,3.1,3.578551267861459,0.47855126786145874,0.022888944082429235
v,400.0,350,,,,
v,1000.0,100,2.6,2.560858656935798,-0.03914134306420225,2.3054530019283144
v,1000.0,150,2.8,3.0511189922852116,0.25111899228521173,1.6954752979974173
v,1000.0,200,2.9,3.3008563430003095,0.4008563430003096,0.8709181797055704
v,1000.0,250,3.0,3.418697819103308,0.41869781910330817,0.4847165509462665
v,1000.0,300,3.4,3.553189629853519,0.15318962985351892,0.09843501479439862
v,1000.0,350,3.4,3.6549826342069696,0.25498263420696965,3.2801605310902645e-07
v,4000.0,100,2.6,2.622098372222126,0.02209837222212574,2.2951086049252636
v,4000.0,150,2.9,3.0887441825897515,0.18874418258975156,1.6702637976718484
v,4000.0,200,2.9,3.322953965516553,0.42295396551655307,0.8310486286062235
v,4000.0,250,3.1,3.432969878853031,0.3329698788530311,0.46172488191013744
v,4000.0,300,3.4,3.546874314992035,0.14687431499203507,0.1300941443408591
v,4000.0,350,3.4,3.6457715923348526,0.24577159233485268,0.0001300902951267192
