cfg,delta_keV,N_expected,N_H,lnL,dm2
baseline,100.0,7200819.477477277,7055.960005914259,-7038270.657034747,14077170.527944027
baseline,110.0,4741945.447144651,6158.356374829843,-4634997.963948095,9270625.141770722
baseline,120.0,3080494.760629179,5344.03801361548,-3011045.368899758,6022719.951674048
baseline,130.0,1975410.2778679058,4610.354202081581,-1930842.0677096983,3862313.349293929
baseline,140.0,1250371.7012539487,3953.8583802184316,-1222075.048146388,2444779.3101673084
baseline,150.0,781684.9014060126,3368.7340073889536,-763864.2039658357,1528357.6218062039
baseline,160.0,482202.56872022856,2850.6070936327287,-471041.807954625,942712.8297837822
baseline,170.0,294361.7900522836,2396.8764850233606,-287353.0245077231,575335.2628899785
baseline,180.0,178088.0045248017,2000.890419328686,-173632.40305865539,347894.01999184303
baseline,190.0,106977.4059972368,1657.4121497853673,-104075.09253844147,208779.39895141523
baseline,200.0,64267.37290455523,1360.8249928618432,-62297.22050843348,125223.65489139924
baseline,210.0,38895.10759569341,1108.466332151696,-37485.747049739126,75600.70797401054
baseline,220.0,23934.010428911508,894.0531255652994,-22869.21272239482,46367.63931932192
baseline,230.0,15109.223290594631,713.9620001630138,-14267.617894112056,29164.449662756397
baseline,240.0,9833.769764164555,563.7596657941643,-9149.00369368505,18927.221261902385
baseline,250.0,6574.926779974441,439.1536798239305,-6010.925020640654,12651.063915813591
baseline,260.0,4470.740513618333,336.7593736503555,-3998.561931020907,8626.337736574098
baseline,270.0,3038.188287574952,253.83444550896664,-2620.7311387122586,5870.676151956801
baseline,280.0,2028.1248742005312,187.31768340365412,-1644.9912594712032,3919.1963934746896
baseline,290.0,1302.7621596809238,134.67012182662853,-944.1499953485626,2517.5138652294086
baseline,300.0,789.9353921825928,93.66143344644891,-449.763868995224,1528.7416125227314
baseline,305.0,597.4236457856869,76.91504685955026,-264.45083137191705,1158.1155372761173
baseline,310.0,442.98553310134855,62.42559890623013,-115.66006099643656,860.5339965251565
baseline,315.0,319.46077819939444,49.9870150599021,3.7776883650689186,621.6584978021455
baseline,320.0,223.90631431133346,39.27653802780968,96.68755733805781,435.83875985616766
baseline,325.0,151.9050581867618,30.30496178242895,167.17773972423137,294.85839508382054
baseline,330.0,99.10425728270886,22.78221572555757,219.1763160756025,190.86124238107828
baseline,335.0,61.95572356953316,16.624911556686406,255.87918467690156,117.45550517848017
baseline,340.0,36.80179200675033,11.710908371827065,280.70863882125485,67.79659688977358
baseline,345.0,20.722796064634036,7.867289649560942,296.4809841105565,36.25190631117027
baseline,350.0,10.983748254391472,5.027901807101379,305.88746693527304,17.438940661737206
baseline,355.0,5.422470740054717,3.0222411102357474,311.0778253336345,7.05822386501427
baseline,360.0,2.5110358550603817,1.699545940588077,313.5765140051742,2.0608465219348773
baseline,365.0,1.0884284067573173,0.8832682085960964,314.52624782166504,0.16137888895320884
baseline,370.0,0.45851993620327275,0.42619533360946127,314.60693726614164,0.0
baseline,375.0,0.19806372954248724,0.1959827781916189,314.23242252039773,0.7490294914878177
baseline,380.0,0.08854076576162927,0.08853579238686932,313.60995931457256,1.9939559031381577
baseline,385.0,0.036706646471822306,0.036706601135716395,312.7494240399449,3.715026452393431
baseline,390.0,0.007830927448568253,0.007830927441225785,310.39958843856766,8.414697655147961
baseline,395.0,2.153205720233034e-07,2.153205720233034e-07,308.74737586733926,11.719122797604768
june,100.0,7938133.993735504,7658.7036468451915,-7759013.528313906,15518656.821928047
june,110.0,5289428.81263363,6722.47254127921,-5170214.396071967,10341058.557444168
june,120.0,3477005.4492672835,5867.561396509145,-3398708.1670415285,6798046.099383292
june,130.0,2257021.7051825514,5092.261006216808,-2206202.9481114293,4413035.6615230935
june,140.0,1446360.7347521633,4393.9717930681245,-1413744.1853864489,2828118.1360731325
june,150.0,915983.9240710255,3767.5036036040087,-895229.3171832946,1791088.3996668241
june,160.0,572741.6296961333,3209.0828492451124,-559625.0930731687,1119879.9514465723
june,170.0,354499.76935982145,2716.8008111040567,-346209.8520587595,693049.469417754
june,180.0,217481.78566178298,2284.2704062531457,-212200.5215198313,425030.8083398976
