cfg,delta_keV,N_expected,N_H,lnL,dm2
june,190.0,132425.53091312482,1906.5232688481442,-128999.07690317233,258627.91910657965
june,200.0,80533.85823255416,1578.0643828334878,-78233.49722154334,157096.75974332166
june,210.0,49216.223099690695,1296.5848984239517,-47597.84087658544,95825.44705340588
june,220.0,30476.413155994087,1055.6645814262388,-29275.442474939427,59180.650250113846
june,230.0,19289.36067747324,851.7506333534104,-18353.420160918686,37336.60562207236
june,240.0,12558.362743266178,680.3058629835327,-11802.182775102761,24234.130850440513
june,250.0,8407.97845302677,536.8499246133507,-7784.985340767857,16199.735981770707
june,260.0,5752.870209967152,417.8604010384416,-5235.864377420986,11101.494055076964
june,270.0,3966.1141328890494,320.4936342019523,-3520.5410189859276,7670.847338206847
june,280.0,2714.0284643282876,241.47255534894535,-2311.313350278332,5252.392000791656
june,290.0,1808.8682673702401,178.06551672992748,-1435.2133668179574,3500.192033870907
june,300.0,1153.6576339267324,127.84778825649381,-801.8244668731295,2233.414233981251
june,305.0,900.1000637843271,107.02367694358495,-557.3096850874844,1744.3846704099606
june,310.0,691.1975483794788,88.78941739493501,-356.12249056884235,1342.0102813726767
june,315.0,518.7903929693507,72.917352122656,-190.01125391200932,1009.7878080590106
june,320.0,380.2926437068817,59.02522862574842,-56.22893264841582,742.2231655318236
june,325.0,271.28933734929154,47.15614516284764,49.69280900661789,530.3796822217562
june,330.0,187.1898040638328,36.962358556601025,132.07182359199606,365.62165305099984
june,335.0,124.47070894844691,28.358533720200086,193.97531376446713,241.8146727060577
june,340.0,79.0105241715984,21.2129670576959,239.01936682575135,151.72656658348927
june,345.0,47.760165186290976,15.312538154309724,269.9903108617052,89.78467851158155
june,350.0,27.151011544127297,10.615651905987004,290.3216720640493,49.12195610689332
june,355.0,14.307734334633775,6.9494851737858,302.8613389583345,24.04262231832297
june,360.0,6.974200462709735,4.233778449558454,309.8579045653358,10.049491104320396
june,365.0,3.1094925139319294,2.3526956311517324,313.33590918490756,3.093481865176841
june,370.0,1.3166190124898551,1.1886101631350983,314.6754987489442,0.41430273710352594
june,375.0,0.5750193621786581,0.5662378168587281,314.882650117496,0.0
june,380.0,0.27288324300907,0.2728595072218138,314.5593104794014,0.6466792761891611
june,385.0,0.12752478039689885,0.12752461087460876,313.9153657049407,1.9345688251105457
june,390.0,0.030281054435943793,0.030281054406944948,311.5904524025124,6.584395429967117
june,395.0,8.694025515234038e-07,8.694025515234038e-07,308.7473754369752,12.270549361041617
sun,100.0,7106050.867312121,6981.851382782657,-6945633.890458279,13891897.255710796
sun,110.0,4670070.305872779,6088.122664410204,-4564735.222041078,9130099.918876393
sun,120.0,3027238.6529493015,5278.055481738937,-2958979.7311404264,5918588.937075089
sun,130.0,1936879.7318047434,4548.884861368926,-1893168.8325831685,3786967.1399605735
sun,140.0,1223071.5107806548,3897.0568336774654,-1195378.6788869265,2391386.8325680895
sun,150.0,762584.3339538475,3316.669451151427,-745183.0328037618,1490995.5404017598
sun,160.0,469052.7135571223,2803.2655534033033,-458178.1660357107,916985.8068656577
sun,170.0,285450.4106605179,2354.147416558929,-278633.66313432204,557896.8010628803
sun,180.0,172134.27647749305,1962.6165753213936,-167805.65929790662,336240.7933900495
sun,190.0,103056.82048579406,1623.389336024216,-100237.50520004865,201104.48519433357
sun,200.0,61707.66850012608,1330.8204347347785,-59791.858858921914,120213.19251208009
sun,210.0,37237.81636572381,1082.1892754166877,-35864.611232729054,72358.69725969437
sun,220.0,22867.311148432862,871.217563951687,-21827.60058763857,44284.67596951341
sun,230.0,14420.4142066104,694.2611388166652,-13597.672466498301,27824.819727232865
sun,240.0,9384.227212526815,546.8892550960791,-8715.057189803128,18059.58917384252
sun,250.0,6274.802897258941,424.8247242650627,-5724.647822406659,12078.770439049582
sun,260.0,4263.376637867228,324.692685891054,-3800.6324188696094,8230.739631975483
sun,270.0,2889.409289087569,243.75672325859182,-2477.7473048729194,5584.969403982103
sun,280.0,1917.5425649823628,178.97826662376147,-1538.2970414300444,3706.068877096353
sun,290.0,1218.9668541858096,127.83909759439425,-863.4080061726812,2356.290806581627
sun,300.0,726.5922609766174,88.13101585692222,-389.1182800900482,1407.7113544163608
sun,305.0,542.8642054185159,71.96332267301804,-212.3959863020238,1054.266766840312
sun,310.0,396.418087699321,58.00678205496557,-71.28317233941621,772.0411389150968
sun,315.0,280.301545328368,46.05796475658431,41.225134316334284,547.0245256035957
sun,320.0,191.554873366448,35.80222994781746,127.90796183455682,373.65887056715064
sun,325.0,125.75895335391812,27.245428821229094,192.7056515128496,244.06349121056508
sun,330.0,78.57271186017417,20.10544997991318,239.4112122570255,150.65236972221328
sun,335.0,46.37704270487141,14.298938980137647,271.29121762992696,86.89235897641038
sun,340.0,25.514897697416615,9.704922317725524,291.85649872104955,45.76179679416521
sun,345.0,12.955997449712314,6.156722158606276,304.0904063613089,21.293981513646486
sun,350.0,6.011461948275399,3.593221213887112,310.66660042873883,8.141593378786638
sun,355.0,2.5363759751511146,1.880539954516447,313.71598864365666,2.0428169489509855
sun,360.0,1.0247769321321167,0.8960523367720622,314.7321708208725,0.010452594519279046
sun,365.0,0.4271388718545353,0.4121263730080281,314.73739711813215,0.0
sun,370.0,0.18694298879503324,0.1861934810861236,314.25797655489686,0.9588411264705883
sun,375.0,0.0734867281485025,0.07348164926778965,313.43271637156084,2.6093614931426146
sun,380.0,0.021502317273683434,0.02150228868952598,312.1579802818728,5.158833672518654
sun,385.0,0.0028286175053728224,0.00282861746526044,309.8686724869487,9.737449262366908
sun,390.0,1.6452733236176566e-05,1.645273323616997e-05,308.74787661584793,11.979041004568444
sun,395.0,0.0,0.0,308.7473760091763,11.98004221791166
sig8,100.0,7201957.682959089,6607.8458496412595,-7039403.569018143,14079436.141699623
sig8,110.0,4742169.341326823,5769.471763577118,-4635234.649395395,9271098.302454127
sig8,120.0,3080531.3257850474,5008.5861262481085,-3011096.5120097343,6022822.027682805
sig8,130.0,1975424.0846956163,4323.153244781106,-1930868.7735991,3862366.550861537
sig8,140.0,1250381.501050153,3709.462196307592,-1222095.876648608,2444820.7569605527
sig8,150.0,781693.2279790103,3162.5422691137164,-763881.8635389017,1528392.7307411402
sig8,160.0,482209.7079646903,2677.7290842363827,-471056.7805578178,942742.5647789724
sig8,170.0,294367.8904393661,2253.3309085835112,-287365.68173398596,575360.3671313088
sig8,180.0,178093.18346942458,1882.5319988839378,-173643.05855644713,347915.1207762311
sig8,190.0,106981.78108314687,1560.65063344523,-104084.05449962507,208797.112662587
sig8,200.0,64271.04157903715,1282.5987023516047,-62304.777105976194,125238.55787528925
sig8,210.0,38898.16261443706,1045.747730955425,-37492.1957974184,75613.39525817365
sig8,220.0,23936.533726495163,844.5384026037328,-22874.884537103822,46378.7727375445
sig8,230.0,15111.291364230063,675.1889881853749,-14272.879462258245,29174.762587853347
sig8,240.0,9835.452022885616,533.872612195898,-9154.3034404557,18937.61054424826
sig8,250.0,6576.279354336613,416.48822071684447,-6016.77411070921,12662.55188475528
sig8,260.0,4471.816410129535,319.90545928209576,-4004.092037485766,8637.187738308392
sig8,270.0,3039.0327996553006,241.58028749386787,-2625.405053064351,5879.813769465561
sig8,280.0,2028.7770365770145,178.67234253048602,-1648.8253630257489,3926.654389388357
sig8,290.0,1303.2571023816852,128.77174101664295,-947.2193566099638,2523.4423765567867
sig8,300.0,790.3031947292936,89.84421906088772,-452.12286734451277,1533.2493980258846
sig8,305.0,597.7370319780912,73.9266668956598,-266.4479289854594,1161.8995213077778
sig8,310.0,443.25075719543037,60.11779082784578,-117.27996948494642,863.563602306752
sig8,315.0,319.68377576735554,48.25616300683265,2.544273603158686,623.9151161305418
sig8,320.0,224.09152045672496,38.02884664376891,95.80923704831707,437.38518924022503
sig8,325.0,152.05722844962844,29.439626958535406,166.5785177521816,295.846627832496
sig8,330.0,99.22754899099729,22.216439475074843,218.7649464988808,191.4737703390976
sig8,335.0,62.05413685212385,16.28863572242382,255.57607607406257,117.85151118873404
sig8,340.0,36.87896779380491,11.539970061055122,280.46360371915284,68.07645589855349
sig8,345.0,20.781954675201593,7.801041068920052,296.2688344143294,36.465994508200424
sig8,350.0,11.027845163328948,5.021440249108052,305.7008934257238,17.601876485411594
sig8,355.0,5.454217290085207,3.043031487071719,310.91417330489844,7.175316727062295
sig8,360.0,2.532971176557605,1.7258734852290383,313.43574451763544,2.132174301588293
sig8,365.0,1.1028365661018646,0.9036977287126355,314.4038351052969,0.19599312626542087
sig8,370.0,0.46740258162107023,0.43875406538804723,314.5018316684296,0.0
sig8,375.0,0.20310704425159856,0.20194087029447777,314.1396211562163,0.7244210244265332
sig8,380.0,0.09113126959512122,0.091130962210422,313.51930501876336,1.9650532993324532
sig8,385.0,0.03783781830599541,0.03783781827671296,312.6507633577507,3.702136621357795
sig8,390.0,0.00820968346490879,0.008209683464908787,309.6197560497877,9.764151237283727
sig8,395.0,6.344328755741145e-08,6.344328755741145e-08,308.74737594573554,11.508911445388094
sig15,100.0,7194584.03759343,7859.312432306491,-7032142.086835974,14064913.546196112
sig15,110.0,4740074.360062756,6855.482473064732,-4633139.060602996,9266907.493730156
sig15,120.0,3080038.0550280856,5945.012439563682,-3010572.8708495963,6021775.114223356
sig15,130.0,1975294.0109743674,5124.605037365214,-1930706.0036028973,3862041.3797299583
sig15,140.0,1250338.5739975749,4391.070045541035,-1222023.5910127102,2444676.554549584
sig15,150.0,781669.1177592365,3737.4654287379744,-763832.6441396797,1528294.6608035231
sig15,160.0,482191.1668679458,3159.48582378782,-471017.1303935131,942663.6333111901
sig15,170.0,294352.3737780327,2653.2678621507716,-287332.5029440611,575294.378412286
sig15,180.0,178080.05498567654,2212.027861571596,-173615.19586349226,347859.76425114827
sig15,190.0,106970.69754472759,1829.7777735362074,-104060.64460865868,208750.6617414811
sig15,200.0,64261.749674990024,1500.0293113297032,-62285.04737441776,125199.46727299926
sig15,210.0,38890.42750442678,1219.9358152098623,-37475.363615335395,75580.09975483453
sig15,220.0,23930.147411566213,982.0600359227572,-22860.079617837757,46349.53175983926
sig15,230.0,15106.057139331853,782.7227550481794,-14259.124248066457,29147.621020296658
sig15,240.0,9831.196361035767,616.686543943022,-9140.422470232046,18910.217464627836
sig15,250.0,6572.858690014981,479.2026348797589,-6001.460669969602,12632.293864102949
sig15,260.0,4469.096460415406,366.489681155231,-3989.4774608353905,8608.327445834526
sig15,270.0,3036.8987731130514,275.399184662302,-2613.097089942998,5855.566704049741
sig15,280.0,2027.1296760476882,202.50036215006384,-1638.7461544553041,3906.8648330743526
sig15,290.0,1302.0079511289334,144.9938976025906,-939.1702809360659,2507.7130860358766
sig15,300.0,789.375039103738,100.31520678997653,-445.94287252870765,1521.25826922116
sig15,305.0,596.9464882839137,82.11741030278314,-261.2103063163363,1151.7931367964172
sig15,310.0,442.5818397920745,66.42531730834729,-113.02011750360272,855.41275917095
sig15,315.0,319.12169557971725,52.97441437829178,5.805148521751271,617.7622271202421
sig15,320.0,223.6249064196263,41.428060603432726,98.14039167088387,433.0917408219769
sig15,325.0,151.67380056804285,31.788212512450034,168.16040395020832,293.051716263328
sig15,330.0,98.91708043725282,23.74723675498936,219.82545948137732,189.72160520098998
sig15,335.0,61.80644821665353,17.196886684635572,256.3237879737846,116.72494821617545
sig15,340.0,36.68482217481622,12.001285581929041,281.0377857031637,67.29695275741722
sig15,345.0,20.63326933701662,7.980885574961811,296.74447907586426,35.883566012016104
sig15,350.0,10.917172618672861,5.042449915602341,306.1051180784281,17.16228800688839
sig15,355.0,5.374583350618822,2.992071952045594,311.2567241795721,6.859075804600479
sig15,360.0,2.478041413271641,1.660521260206149,313.7184680077726,1.9355881481994857
sig15,365.0,1.066796805642485,0.8528499452312093,314.63514721521204,0.10222973332054153
sig15,370.0,0.4452497661743306,0.4079066545362565,314.6862620818723,0.0
sig15,375.0,0.19057804208337875,0.1872681330542014,314.29020441285775,0.7921153380291344
sig15,380.0,0.08472147065902035,0.08468501708955818,313.65835637489243,2.055811413959759
sig15,385.0,0.03506164373347589,0.03505787634164991,312.80884013780235,3.7548438881399306
sig15,390.0,0.007343296232507665,0.007343267243679113,310.8866132452643,7.599297673216029
sig15,395.0,4.4438493331068323e-07,4.4438493315881213e-07,308.7473895606659,11.877745042412812
