tag,m_GeV,cfg,delta_keV,S_tot_unit,S_H_unit,S_L_unit,f_ev_unit,f_ev_norm,pct_ev,q0,Z,mu_hat,kappa_hat,kappa_68lo,kappa_68hi,kappa_90lo,kappa_90hi,mu_68lo,mu_68hi,mu_90lo,mu_90hi,lowE_events_at_fit,sigma_n_hat_cm2,sigma_n_68lo_cm2,sigma_n_68hi_cm2,sigma_n_90lo_cm2,sigma_n_90hi_cm2,companion_free,p_exact_bH,Z_exact_bH,p_exact_bHpois,Z_exact_bHpois
s,400,baseline,100.0,208725874.76185632,285280.9921956754,205719447.22991678,856.3365817714968,4.1026853175176546e-06,0.9999590515617677,0.08342421398981514,0.28883250161610124,0.6760829753919819,3.2390951824413336e-09,0.0,1.8947743434780595e-08,0.0,3.2821333345347764e-08,0.0,3.9548843231878,0.0,6.8506615133581965,0.6663448704569176,9.575028093620617e-47,0.0,5.601106651086372e-46,0.0,9.702252362183678e-46,False,,,,
s,400,baseline,110.0,135061641.1791483,243370.30152170802,132520456.89696878,732.0877046315967,5.420396925730688e-06,0.9999458763415696,0.26815152597737324,0.5178334925218465,1.096478196143185,8.118353861025545e-09,0.0,3.204754630350026e-08,0.0,5.324123330050394e-08,0.0,4.328394199515492,0.0,7.190848347967984,1.0758479629143758,2.399851252122965e-46,0.0,9.473514636156583e-46,0.0,1.5738540421868817e-45,False,,,,
s,400,baseline,120.0,86016703.02866843,206188.41819499194,83886061.7031614,621.4473198733142,7.224728430549036e-06,0.9999278011587485,0.5416900836125933,0.7359959807041023,1.4125375446227555,1.6421665733363113e-08,0.0,5.3537452399219813e-08,0.0,8.644991520480757e-08,0.0,4.605115143935163,0.0,7.4361366830255005,1.3775488649775893,4.854377592648798e-46,0.0,1.5826105190185803e-45,0.0,2.55552961599993e-45,False,,,,
s,400,baseline,130.0,53958777.533869065,173595.84078425355,52187198.800353736,525.0164956361609,9.729955340567462e-06,0.9999026949110794,0.8914520312234799,0.9441673745811597,1.6595869074375598,3.0756569798043765e-08,0.0,8.893453858726198e-08,0.0,1.4079647097047913e-07,0.0,4.798798982707363,0.0,7.597205454649937,1.6050992224674654,9.091891509582283e-46,0.0,2.6289770985500935e-45,0.0,4.1620578868228254e-45,False,,,,
s,400,baseline,140.0,33331505.345745318,145062.3429371872,31871106.53529685,440.10919307309644,1.320399989463048e-05,0.9998678324739908,1.3000642982880208,1.1402036214150615,1.8197008586099825,5.4594019674009794e-08,4.187796625649043e-09,1.4748407791630956e-07,0.0,2.303441510598577e-07,0.1395855656147153,4.9158663314797915,0.0,7.677717302412814,1.7399718172204583,1.6138435046799933e-45,1.2379466512230368e-46,4.359748972693158e-45,0.0,6.809159945515974e-45,False,,,,
s,400,baseline,150.0,20245977.087111916,120291.9350066152,19053690.332374975,366.5831514942395,1.810646875262924e-05,0.9998185981399694,1.7581671828876324,1.3259589672714736,1.9498445997580456,9.630775493662235e-08,1.4154642220031778e-08,2.451802100257572e-07,0.0,3.7948215374775204e-07,0.28657456206303034,4.963912914394768,0.0,7.682986989744869,1.8350181391686595,2.846935354510505e-45,4.184227053488494e-46,7.247725882593596e-45,0.0,1.121780027601333e-44,False,,,,
s,400,baseline,160.0,12079277.099693416,98925.60874049983,11114783.113310456,302.685636521598,2.5058257545004945e-05,0.9997485989251608,2.2510934325007383,1.50036443322972,1.9952623149688788,1.651806062979978e-07,3.207897255877988e-08,4.0924804831858646e-07,0.0,6.298829975111446e-07,0.38749079861096336,4.943420578148926,0.0,7.608531267322614,1.835946613527369,4.8828727059281524e-45,9.482804492126573e-46,1.209770426368397e-44,0.0,1.86198523265298e-44,False,,,,
s,400,baseline,170.0,7084239.647382451,80710.56897748055,6311945.956894385,247.9220147332744,3.499627723984166e-05,0.9996484384347706,2.7661700565038245,1.6631807047052418,1.9952623149688788,2.8164805459483664e-07,6.358072860638226e-08,6.850147153268956e-07,1.1180240875355798e-09,1.0512003945258657e-06,0.4504211184027968,4.852808405359196,0.007920350567648143,7.446955512244212,1.777747299467048,8.325744948398096e-45,1.8794979101544336e-45,2.0249590624425409e-44,3.3049698895940434e-47,3.107433632754181e-44,False,,,,
s,400,baseline,180.0,4076804.3319439255,65186.69471680841,3465250.4436847516,201.5453336881257,4.9437087796662465e-05,0.9995028310005473,3.294583692496417,1.8150988106702117,1.9498445997580456,4.782777001289903e-07,1.1817101211438915e-07,1.1496174470329844e-06,1.5393187863027703e-08,1.76269584536463e-06,0.4817600940981398,4.686765388142387,0.06275501496241799,7.186166058282083,1.6573520125765064,1.4138276763561217e-44,3.4932309707368464e-45,3.3983624229161116e-44,4.550351191834409e-46,5.210671897314757e-44,False,,,,
s,400,baseline,190.0,2310643.6467284183,52149.77098188746,1832483.9817130314,161.99503502035293,7.010818619726049e-05,0.9992938178951645,3.81145941034481,1.9522959330861727,1.8620871366628695,8.058737829605839e-07,2.1021330627744252e-07,1.9219464497334242e-06,4.1286853623811794e-08,2.9503256056748193e-06,0.4857280406077477,4.440933353428776,0.0953992060192669,6.817151116532694,1.4767507985577542,2.3822282696688463e-44,6.214075844916432e-45,5.681429601201677e-44,1.2204728823289532e-45,8.72140180158979e-44,False,,,,
s,400,baseline,200.0,1295119.5451845608,41216.557340444866,926215.5598072285,128.7365360787196,9.940127655194488e-05,0.998996927471836,4.299737877328312,2.0735809309810675,1.7378008287493762,1.3418072757922367e-06,3.6119518217694436e-07,3.180559720960367e-06,8.577128772316269e-08,4.894408340069059e-06,0.4677909400638588,4.119205059242524,0.11108407114591658,6.338843903337761,1.2428027771013188,3.9664911459167692e-44,1.067722256317887e-44,9.40199252146714e-44,2.5354688371840534e-45,1.4468268055800204e-43,False,,,,
s,400,baseline,210.0,723391.8333624222,32170.46405053309,443215.17218192713,101.09270702117894,0.0001397482005724152,0.9985876079942839,4.742323427880251,2.1776876332202124,1.584893192461114,2.1909193874837073e-06,6.008956930672003e-07,5.172529850768684e-06,1.5848291917793407e-07,7.983032332905772e-06,0.4346830370674653,3.741765851869414,0.1146452494607543,5.7748603950922,0.9710487135603136,6.476535422525987e-44,1.7762964094551683e-44,1.5290417800835476e-43,4.6848836419311015e-45,2.3598491107705795e-43,False,,,,
s,400,baseline,220.0,408033.57266010396,24722.05020060417,199022.16567857022,78.25973845424619,0.00019179730222698447,0.9980573408915264,5.121448847933152,2.2630618303380827,1.4125375446227555,3.461816966221584e-06,9.677122073527977e-07,8.211562048043877e-06,2.7162403512507423e-07,1.2706008484402468e-05,0.39485906927295733,3.3505929995834633,0.11083172547243761,5.184478036140332,0.6889783098002374,1.0233411752216861e-43,2.8606357794521153e-44,2.427404348249746e-43,8.029426802039598e-45,3.7559991708622494e-43,False,,,,
s,400,baseline,230.0,235817.07549122628,18659.54856790198,83263.90529900094,59.57256103108327,0.0002526219142824528,0.9974366845972197,5.430711794637318,2.330388764699426,1.2589254117941662,5.338567655339299e-06,1.51474870916568e-06,1.2728103990929795e-05,4.419341792419535e-07,1.972713940052915e-05,0.3572036106995607,3.00150425968927,0.10421562570845287,4.651996321240527,0.4445099916864808,1.5781239019052492e-43,4.477720050852393e-44,3.762530781816098e-43,1.3063932806641178e-44,5.831502420514556e-43,False,,,,
s,400,baseline,240.0,141159.04085195213,13810.107874071262,32532.121549096413,44.37363389676894,0.00031435205020490393,0.9968026455264418,5.670166512005153,2.3812111439360333,1.1481536214968842,8.133759017965204e-06,2.3234659065147606e-06,1.9383607951116137e-05,6.94704155950789e-07,3.0063883125368146e-05,0.32797821881583505,2.7361715066298267,0.09806377232987835,4.243788906262156,0.2646084370235031,2.4044051414709376e-43,6.868353684092909e-44,5.729951737564493e-43,2.0536018348711432e-44,8.887127710515823e-43,False,,,,
s,400,baseline,250.0,87132.39867927151,9948.289054762376,12297.742347335854,32.209895751997905,0.0003696661200681547,0.9962304045721757,5.860618187087425,2.4208713693807495,1.071519305237607,1.229759907312775e-05,3.554045105581963e-06,2.9485071041779938e-05,1.0806878377056052e-06,4.573518803170458e-05,0.30967247506368123,2.569104965099013,0.09416292352280467,3.985016637249931,0.15123270489216128,3.635270036138055e-43,1.0506045613112666e-43,8.716026163660166e-43,3.1946009066230035e-44,1.3519692556256775e-42,False,,,,
