N_new,N_tot,bkg,b_per284,b_new,b_tot,Z_comb_poisson,Z_new_poisson,Z_comb_LR,s_hat,s_lo68,s_hi68,s_lo90,s_hi90,s_UL90,s_mean,P_DM_cap_free_U,P_DM_L10,P_U_L10,mu_new_L10,P_thisN_best_L10,P_thisN_lo68_L10,P_thisN_PGJ_L10,P_DM_d300,P_U_d300,mu_new_d300,P_thisN_best_d300,P_thisN_lo68_d300,P_thisN_PGJ_d300,P_DM_d350,P_U_d350,mu_new_d350,P_thisN_best_d350,P_thisN_lo68_d350,P_thisN_PGJ_d350,P_DM_d366,P_U_d366,mu_new_d366,P_thisN_best_d366,P_thisN_lo68_d366,P_thisN_PGJ_d366,P_DM_d380,P_U_d380,mu_new_d380,P_thisN_best_d380,P_thisN_lo68_d380,P_thisN_PGJ_d380,P_DM_count,P_U_count,mu_new_count,P_thisN_best_count,P_thisN_lo68_count,P_thisN_PGJ_count,Z_time_d300,Z_time_d350,Z_time_d366,Z_time_d380
0,1,nb2sig,0.0002,0.0013466197183098591,0.0015466197183098592,2.9585552157147665,0.0,3.3085435394239986,0.12931427010290503,0.09207663099943651,0.42525309452712534,0.045953314378663145,0.6134493776627465,0.5029963246709543,0.25862854020581005,0.09090909090909091,0.011867421167687622,0.9650818013739596,2.304441537668913,0.0998145277452705,0.5009081834293796,0.166476482454301,0.023580346640415736,0.9560893591686096,1.201315630854536,0.3007982120657301,0.6974010150554375,0.30617979216610003,0.007514912906093792,0.9665631592373349,3.4040562099973597,0.03323817514077165,0.3601564124009029,0.10819837044526844,0.004539037899988397,0.964109466030641,5.233152652171814,0.005336674076472361,0.208056459616215,0.06425964994844867,0.0044526417175758184,0.9639064198855608,5.322374317013956,0.004881150557075293,0.20256138651217373,0.06290420716043964,0.0034401690936735523,0.9599973449205916,6.733098591549296,0.0011908373170098172,0.13266480734323136,0.046501790930150166,0.30539195913557254,0.8846517369293828,1.1766968108291043,1.3031167282892082
0,1,band200_270,0.00057,0.0038378661971830985,0.004407866197183099,2.619869906725663,0.0,2.9761627738853447,0.12931427010290503,0.09207663099943651,0.42525309452712534,0.045953314378663145,0.6134493776627465,0.5029963246709543,0.25862854020581005,0.09090909090909091,0.011358942489609176,0.925837872314345,2.304441537668913,0.0998145277452705,0.5009081834293796,0.166476482454301,0.022670475583445204,0.921669224598222,1.201315630854536,0.3007982120657301,0.6974010150554375,0.30617979216610003,0.007159468183458663,0.9225717404200643,3.4040562099973597,0.03323817514077165,0.3601564124009029,0.10819837044526844,0.004286353748324831,0.9115299230341177,5.233152652171814,0.005336674076472361,0.208056459616215,0.06425964994844867,0.004202788035993368,0.9108790701743922,5.322374317013956,0.004881150557075293,0.20256138651217373,0.06290420716043964,0.0032212397206431037,0.89948502052863,6.733098591549296,0.0011908373170098172,0.13266480734323136,0.046501790930150166,0.30539195913557254,0.8846517369293828,1.1766968108291043,1.3031167282892082
0,1,panel,0.0106,0.07137084507042253,0.08197084507042253,1.4138622130936964,0.0,1.779529425399946,0.12931427010290503,0.09207663099943651,0.42525309452712534,0.045953314378663145,0.6134493776627465,0.5029963246709543,0.25862854020581005,0.09090909090909091,0.005350609011298309,0.46212007458800053,2.304441537668913,0.0998145277452705,0.5009081834293796,0.166476482454301,0.011208621711304496,0.4880709145049474,1.201315630854536,0.3007982120657301,0.6974010150554375,0.30617979216610003,0.003216194880805425,0.43453470872089645,3.4040562099973597,0.03323817514077165,0.3601564124009029,0.10819837044526844,0.0017731836361343828,0.38857929434794397,5.233152652171814,0.005336674076472361,0.208056459616215,0.06425964994844867,0.0017313974567198381,0.3863669169413075,5.322374317013956,0.004881150557075293,0.20256138651217373,0.06290420716043964,0.0012404149549909683,0.3519828323864188,6.733098591549296,0.0011908373170098172,0.13266480734323136,0.046501790930150166,0.30539195913557254,0.8846517369293828,1.1766968108291043,1.3031167282892082
1,2,nb2sig,0.0002,0.0013466197183098591,0.0015466197183098592,4.717332694083449,3.0009455506971574,4.966126879906686,0.25862854020581005,0.17753997866988588,0.5980769130078635,0.10573917265939474,0.814135956930901,0.6882519697408779,0.3879428103087151,0.09090909090909091,0.06585905567279884,0.9340986733099174,2.304441537668913,0.2300167437990075,0.3462940873358824,0.17414530572237022,0.1750985199375401,0.8248682479263875,1.201315630854536,0.36135359388765903,0.25133962210797506,0.25063550521249733,0.03236380383820756,0.9675870312130077,3.4040562099973597,0.11314461649692362,0.36779780166109904,0.1254457200125171,0.014107861120229286,0.9858314005195924,5.233152652171814,0.027927630097067908,0.32663736403262206,0.08092547455215618,0.013653190428974919,0.9862854693114017,5.322374317013956,0.02597931036245591,0.32343225635733924,0.07943212150264801,0.008702775388481769,0.9912256981516608,6.733098591549296,0.008018025061923138,0.26797356824126095,0.060732668666309865,0.43188945044921667,1.2510864843424487,1.6641005886756874,1.8428853505018536
1,2,band200_270,0.00057,0.0038378661971830985,0.004407866197183099,4.272005448240163,2.6666552212720447,4.525357743114596,0.25862854020581005,0.17753997866988588,0.5980769130078635,0.10573917265939474,0.814135956930901,0.6882519697408779,0.3879428103087151,0.09090909090909091,0.0654850729384659,0.9341739475776084,2.304441537668913,0.2300167437990075,0.3462940873358824,0.17414530572237022,0.1741662407200598,0.8255654870289593,1.201315630854536,0.36135359388765903,0.25133962210797506,0.25063550521249733,0.03218492230724218,0.9674185892487888,3.4040562099973597,0.11314461649692362,0.36779780166109904,0.1254457200125171,0.014036729356836256,0.9854735415131056,5.233152652171814,0.027927630097067908,0.32663736403262206,0.08092547455215618,0.013584706816784748,0.9859207143568357,5.322374317013956,0.02597931036245591,0.32343225635733924,0.07943212150264801,0.008662782006582371,0.9907605664698484,6.733098591549296,0.008018025061923138,0.26797356824126095,0.060732668666309865,0.43188945044921667,1.2510864843424487,1.6641005886756874,1.8428853505018536
1,2,panel,0.0106,0.07137084507042253,0.08197084507042253,2.7284601842282084,1.484158246594693,2.9903339251373686,0.25862854020581005,0.17753997866988588,0.5980769130078635,0.10573917265939474,0.814135956930901,0.6882519697408779,0.3879428103087151,0.09090909090909091,0.05186819881792032,0.8577755739587566,2.304441537668913,0.2300167437990075,0.3462940873358824,0.17414530572237022,0.1412977141397968,0.7850780228300788,1.201315630854536,0.36135359388765903,0.25133962210797506,0.25063550521249733,0.02529079498741535,0.8716170243745902,3.4040562099973597,0.11314461649692362,0.36779780166109904,0.1254457200125171,0.010944381594354723,0.8650013604044522,5.233152652171814,0.027927630097067908,0.32663736403262206,0.08092547455215618,0.010587872105045896,0.8642892925558366,5.322374317013956,0.02597931036245591,0.32343225635733924,0.07943212150264801,0.006705099302666004,0.8504464259866115,6.733098591549296,0.008018025061923138,0.26797356824126095,0.060732668666309865,0.43188945044921667,1.2510864843424487,1.6641005886756874,1.8428853505018536
2,3,nb2sig,0.0002,0.0013466197183098591,0.0015466197183098592,6.076054102029882,4.7733619510143,6.278922543711481,0.387942810308715,0.27063002049981677,0.7634413735256432,0.17668446620387576,1.0026584345382454,0.8639205861873533,0.5172570804116201,0.09090909090909091,0.37748202803397496,0.6225179185919585,2.304441537668913,0.2650300693848907,0.11970217186589303,0.151806164340473,0.7326584392685054,0.2673415403249907,1.201315630854536,0.21704986030135348,0.0452907325037074,0.17097295467234674,0.17752485295492987,0.8224750678648352,3.4040562099973597,0.19257531720706128,0.1878006586151762,0.12120198456392299,0.06125189641190687,0.9387479940064193,5.233152652171814,0.07307477575567212,0.2564014781828589,0.08492800221115246,0.05858064277016375,0.9414192462984244,5.322374317013956,0.06913580712343491,0.2582141301795264,0.08358558474897812,0.03125788213997572,0.9687419854164805,6.733098591549296,0.026993076625720824,0.2706438682346509,0.0660988349329056,0.52895438944581,1.5322617553657476,2.038098661460272,2.2570643815898364
2,3,band200_270,0.00057,0.0038378661971830985,0.004407866197183099,5.550698638873534,4.333262359970624,5.757315071906579,0.387942810308715,0.27063002049981677,0.7634413735256432,0.17668446620387576,1.0026584345382454,0.8639205861873533,0.5172570804116201,0.09090909090909091,0.3753047229645781,0.624694050100193,2.304441537668913,0.2650300693848907,0.11970217186589303,0.151806164340473,0.7307573466674355,0.26924218254921317,1.201315630854536,0.21704986030135348,0.0452907325037074,0.17097295467234674,0.1762335185300531,0.8237646648125393,3.4040562099973597,0.19257531720706128,0.1878006586151762,0.12120198456392299,0.06078247662159265,0.9392150118981784,5.233152652171814,0.07307477575567212,0.2564014781828589,0.08492800221115246,0.058132233293609184,0.9418652243521699,5.322374317013956,0.06913580712343491,0.2582141301795264,0.08358558474897812,0.031027403610604045,0.9689695617392147,6.733098591549296,0.026993076625720824,0.2706438682346509,0.0660988349329056,0.52895438944581,1.5322617553657476,2.038098661460272,2.2570643815898364
2,3,panel,0.0106,0.07137084507042253,0.08197084507042253,3.755974626291972,2.8163152851761857,3.9703860365611496,0.387942810308715,0.27063002049981677,0.7634413735256432,0.17668446620387576,1.0026584345382454,0.8639205861873533,0.5172570804116201,0.09090909090909091,0.3192192134518278,0.6742880822356792,2.304441537668913,0.2650300693848907,0.11970217186589303,0.151806164340473,0.6771301772530163,0.3201255692167344,1.201315630854536,0.21704986030135348,0.0452907325037074,0.17097295467234674,0.14429630114843361,0.846551006191296,3.4040562099973597,0.19257531720706128,0.1878006586151762,0.12120198456392299,0.049282461694863854,0.9384152564708146,5.233152652171814,0.07307477575567212,0.2564014781828589,0.08492800221115246,0.04714318968880346,0.9404119136653397,5.322374317013956,0.06913580712343491,0.2582141301795264,0.08358558474897812,0.025321896928593688,0.9599391017806906,6.733098591549296,0.026993076625720824,0.2706438682346509,0.0660988349329056,0.52895438944581,1.5322617553657476,2.038098661460272,2.2570643815898364
3,4,nb2sig,0.0002,0.0013466197183098591,0.0015466197183098592,7.23191543583021,6.142337558477925,7.407220570477592,0.5172570804116201,0.36838848298737686,0.9242072280550434,0.25476845338717174,1.1836806318026916,1.0336852028225787,0.6465713505145252,0.09090909090909091,0.8742695387822693,0.12573046119730621,2.304441537668913,0.2035821002072721,0.02758466569969472,0.12351048266137264,0.9792422615130392,0.02075773848395884,1.201315630854536,0.08691512995160311,0.005440846488955535,0.10885515917215342,0.6499982935089786,0.35000170642718137,3.4040562099973597,0.2185124014769695,0.06392839982005848,0.10929502409528026,0.2840074563109275,0.7159925435307197,5.233152652171814,0.12747048551755202,0.1341788075573402,0.08318659309107478,0.2716407784649595,0.7283592213724313,5.322374317013956,0.12265554807326681,0.13743122547576095,0.08209248168059198,0.13652335794887238,0.8634766418274608,6.733098591549296,0.06058234873674101,0.18222718480221817,0.06714319772872186,0.6107839182711451,1.7693034738587656,2.3533936216582085,2.6062334565784164
