year,cum_LUX,cum_PandaX-II,cum_XENON1T,cum_LZ,cum_XENONnT,cum_PandaX-4T,cum_all_xenon,cum_LZ_HE_track
2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.1499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.2499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.3499999999997,0.0014838709677337729,0.0,0.0,0.0,0.0,0.0,0.0014838709677337729,0.0
2013.3999999999996,0.0029677419354742934,0.0,0.0,0.0,0.0,0.0,0.0029677419354742934,0.0
2013.4499999999996,0.004451612903214814,0.0,0.0,0.0,0.0,0.0,0.004451612903214814,0.0
2013.4999999999995,0.005935483870955334,0.0,0.0,0.0,0.0,0.0,0.005935483870955334,0.0
2013.5499999999995,0.007419354838695855,0.0,0.0,0.0,0.0,0.0,0.007419354838695855,0.0
2013.5999999999995,0.008903225806436375,0.0,0.0,0.0,0.0,0.0,0.008903225806436375,0.0
2013.6499999999994,0.010387096774176896,0.0,0.0,0.0,0.0,0.0,0.010387096774176896,0.0
2013.6999999999994,0.011870967741917418,0.0,0.0,0.0,0.0,0.0,0.011870967741917418,0.0
2013.7499999999993,0.013354838709657937,0.0,0.0,0.0,0.0,0.0,0.013354838709657937,0.0
2013.7999999999993,0.014838709677398459,0.0,0.0,0.0,0.0,0.0,0.014838709677398459,0.0
2013.8499999999992,0.016322580645138977,0.0,0.0,0.0,0.0,0.0,0.016322580645138977,0.0
2013.8999999999992,0.0178064516128795,0.0,0.0,0.0,0.0,0.0,0.0178064516128795,0.0
2013.9499999999991,0.01929032258062002,0.0,0.0,0.0,0.0,0.0,0.01929032258062002,0.0
2013.999999999999,0.02077419354836054,0.0,0.0,0.0,0.0,0.0,0.02077419354836054,0.0
2014.049999999999,0.022258064516101062,0.0,0.0,0.0,0.0,0.0,0.022258064516101062,0.0
