model,window,rate,rate_per_tyr,b_per_tyr,E_3sigma,E_5sigma,mu_in_Enew,Z_asimov_Enew
L10,200-270 keV,best,0.1205125791062082,0.00020070422535211268,6.9021273562823104,19.17257598967309,2.304441537668913,4.993400810121146
L10,200-270 keV,lo68,0.03615377373186246,0.00020070422535211268,29.4383370935919,81.77315859331078,0.6913324613006739,2.4178606908725557
L10,200-400 keV,best,0.21964114337181737,0.000966,4.59901343773136,12.775037327031555,4.199977943555892,6.117240742465196
L10,200-400 keV,lo68,0.0658923430115452,0.000966,20.699395028426185,57.49831952340609,1.2599933830667673,2.883427826449102
d300,200-270 keV,best,0.0628237438999339,0.00020070422535211268,15.023441699829137,41.73178249952539,1.201315630854536,3.3845676074935223
d300,200-270 keV,lo68,0.018847123169980173,0.00020070422535211268,66.2980755211658,184.16132089212718,0.36039468925636087,1.6111554719572034
d300,200-400 keV,best,0.11233005171442956,0.000966,10.526812300989723,29.241145280527007,2.147975248883322,4.0433326430566545
d300,200-400 keV,lo68,0.03369901551432886,0.000966,49.771649395398164,138.2545816538838,0.6443925746649966,1.8595030501018364
d350,200-270 keV,best,0.17801779154886307,0.00020070422535211268,4.360905922167257,12.113627561575726,3.4040562099973597,6.282023443448078
d350,200-270 keV,lo68,0.05340533746465892,0.00020070422535211268,18.283543860397746,50.787621834438184,1.0212168629992078,3.0680167241806457
d350,200-400 keV,best,0.5159000502586217,0.000966,1.647599423751375,4.576665065976039,9.865040761045364,10.220263570141459
d350,200-400 keV,lo68,0.1547700150775865,0.000966,7.066607233400035,19.62946453722232,2.959512228313609,4.93494634110404
d366,200-270 keV,best,0.27367182575942967,0.00020070422535211268,2.641929569564899,7.338693248791384,5.233152652171814,8.070999005531233
d366,200-270 keV,lo68,0.08210154772782889,0.00020070422535211268,10.89442621145713,30.26229503182535,1.5699457956515441,3.9745295549625013
d366,200-400 keV,best,1.6343760589600012,0.000966,0.4276313816981583,1.1878649491615505,31.252538999433142,20.061025384503413
d366,200-400 keV,lo68,0.49031281768800034,0.000966,1.750195139225064,4.861653164514064,9.375761699829942,9.916186243099759
d380,200-270 keV,best,0.27833774275776363,0.00020070422535211268,2.590641716823807,7.196226991177235,5.322374317013956,8.150499672901597
d380,200-270 keV,lo68,0.08350132282732908,0.00020070422535211268,10.67644562478267,29.656793402174063,1.5967122951041868,4.014898453363539
d380,200-400 keV,best,10.493724658674452,0.000966,0.0517029191718677,0.14361921992185472,200.66100292317287,57.69396404063548
d380,200-400 keV,lo68,3.1481173976023356,0.000966,0.20155636489428447,0.5598787913730123,60.19830087695186,29.22063524303454
