Enu_MeV,sig_p,sig_n,sig_p_free,sig_n_free,sig_incoh_nucleus,sig_coh_131,incoh_over_coh,TN_keV_at_Q2max
30,1.9409472814724978e-42,2.2592235450746983e-42,1.6405819859067206e-41,1.9962779261638314e-41,2.7877136617026662e-40,1.6826663043328552e-38,0.01656724006729273,1803.1157840748813
50,8.116278509943317e-42,9.502478717677843e-42,4.2346002697094323e-41,5.183228773056862e-41,1.169969900798133e-39,3.2790795730659877e-38,0.03567982644910913,4815.693768107009
100,4.990965785779419e-41,5.939924403779234e-41,1.4061262263947033e-40,1.74845308785745e-40,7.268863315230897e-39,4.756551601312448e-38,0.15281792198417948,17570.49281718254
150,1.28440691705297e-40,1.5552141944103559e-40,2.623861979122999e-40,3.3146919476059002e-40,1.8910946649045777e-38,5.085450456449902e-38,0.3718637475872158,36340.965474467645
200,2.312190790709218e-40,2.8471174497001376e-40,3.875431927364885e-40,4.969137961238962e-40,3.440863463252084e-38,5.20508401629045e-38,0.6610581985772273,59778.58013916456
300,4.496588012168108e-40,5.707783037872305e-40,6.0971512165592915e-40,8.01954402319773e-40,6.823150465732453e-38,5.291193323454695e-38,1.2895296105487073,117014.41617607289
500,7.43537254144613e-40,9.880241582426187e-40,8.951671286177906e-40,1.2196532418440103e-39,1.1622887190849073e-37,5.335316519541503e-38,2.178481285651615,257961.7308613033
1000,9.812149319269147e-40,1.3690502907379385e-39,1.1309659141562428e-39,1.603488112699709e-39,1.5840247871087465e-37,5.598636396604314e-38,2.8293046286583095,680672.1773886149
