E_keV,F2_helm_nat,F2_wimpydd_nat
1.0,0.9529252016051905,0.9529252016051905
2.0,0.9078234296340066,0.9015056237139826
4.0,0.8232441362599454,0.8060186313839007
6.0,0.745697484938095,0.7198877094706172
8.0,0.6746571244616553,0.6422092051273531
10.0,0.6096325933968456,0.5722171956492207
12.0,0.5501670654808255,0.5090567048569773
14.0,0.4958352267658682,0.4524340224720664
16.0,0.4462412772908703,0.4014177123735955
18.0,0.4010170504347058,0.3557600516100709
20.0,0.3598202434610214,0.3147851889895428
22.0,0.32233275310167,0.2780638598731415
24.0,0.28825911034692364,0.24520439299984753
26.0,0.25732500891567495,0.21587103057576168
28.0,0.22927592216877746,0.18975450580036493
30.0,0.20387580350419668,0.16643798697782797
33.0,0.1702682789679527,0.13617830691475977
36.0,0.1414608693726299,0.11084932143521388
39.0,0.1168555990604772,0.08979402941037037
42.0,0.09592076277067449,0.07227246664391873
45.0,0.07818427477831388,0.05778663045116876
48.0,0.06322763114077017,0.045884266850555286
51.0,0.050680432548980234,0.03613413486595863
54.0,0.04021541949528392,0.02819524667835707
57.0,0.03154397536425066,0.021769201397789224
60.0,0.024412056651313362,0.01660850193253416
63.0,0.01859651283746116,0.01250352775467931
66.0,0.013901761516642679,0.00926027653063794
69.0,0.010156787204451378,0.006725854583978225
72.0,0.007212434869379558,0.004771990002856281
75.0,0.004938971637496965,0.003288551799059296
78.0,0.0032238923427854605,0.0021863561238501784
81.0,0.0019699466424383245,0.0013861496358542392
84.0,0.0010933673021355664,0.0008234050226634272
87.0,0.0005222809926453205,0.0004486098988706132
90.0,0.00019528453724042643,0.00021634888969394026
93.0,6.017101972626426e-05,9.158713668516639e-05
96.0,7.279151498399405e-05,4.655410095594118e-05
99.0,0.00019603944678520016,5.8006475288726894e-05
102.0,0.0003989457195315076,0.00010781151764633602
105.0,0.0006558738192204345,0.00018169599511064994
108.0,0.0009458050414844064,0.0002685951119788498
111.0,0.0012517048876229274,0.0003600947613355442
114.0,0.001559962479295517,0.0004501624491195924
117.0,0.0018598955846631305,0.0005341802589299151
120.0,0.0021433145285381697,0.000609597673089201
123.0,0.0024041388814196856,0.0006733224030070497
126.0,0.0026380613916798337,0.0007258919996590607
129.0,0.0028422541458242795,0.0007661484554791672
132.0,0.0030151124175534353,0.0007940176397530442
135.0,0.0031560321008936515,0.0008104054441521418
138.0,0.0032652170192685034,0.000816203523732356
141.0,0.003343512764109588,0.0008122140129299413
144.0,0.0033922640463011624,0.0007995335912742626
147.0,0.003413192844034187,0.0007801392903689152
150.0,0.0034082949039335817,0.000753965492863261
153.0,0.003379752400851729,0.000722164002847451
156.0,0.003329860787553649,0.0006869700070132823
159.0,0.003260968070556099,0.0006484347582183424
162.0,0.003175424934378009,0.0006071010182112013
165.0,0.0030755443050286425,0.0005652133478387778
168.0,0.002963569096191728,0.0005227296086612293
171.0,0.0028416470196289327,0.0004802328870490544
174.0,0.002711811466086375,0.000438276246904293
177.0,0.00257596757560365,0.0003968589832817686
180.0,0.0024358827176635426,0.0003573298708527835
183.0,0.0022931806930627957,0.00031919343951450997
186.0,0.0021493390516310012,0.0002833764982546415
189.0,0.002005688993802896,0.00024980864783068554
192.0,0.0018634173903181125,0.00021843024669064839
195.0,0.0017235705136776818,0.00018942710909686591
198.0,0.0015870591280663152,0.00016306117225306223
201.0,0.0014546646318378599,0.00013897292739911221
204.0,0.0013270459888935183,0.00011712945969544818
207.0,0.0012047472228474943,9.760724000557263e-05
210.0,0.0010882052812204136,8.039133910032415e-05
213.0,0.0009777581064355416,6.527131650371972e-05
216.0,0.0008736527764901201,5.2118703307110566e-05
219.0,0.0007760536011740836,4.0965831754305294e-05
222.0,0.0006850500799217436,3.145126634650878e-05
225.0,0.0006006646450911635,2.358962222827984e-05
228.0,0.0005228601299284739,1.7182124362687936e-05
231.0,0.000451546913924017,1.2158494256964996e-05
234.0,0.00038658970991680054,8.303110737676087e-06
237.0,0.000327813967346059,5.52284928433077e-06
240.0,0.0002750118746589062,3.6983562087986936e-06
243.0,0.0002279479512194898,2.703161078740889e-06
246.0,0.00018636422527134125,2.4133798630512188e-06
249.0,0.00014998499971021322,2.7377531573995942e-06
252.0,0.0001185212117468575,3.5603175943680537e-06
255.0,9.167439608333638e-05,4.806297711365694e-06
258.0,6.914026408764397e-05,6.372294747599911e-06
261.0,5.061191371521227e-05,8.203680130714358e-06
264.0,3.578268666882253e-05,1.0205106582438833e-05
267.0,2.434869057953907e-05,1.234269024313434e-05
270.0,1.6011004891948012e-05,1.4530368548113655e-05
273.0,1.0477589702267155e-05,1.6751473578407344e-05
276.0,7.464917076819166e-06,1.8948662278065233e-05
279.0,6.699344414548237e-06,2.1064587376360116e-05
282.0,7.918249249431849e-06,2.3109580290764122e-05
285.0,1.08709445510873e-05,2.5046337879166364e-05
288.0,1.531939310486823e-05,2.6826226093422034e-05
291.0,2.1038738962972696e-05,2.8471897959019095e-05
294.0,2.7817673278917937e-05,2.9934168685102008e-05
297.0,3.54586510896631e-05,3.1232806294339334e-05
300.0,4.37779748105043e-05,3.238448356117246e-05
303.0,5.260575937305784e-05,3.328074893622873e-05
306.0,6.178579307957534e-05,3.404016674722812e-05
309.0,7.11753073788649e-05,3.467698514812179e-05
312.0,8.064466790003504e-05,3.503402675133377e-05
315.0,9.00769982183276e-05,3.5289270424187994e-05
318.0,9.936774697933803e-05,3.539800746878535e-05
321.0,0.00010842420817971891,3.532810961771114e-05
324.0,0.00011716500359855745,3.506094853833229e-05
327.0,0.00012551953559786116,3.475674113889088e-05
