model,N_lo_per_hi,frac_200_270
SM CEvNS (heavy mediator / rescaled),1625.810421161816,0.0005934975368297588
"nu magnetic moment (nuclear, Z^2/E_R)",20104.96498385046,4.545225554559026e-05
vector Z' m=10 MeV,522568.1966003793,1.593204391245654e-06
vector Z' m=30 MeV,297019.0182768137,2.9713253080605647e-06
vector Z' m=100 MeV,33204.095537569956,2.8540595535834078e-05
vector Z' m=246 MeV,4951.566401588813,0.00019422126543599212
vector Z' m=1000 MeV,1785.8345253513442,0.0005402139131350853
scalar m=30 MeV,123899.18168777306,7.286836042020402e-06
scalar m=246 MeV,2348.7643081125516,0.0004138640918034917
scalar m=1000 MeV,862.4885820468343,0.001129589102320493
scalar m=100000 MeV,786.3719905506412,0.001239048049495307
dipole HNL m4=0 MeV,20104.96498385059,4.545225554558997e-05
dipole HNL m4=0.3 MeV,20104.51389030281,4.545336495398048e-05
dipole HNL m4=10 MeV,19619.059070138625,4.6674072536313545e-05
dipole HNL m4=50 MeV,12556.485014031863,7.467702209300524e-05
dipole HNL m4=100 MeV,4970.037150784748,0.00019301944236144953
dipole HNL m4=200 MeV,1621.4874898430926,0.0005956008534115994
dipole HNL m4=230 MeV,1368.895216030505,0.0007060051550538978
dipole HNL m4=240 MeV,1306.0324610624361,0.0007401422842262709
dipole HNL m4=245 MeV,1277.5776732723432,0.0007567042460453437
