model,pred_top,pred_mid,pred_bot,obs_top_green,obs_top_minus_B8,obs_mid_green,obs_bot_green,mid_ratio_obs_over_pred,bot_ratio_obs_over_pred
"central (g1=1, Eb=100, g2=2.5)|helm",0.10918245972889125,0.000521651547233932,1.1297031486621316e-05,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,1.5667881989224783,2.9859989842167574
"central (g1=1, Eb=100, g2=2.5)|wimpydd",0.10957546979621986,0.00010899926789731863,4.946160719071291e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,7.498375942540458,68.2002192400448
"soft high-E (g1=1, Eb=100, g2=3)|helm",0.1093014922414811,0.0003918261114845103,7.731565402913065e-06,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,2.08591889156955,4.363013540699821
"soft high-E (g1=1, Eb=100, g2=3)|wimpydd",0.10958731357868583,8.253200348179305e-05,3.349402770133998e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,9.903037048362465,100.71325205946025
"hard high-E (g1=1, Eb=100, g2=2)|helm",0.10899435889381101,0.0007241333960839011,1.7157732128512294e-05,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,1.128683599701123,1.9660479771484156
"hard high-E (g1=1, Eb=100, g2=2)|wimpydd",0.10955483241570818,0.0001503341821995396,7.605265714106326e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,5.436670996559821,44.35469556461097
"Honda-like (g1=1.5, Eb=1000, g2=2.7)|helm",0.10883345922430367,0.0008656765127430981,2.1710228357205e-05,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,0.9441373031664164,1.5537802729984178
"Honda-like (g1=1.5, Eb=1000, g2=2.7)|wimpydd",0.10950952254970338,0.00017857346493246168,9.678908155438169e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,4.5769257401422685,34.85199363604135
"steep low-E (g1=2, Eb=100, g2=2.5)|helm",0.10920174609759417,0.00037537864996303933,8.127827712004453e-06,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,2.177314794638032,4.150300146482422
"steep low-E (g1=2, Eb=100, g2=2.5)|wimpydd",0.10946800857879287,7.755787690069263e-05,3.518523267111795e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,10.53816221919398,95.87239299800308
"low break (g1=1, Eb=50, g2=2.5)|helm",0.1092909719908589,0.0003435025549827424,7.436932906831042e-06,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,2.3793636358740873,4.535865116213606
"low break (g1=1, Eb=50, g2=2.5)|wimpydd",0.10953665640712607,7.097963753730356e-05,3.219667366499038e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,11.514816312301297,104.77145836464487
"high break (g1=1, Eb=150, g2=2.5)|helm",0.10902013329735977,0.0007024274757229268,1.5832536572646476e-05,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,1.163561387336973,2.1306077133588057
"high break (g1=1, Eb=150, g2=2.5)|wimpydd",0.10956161500918517,0.00014660666827654115,6.977994307280618e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,5.57489981706758,48.34186308882498
single power law E^-2 above 10 MeV|helm,0.10905568446368777,0.0005512968820567819,1.3061140772146443e-05,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,1.4825360250660646,2.582693589495121
single power law E^-2 above 10 MeV|wimpydd,0.10946796015759937,0.0001132143291932713,5.726555652892076e-07,0.17564627942666683,0.11864627942666683,0.0008173174881557766,3.3732924543715974e-05,7.219205324800462,58.90613239160589
