E_keV,"central (g1=1, Eb=100, g2=2.5)|helm","central (g1=1, Eb=100, g2=2.5)|wimpydd","soft high-E (g1=1, Eb=100, g2=3)|helm","soft high-E (g1=1, Eb=100, g2=3)|wimpydd","hard high-E (g1=1, Eb=100, g2=2)|helm","hard high-E (g1=1, Eb=100, g2=2)|wimpydd","Honda-like (g1=1.5, Eb=1000, g2=2.7)|helm","Honda-like (g1=1.5, Eb=1000, g2=2.7)|wimpydd","steep low-E (g1=2, Eb=100, g2=2.5)|helm","steep low-E (g1=2, Eb=100, g2=2.5)|wimpydd","low break (g1=1, Eb=50, g2=2.5)|helm","low break (g1=1, Eb=50, g2=2.5)|wimpydd","high break (g1=1, Eb=150, g2=2.5)|helm","high break (g1=1, Eb=150, g2=2.5)|wimpydd",single power law E^-2 above 10 MeV|helm,single power law E^-2 above 10 MeV|wimpydd
0.5,0.0061559597803148005,0.006935845084236571,0.00660853628630829,0.007419761776618628,0.005521240044314952,0.006252924016981804,0.006584707253050915,0.007467480919828421,0.013596771405341941,0.015146819842908688,0.008650753839402801,0.009637642716076946,0.005426908187516794,0.006147095902995035,0.012005514500705269,0.01344885048284022
1.0,0.005683780180195494,0.006403846066173329,0.0060800402919550444,0.00682639068684758,0.005127590373304467,0.0058071072326395,0.005973860844595113,0.00677474186176689,0.011705481842401878,0.013039920975036885,0.007846452093465087,0.008741585215520474,0.0050460748984897715,0.005715723440109621,0.01038536312009127,0.011633920045984321
1.5,0.005230281141465218,0.005872886046637864,0.005572632096648215,0.00623545263126852,0.004749266818355541,0.0053603854670833204,0.005388058614686862,0.006089657834169117,0.009896054960190087,0.010986786671957158,0.007075138318157046,0.007855516267088098,0.004680014371722464,0.0052830853972595,0.008835110417146146,0.009863687391219844
2.0,0.004817462191901728,0.005390002650796477,0.005111411751570791,0.005698920558910785,0.0044039597030753035,0.0049528698036509266,0.004865049993652856,0.0054788828028013315,0.008322917696900401,0.009207215688530489,0.006377814068448106,0.007055954561535846,0.004345677211075373,0.004888121950293585,0.007486155901661675,0.008327800430674014
2.5,0.004481556242966996,0.004997808484203016,0.004737715768173857,0.0052650297963950715,0.00412080861334213,0.004619299432171893,0.004463831768910743,0.005010633260443854,0.007215206822229117,0.00795575859355271,0.005821982372976002,0.0064199981427481515,0.004070985753239856,0.004564195571092925,0.0065335313827186246,0.007244351567207323
3.0,0.0041982527008782525,0.00466578850565868,0.004423816381906405,0.004899306813586496,0.0038802527462926642,0.004334703528509639,0.004140767700226032,0.004632030167152336,0.0063874872668410205,0.00701889221773819,0.005362414841202837,0.005892914480951962,0.0038371933060300394,0.004287301785969067,0.005819420483075955,0.006430385199130299
3.5,0.0039523460446035975,0.004376598995367449,0.004152372241968852,0.004582042844598172,0.003670055413446712,0.004085049539314976,0.00387022702672617,0.004313723210212861,0.005737277066829348,0.006281591223577518,0.004970835784146298,0.005442826215480184,0.003632571833771567,0.004043988477358351,0.005256597318408812,0.00578745039518193
4.0,0.003734622900024244,0.004119711476101127,0.003912877384793484,0.004301276452064891,0.003482800039561872,0.0038618152894327215,0.003637426449945298,0.0040387624077497805,0.005208263175356013,0.005680610598790761,0.004630126029763891,0.00505040394149266,0.0034500123988558183,0.0038260849213586842,0.0047971301144838,0.005261412129005453
4.5,0.0035390487246114,0.003891313686193288,0.003698451983068082,0.004052385534205723,0.003313627162477315,0.0036623196965211444,0.0034330862084945807,0.0037995174910533027,0.004766541674374399,0.00518197301712483,0.004329084605320307,0.0047067272325674,0.00328485655200222,0.0036311150735772795,0.004412159420284425,0.004823493233842314
5.0,0.0033614382047330318,0.0036834080757745984,0.003504325620290751,0.0038265750026944627,0.0031591649143749502,0.0034796848569767706,0.003251007707297834,0.003585723047077287,0.004390287288560549,0.0047566335811315115,0.004059953059630745,0.004399050766853845,0.0031338714231480703,0.0034523894614152074,0.004083105904082152,0.004448525932922609
