m_GeV,epoch,delta_keV,N_std,spread_gaia_dex,spread_shape_dex,spread_single_dex,spread_envelope_dex,spread_envelope_plus_rho_dex,lr_std,lr_vesc500,lr_vesc528,lr_vesc560,lr_vesc600,lr_v0_220,lr_v0_250,lr_king1,lr_king2,lr_king3,lr_shmpp,lr_shmpp_iso,lr_shmpp_evans,lr_env_low,lr_env_high
1000,june16,367.5,2.134,2.01,5.478,inf,inf,inf,0,-inf,-0.7963,0.6567,1.532,-1.281,0.7288,-0.8351,-3.149,-5.478,-0.09691,0.3383,-1.264,-inf,1.929
1000,june16,370,1.407,2.052,5.521,inf,inf,inf,0,-inf,-0.7962,0.6911,1.633,-1.292,0.7531,-0.8372,-3.166,-5.521,-0.09691,0.3385,-1.299,-inf,2.041
1000,june16,372.5,0.9422,2.137,5.577,inf,inf,inf,0,-inf,-0.8159,0.7143,1.724,-1.329,0.7674,-0.8408,-3.19,-5.577,-0.09691,0.3388,-1.37,-inf,2.144
1000,june16,375,0.6354,2.259,5.651,inf,inf,inf,0,-inf,-0.8638,0.7257,1.809,-1.402,0.7706,-0.848,-3.226,-5.651,-0.09691,0.3392,-1.488,-inf,2.241
1000,june16,377.5,0.4365,2.452,5.749,inf,inf,inf,0,-inf,-0.9547,0.7246,1.881,-1.524,0.7637,-0.8658,-3.28,-5.749,-0.09691,0.3403,-1.689,-inf,2.327
1000,june16,380,0.3029,2.785,5.874,inf,inf,inf,0,-inf,-1.1,0.7178,1.945,-1.724,0.7554,-0.8963,-3.356,-5.874,-0.09691,0.3421,-2.03,-inf,2.405
1000,june16,382.5,0.2074,3.405,6.025,inf,inf,inf,0,-inf,-1.333,0.7182,2.012,-2.056,0.7576,-0.9382,-3.451,-6.025,-0.09691,0.3442,-2.647,-inf,2.487
1000,june16,385,0.1374,4.642,6.191,inf,inf,inf,0,-inf,-1.696,0.734,2.088,-2.602,0.7784,-0.988,-3.559,-6.191,-0.09691,0.3465,-3.864,-inf,2.579
1000,june16,387.5,0.0862,7.927,6.384,inf,inf,inf,0,-inf,-2.358,0.7824,2.183,-3.749,0.8308,-1.046,-3.684,-6.384,-0.09691,0.3488,-7.097,-inf,2.69
1000,june16,390,0.05043,inf,6.599,inf,inf,inf,0,-inf,-3.732,0.8659,2.304,-6.335,0.9133,-1.112,-3.823,-6.599,-0.09691,0.351,-inf,-inf,2.83
1000,june16,392.5,0.02718,inf,6.852,inf,inf,inf,0,-inf,-7.244,0.9888,2.455,-inf,1.027,-1.191,-3.989,-6.852,-0.09691,0.3532,-inf,-inf,2.999
1000,june16,395,0.01272,inf,7.156,inf,inf,inf,0,-inf,-inf,1.167,2.664,-inf,1.186,-1.289,-4.191,-7.156,-0.09691,0.3555,-inf,-inf,3.228
1000,june16,397.5,0.004705,inf,7.526,inf,inf,inf,0,-inf,-inf,1.436,2.968,-inf,1.424,-1.413,-4.44,-7.526,-0.09691,0.3577,-inf,-inf,3.552
1000,june16,400,0.00116,inf,7.988,inf,inf,inf,0,-inf,-inf,1.86,3.444,-inf,1.808,-1.571,-4.753,-7.988,-0.09691,0.3596,-inf,-inf,4.048
1000,june16,405,2.874e-06,inf,9.3,inf,inf,inf,0,-inf,-inf,4.005,5.777,-inf,3.833,-2.034,-5.652,-9.3,-0.09691,0.3625,-inf,-inf,6.418
1000,annual,100,7.181e+06,0.2246,0.8308,0.9091,1.293,1.514,0,-0.02121,-0.006348,0.005103,0.01368,-0.1462,0.07838,-0.03593,-0.4645,-0.8308,-0.02903,0.06893,-0.07435,-1.198,0.0942
