m_GeV,delta_keV,epoch,halo,family,N_unit,N_std,ratio,log10_ratio,c2_one_event,log10_c2_shift
4000,300,june16,std,std,8976.7,8976.7,1,0,0.0001114,-0
4000,300,june16,vesc500,vesc,4788.3,8976.7,0.53342,-0.27293,0.00020884,0.27293
4000,300,june16,vesc528,vesc,7547.3,8976.7,0.84078,-0.07532,0.0001325,0.07532
4000,300,june16,vesc560,vesc,10260,8976.7,1.143,0.058036,9.7465e-05,-0.058036
4000,300,june16,vesc600,vesc,12875,8976.7,1.4342,0.15662,7.7672e-05,-0.15662
4000,300,june16,v0_220,v0,3475.8,8976.7,0.3872,-0.41206,0.00028771,0.41206
4000,300,june16,v0_250,v0,14920,8976.7,1.6621,0.22065,6.7025e-05,-0.22065
4000,300,june16,king1,king,4965.4,8976.7,0.55314,-0.25716,0.0002014,0.25716
4000,300,june16,king2,king,164.24,8976.7,0.018296,-1.7376,0.0060887,1.7376
4000,300,june16,king3,king,5.1992,8976.7,0.00057919,-3.2372,0.19234,3.2372
4000,300,june16,shmpp,shmpp,7195.7,8976.7,0.8016,-0.096043,0.00013897,0.096043
4000,300,june16,shmpp_iso,shmpp,15615,8976.7,1.7395,0.24043,6.404e-05,-0.24043
4000,300,june16,shmpp_evans,shmpp,4717.2,8976.7,0.5255,-0.27943,0.00021199,0.27943
4000,300,june16,env_low,env,0.086589,8976.7,9.646e-06,-5.0157,11.549,5.0157
4000,300,june16,env_high,env,21185,8976.7,2.36,0.37291,4.7203e-05,-0.37291
4000,300,annual,std,std,6691.6,6691.6,1,0,0.00014944,-0
4000,300,annual,vesc500,vesc,3066.3,6691.6,0.45823,-0.33892,0.00032612,0.33892
4000,300,annual,vesc528,vesc,5409.5,6691.6,0.8084,-0.092373,0.00018486,0.092373
4000,300,annual,vesc560,vesc,7862.2,6691.6,1.1749,0.070009,0.00012719,-0.070009
4000,300,annual,vesc600,vesc,10246,6691.6,1.5311,0.18501,9.7602e-05,-0.18501
4000,300,annual,v0_220,v0,2444.6,6691.6,0.36532,-0.43733,0.00040907,0.43733
4000,300,annual,v0_250,v0,11465,6691.6,1.7133,0.23383,8.7224e-05,-0.23383
4000,300,annual,king1,king,3431.7,6691.6,0.51284,-0.29002,0.0002914,0.29002
4000,300,annual,king2,king,97.361,6691.6,0.01455,-1.8371,0.010271,1.8371
4000,300,annual,king3,king,2.6851,6691.6,0.00040126,-3.3966,0.37243,3.3966
4000,300,annual,shmpp,shmpp,5366.5,6691.6,0.80197,-0.095844,0.00018634,0.095844
4000,300,annual,shmpp_iso,shmpp,11968,6691.6,1.7885,0.25248,8.3557e-05,-0.25248
4000,300,annual,shmpp_evans,shmpp,3320.2,6691.6,0.49617,-0.30437,0.00030119,0.30437
4000,300,annual,env_low,env,0.033192,6691.6,4.9602e-06,-5.3045,30.128,5.3045
4000,300,annual,env_high,env,17157,6691.6,2.5639,0.4089,5.8287e-05,-0.4089
4000,350,june16,std,std,701.08,701.08,1,0,0.0014264,-0
4000,350,june16,vesc500,vesc,48.016,701.08,0.068488,-1.1644,0.020827,1.1644
4000,350,june16,vesc528,vesc,366.52,701.08,0.52279,-0.28168,0.0027284,0.28168
4000,350,june16,vesc560,vesc,1107.2,701.08,1.5792,0.19844,0.00090322,-0.19844
4000,350,june16,vesc600,vesc,2160.6,701.08,3.0818,0.48881,0.00046283,-0.48881
4000,350,june16,v0_220,v0,142.46,701.08,0.20321,-0.69206,0.0070193,0.69206
4000,350,june16,v0_250,v0,1598.1,701.08,2.2795,0.35785,0.00062573,-0.35785
4000,350,june16,king1,king,208.32,701.08,0.29713,-0.52705,0.0048004,0.52705
4000,350,june16,king2,king,2.2673,701.08,0.0032341,-2.4903,0.44105,2.4903
4000,350,june16,king3,king,0.023184,701.08,3.3069e-05,-4.4806,43.133,4.4806
4000,350,june16,shmpp,shmpp,560.88,701.08,0.80001,-0.096902,0.0017829,0.096902
4000,350,june16,shmpp_iso,shmpp,1423.2,701.08,2.03,0.3075,0.00070265,-0.3075
4000,350,june16,shmpp_evans,shmpp,184.37,701.08,0.26297,-0.58009,0.005424,0.58009
4000,350,june16,env_low,env,1.1096e-06,701.08,1.5826e-09,-8.8006,9.0126e+05,8.8006
4000,350,june16,env_high,env,4145.1,701.08,5.9125,0.77177,0.00024125,-0.77177
4000,350,annual,std,std,381.37,381.37,1,0,0.0026222,-0
4000,350,annual,vesc500,vesc,15.629,381.37,0.040982,-1.3874,0.063983,1.3874
4000,350,annual,vesc528,vesc,171.92,381.37,0.4508,-0.34601,0.0058166,0.34601
4000,350,annual,vesc560,vesc,670.72,381.37,1.7587,0.2452,0.0014909,-0.2452
4000,350,annual,vesc600,vesc,1532.2,381.37,4.0176,0.60397,0.00065267,-0.60397
4000,350,annual,v0_220,v0,65.429,381.37,0.17157,-0.76557,0.015284,0.76557
4000,350,annual,v0_250,v0,948.13,381.37,2.4861,0.39552,0.0010547,-0.39552
4000,350,annual,king1,king,101.13,381.37,0.26518,-0.57645,0.009888,0.57645
4000,350,annual,king2,king,0.96336,381.37,0.0025261,-2.5976,1.038,2.5976
4000,350,annual,king3,king,0.0088186,381.37,2.3124e-05,-4.6359,113.4,4.6359
4000,350,annual,shmpp,shmpp,305.1,381.37,0.80002,-0.096899,0.0032776,0.096899
