m_GeV,delta_keV,epoch,halo,family,N_unit,N_std,ratio,log10_ratio,c2_one_event,log10_c2_shift
400,350,annual,king3,king,8.9698e-15,9.9625e-05,9.0035e-11,-10.046,1.1149e+14,10.046
400,350,annual,shmpp,shmpp,7.97e-05,9.9625e-05,0.8,-0.09691,12547,0.09691
400,350,annual,shmpp_iso,shmpp,0.00022983,9.9625e-05,2.307,0.36304,4351,-0.36304
400,350,annual,shmpp_evans,shmpp,0,9.9625e-05,0,-inf,inf,inf
400,350,annual,env_low,env,0,9.9625e-05,0,-inf,inf,inf
400,350,annual,env_high,env,1566,9.9625e-05,1.5719e+07,7.1964,0.00063857,-7.1964
400,380,june16,std,std,0,0,,,inf,
400,380,june16,vesc500,vesc,0,0,,,inf,
400,380,june16,vesc528,vesc,0,0,,,inf,
400,380,june16,vesc560,vesc,0,0,,,inf,
400,380,june16,vesc600,vesc,4.2536,0,,,0.2351,
400,380,june16,v0_220,v0,0,0,,,inf,
400,380,june16,v0_250,v0,0,0,,,inf,
400,380,june16,king1,king,0,0,,,inf,
400,380,june16,king2,king,0,0,,,inf,
400,380,june16,king3,king,0,0,,,inf,
400,380,june16,shmpp,shmpp,0,0,,,inf,
400,380,june16,shmpp_iso,shmpp,0,0,,,inf,
400,380,june16,shmpp_evans,shmpp,0,0,,,inf,
400,380,june16,env_low,env,0,0,,,inf,
400,380,june16,env_high,env,68.001,0,,,0.014706,
400,380,annual,std,std,0,0,,,inf,
400,380,annual,vesc500,vesc,0,0,,,inf,
400,380,annual,vesc528,vesc,0,0,,,inf,
400,380,annual,vesc560,vesc,0,0,,,inf,
400,380,annual,vesc600,vesc,1.0164,0,,,0.98389,
400,380,annual,v0_220,v0,0,0,,,inf,
400,380,annual,v0_250,v0,0,0,,,inf,
400,380,annual,king1,king,0,0,,,inf,
400,380,annual,king2,king,0,0,,,inf,
400,380,annual,king3,king,0,0,,,inf,
400,380,annual,shmpp,shmpp,0,0,,,inf,
400,380,annual,shmpp_iso,shmpp,0,0,,,inf,
400,380,annual,shmpp_evans,shmpp,0,0,,,inf,
