m_GeV,epoch,delta_max_248_june,delta_x3_gaia,delta_x10_gaia,delta_x100_gaia,delta_x3_shape,delta_x10_shape,delta_x100_shape,delta_x3_single,delta_x10_single,delta_x100_single,delta_x3_envelope,delta_x10_envelope,delta_x100_envelope,delta_x10_envelope_rho
400,june16,341.1,167.5,290.8,315,-100,105.3,160.3,-100,100.6,151.5,-100,-100,122.1,-100
400,annual,341.1,162.4,283.6,312.4,-100,100.8,154.1,-100,-100,145.9,-100,-100,117.3,-100
1000,june16,386.6,188.4,324,366.7,-100,115.5,189.2,-100,110,173.2,-100,-100,135.5,-100
1000,annual,386.6,181.7,317.1,361,-100,110.5,179,-100,105.3,166.1,-100,-100,130,-100
4000,june16,409.4,206,342.6,400.3,-100,121.5,214.5,-100,115.5,193.2,-100,-100,143.9,-100
4000,annual,409.4,196.4,335.2,396.8,-100,116.2,202.7,-100,110.4,182.5,-100,-100,138,-100
