v0_kms,v_sun_kms,m_GeV,delta_max_june_keV,delta_max_mean_keV
220.0,232.5797497633876,400.0,326.3165199170412,314.34469780652034
220.0,232.5797497633876,1000.0,371.8444079833918,359.87258587287096
220.0,232.5797497633876,4000.0,394.60835201656715,382.6365299060463
238.0,250.55246955478208,400.0,341.0872248036917,329.1154026931708
238.0,250.55246955478208,1000.0,386.6151128700423,374.6432907595214
238.0,250.55246955478208,4000.0,409.37905690321764,397.4072347926967
250.0,262.5363593866571,400.0,350.9360680592077,338.9642459486869
250.0,262.5363593866571,1000.0,396.4639561255583,384.4921340150375
250.0,262.5363593866571,4000.0,419.22790015873363,407.2560780482128
