m_GeV,delta_keV,epoch,N_std,spread_gaia_dex,min_gaia,max_gaia,spread_shape_dex,min_shape,max_shape,spread_single_dex,min_single,max_single,spread_envelope_dex,min_envelope,max_envelope,spread_envelope_plus_rho_dex
400,250,june16,1.186e+05,0.6656,-0.428,0.2376,3.278,-3.278,0,3.516,-3.278,0.2376,5.625,-5.15,0.475,5.847
400,250,annual,8.652e+04,0.6927,-0.4465,0.2461,3.433,-3.433,0,3.684,-3.433,0.2516,5.956,-5.455,0.5007,6.178
400,300,june16,7738,1.149,-0.7725,0.3763,4.786,-4.786,0,5.296,-4.786,0.5096,inf,-inf,0.7934,inf
400,300,annual,3893,1.317,-0.8862,0.4307,4.959,-4.959,0,5.618,-4.959,0.6589,inf,-inf,0.9588,inf
400,350,june16,0.0006072,inf,-inf,4.027,10.04,-10.04,0,inf,-inf,6.214,inf,-inf,6.713,inf
400,350,annual,9.963e-05,inf,-inf,4.16,10.05,-10.05,0,inf,-inf,6.634,inf,-inf,7.196,inf
400,380,june16,0,,,,,,,,,,,,,
400,380,annual,0,,,,,,,,,,,,,
1000,250,june16,1.329e+05,0.5577,-0.3576,0.2001,2.628,-2.628,0,2.828,-2.628,0.2001,4.222,-3.857,0.3654,4.444
1000,250,annual,1.035e+05,0.5731,-0.368,0.2051,2.756,-2.756,0,2.962,-2.756,0.2051,4.445,-4.064,0.3805,4.667
1000,300,june16,1.917e+04,0.7238,-0.4728,0.251,3.655,-3.655,0,3.906,-3.655,0.251,6.514,-6.062,0.4522,6.736
1000,300,annual,1.335e+04,0.7803,-0.5103,0.2699,3.826,-3.826,0,4.095,-3.826,0.2699,6.924,-6.416,0.508,7.145
1000,350,june16,613.6,1.52,-1.031,0.4888,5.187,-5.187,0,6.011,-5.187,0.8243,inf,-inf,1.146,inf
1000,350,annual,253.3,1.694,-1.142,0.5516,5.317,-5.317,0,6.339,-5.317,1.022,inf,-inf,1.367,inf
1000,380,june16,2.428,3.588,-2.428,1.161,6.284,-6.284,0,inf,-inf,2.383,inf,-inf,2.822,inf
1000,380,annual,0.6155,3.805,-2.561,1.244,6.313,-6.313,0,inf,-inf,2.681,inf,-inf,3.162,inf
4000,250,june16,5.167e+04,0.5142,-0.3294,0.1848,2.347,-2.347,0,2.532,-2.347,0.1848,3.718,-3.393,0.3249,3.939
4000,250,annual,4.112e+04,0.5272,-0.3382,0.189,2.466,-2.466,0,2.655,-2.466,0.189,3.911,-3.573,0.3373,4.133
4000,300,june16,8977,0.6327,-0.4121,0.2206,3.237,-3.237,0,3.458,-3.237,0.2206,5.389,-5.016,0.3729,5.61
4000,300,annual,6692,0.6712,-0.4373,0.2338,3.397,-3.397,0,3.63,-3.397,0.2338,5.713,-5.304,0.4089,5.935
4000,350,june16,701.1,1.05,-0.6921,0.3578,4.481,-4.481,0,4.969,-4.481,0.4888,9.572,-8.801,0.7718,9.794
4000,350,annual,381.4,1.161,-0.7656,0.3955,4.636,-4.636,0,5.24,-4.636,0.604,10.06,-9.156,0.903,10.28
4000,380,june16,36.99,1.883,-1.293,0.5906,5.449,-5.449,0,6.562,-5.449,1.113,24.03,-22.56,1.47,24.25
4000,380,annual,13.38,2.061,-1.406,0.6552,5.542,-5.542,0,6.879,-5.542,1.336,24.52,-22.8,1.72,24.74
