epoch,v_E_kms,m_GeV,v_esc_kms,v_max_kms,delta_max_keV
june16,265.11956068793955,400.0,500.0,765.1195606879396,304.92625292208464
june16,265.11956068793955,400.0,505.0,770.1195606879396,309.03545427226726
june16,265.11956068793955,400.0,510.0,775.1195606879396,313.1446556224498
june16,265.11956068793955,400.0,515.0,780.1195606879396,317.25385697263243
june16,265.11956068793955,400.0,520.0,785.1195606879396,321.3630583228151
june16,265.11956068793955,400.0,525.0,790.1195606879396,325.4722596729976
june16,265.11956068793955,400.0,530.0,795.1195606879396,329.58146102318034
june16,265.11956068793955,400.0,535.0,800.1195606879396,333.6906623733629
june16,265.11956068793955,400.0,540.0,805.1195606879396,337.7998637235456
june16,265.11956068793955,400.0,545.0,810.1195606879396,341.9090650737281
june16,265.11956068793955,400.0,550.0,815.1195606879396,346.0182664239108
june16,265.11956068793955,400.0,555.0,820.1195606879396,350.12746777409336
june16,265.11956068793955,400.0,560.0,825.1195606879396,354.2366691242761
june16,265.11956068793955,400.0,565.0,830.1195606879396,358.34587047445854
june16,265.11956068793955,400.0,570.0,835.1195606879396,362.45507182464127
june16,265.11956068793955,400.0,575.0,840.1195606879396,366.5642731748238
june16,265.11956068793955,400.0,580.0,845.1195606879396,370.67347452500655
june16,265.11956068793955,400.0,585.0,850.1195606879396,374.78267587518906
june16,265.11956068793955,400.0,590.0,855.1195606879396,378.89187722537173
june16,265.11956068793955,400.0,595.0,860.1195606879396,383.00107857555435
june16,265.11956068793955,400.0,600.0,865.1195606879396,387.1102799257369
june16,265.11956068793955,1000.0,500.0,765.1195606879396,350.45414098843526
june16,265.11956068793955,1000.0,505.0,770.1195606879396,354.5633423386179
june16,265.11956068793955,1000.0,510.0,775.1195606879396,358.67254368880043
june16,265.11956068793955,1000.0,515.0,780.1195606879396,362.78174503898305
june16,265.11956068793955,1000.0,520.0,785.1195606879396,366.8909463891657
june16,265.11956068793955,1000.0,525.0,790.1195606879396,371.0001477393482
june16,265.11956068793955,1000.0,530.0,795.1195606879396,375.10934908953095
june16,265.11956068793955,1000.0,535.0,800.1195606879396,379.2185504397135
june16,265.11956068793955,1000.0,540.0,805.1195606879396,383.32775178989624
june16,265.11956068793955,1000.0,545.0,810.1195606879396,387.4369531400787
june16,265.11956068793955,1000.0,550.0,815.1195606879396,391.5461544902614
june16,265.11956068793955,1000.0,555.0,820.1195606879396,395.655355840444
june16,265.11956068793955,1000.0,560.0,825.1195606879396,399.7645571906267
june16,265.11956068793955,1000.0,565.0,830.1195606879396,403.87375854080915
june16,265.11956068793955,1000.0,570.0,835.1195606879396,407.9829598909919
june16,265.11956068793955,1000.0,575.0,840.1195606879396,412.09216124117444
june16,265.11956068793955,1000.0,580.0,845.1195606879396,416.20136259135717
june16,265.11956068793955,1000.0,585.0,850.1195606879396,420.31056394153967
june16,265.11956068793955,1000.0,590.0,855.1195606879396,424.41976529172234
june16,265.11956068793955,1000.0,595.0,860.1195606879396,428.52896664190496
june16,265.11956068793955,1000.0,600.0,865.1195606879396,432.6381679920875
june16,265.11956068793955,4000.0,500.0,765.1195606879396,373.2180850216106
june16,265.11956068793955,4000.0,505.0,770.1195606879396,377.3272863717932
june16,265.11956068793955,4000.0,510.0,775.1195606879396,381.43648772197577
june16,265.11956068793955,4000.0,515.0,780.1195606879396,385.5456890721584
june16,265.11956068793955,4000.0,520.0,785.1195606879396,389.65489042234105
june16,265.11956068793955,4000.0,525.0,790.1195606879396,393.76409177252356
june16,265.11956068793955,4000.0,530.0,795.1195606879396,397.8732931227063
june16,265.11956068793955,4000.0,535.0,800.1195606879396,401.98249447288885
june16,265.11956068793955,4000.0,540.0,805.1195606879396,406.0916958230716
june16,265.11956068793955,4000.0,545.0,810.1195606879396,410.200897173254
june16,265.11956068793955,4000.0,550.0,815.1195606879396,414.31009852343675
june16,265.11956068793955,4000.0,555.0,820.1195606879396,418.4192998736193
june16,265.11956068793955,4000.0,560.0,825.1195606879396,422.52850122380204
june16,265.11956068793955,4000.0,565.0,830.1195606879396,426.6377025739845
june16,265.11956068793955,4000.0,570.0,835.1195606879396,430.7469039241672
june16,265.11956068793955,4000.0,575.0,840.1195606879396,434.8561052743498
june16,265.11956068793955,4000.0,580.0,845.1195606879396,438.9653066245325
june16,265.11956068793955,4000.0,585.0,850.1195606879396,443.074507974715
june16,265.11956068793955,4000.0,590.0,855.1195606879396,447.1837093248977
june16,265.11956068793955,4000.0,595.0,860.1195606879396,451.2929106750803
june16,265.11956068793955,4000.0,600.0,865.1195606879396,455.40211202526285
mean,250.55246955478208,400.0,500.0,750.5524695547821,292.9544308115638
mean,250.55246955478208,400.0,505.0,755.5524695547821,297.0636321617464
mean,250.55246955478208,400.0,510.0,760.5524695547821,301.17283351192907
mean,250.55246955478208,400.0,515.0,765.5524695547821,305.2820348621116
mean,250.55246955478208,400.0,520.0,770.5524695547821,309.39123621229425
mean,250.55246955478208,400.0,525.0,775.5524695547821,313.50043756247686
mean,250.55246955478208,400.0,530.0,780.5524695547821,317.60963891265953
mean,250.55246955478208,400.0,535.0,785.5524695547821,321.71884026284204
mean,250.55246955478208,400.0,540.0,790.5524695547821,325.8280416130247
mean,250.55246955478208,400.0,545.0,795.5524695547821,329.9372429632073
mean,250.55246955478208,400.0,550.0,800.5524695547821,334.0464443133899
mean,250.55246955478208,400.0,555.0,805.5524695547821,338.1556456635725
mean,250.55246955478208,400.0,560.0,810.5524695547821,342.2648470137552
mean,250.55246955478208,400.0,565.0,815.5524695547821,346.3740483639378
mean,250.55246955478208,400.0,570.0,820.5524695547821,350.4832497141204
mean,250.55246955478208,400.0,575.0,825.5524695547821,354.59245106430296
mean,250.55246955478208,400.0,580.0,830.5524695547821,358.7016524144857
mean,250.55246955478208,400.0,585.0,835.5524695547821,362.81085376466825
mean,250.55246955478208,400.0,590.0,840.5524695547821,366.92005511485087
mean,250.55246955478208,400.0,595.0,845.5524695547821,371.0292564650334
mean,250.55246955478208,400.0,600.0,850.5524695547821,375.13845781521616
mean,250.55246955478208,1000.0,500.0,750.5524695547821,338.4823188779144
mean,250.55246955478208,1000.0,505.0,755.5524695547821,342.591520228097
mean,250.55246955478208,1000.0,510.0,760.5524695547821,346.7007215782797
mean,250.55246955478208,1000.0,515.0,765.5524695547821,350.8099229284622
mean,250.55246955478208,1000.0,520.0,770.5524695547821,354.91912427864486
mean,250.55246955478208,1000.0,525.0,775.5524695547821,359.0283256288275
mean,250.55246955478208,1000.0,530.0,780.5524695547821,363.13752697901015
mean,250.55246955478208,1000.0,535.0,785.5524695547821,367.24672832919265
mean,250.55246955478208,1000.0,540.0,790.5524695547821,371.3559296793753
mean,250.55246955478208,1000.0,545.0,795.5524695547821,375.46513102955794
mean,250.55246955478208,1000.0,550.0,800.5524695547821,379.5743323797405
mean,250.55246955478208,1000.0,555.0,805.5524695547821,383.6835337299231
mean,250.55246955478208,1000.0,560.0,810.5524695547821,387.7927350801058
mean,250.55246955478208,1000.0,565.0,815.5524695547821,391.9019364302884
mean,250.55246955478208,1000.0,570.0,820.5524695547821,396.011137780471
mean,250.55246955478208,1000.0,575.0,825.5524695547821,400.1203391306536
mean,250.55246955478208,1000.0,580.0,830.5524695547821,404.2295404808363
mean,250.55246955478208,1000.0,585.0,835.5524695547821,408.33874183101887
mean,250.55246955478208,1000.0,590.0,840.5524695547821,412.4479431812015
mean,250.55246955478208,1000.0,595.0,845.5524695547821,416.55714453138404
mean,250.55246955478208,1000.0,600.0,850.5524695547821,420.66634588156677
mean,250.55246955478208,4000.0,500.0,750.5524695547821,361.24626291108973
mean,250.55246955478208,4000.0,505.0,755.5524695547821,365.35546426127235
mean,250.55246955478208,4000.0,510.0,760.5524695547821,369.464665611455
mean,250.55246955478208,4000.0,515.0,765.5524695547821,373.5738669616375
mean,250.55246955478208,4000.0,520.0,770.5524695547821,377.6830683118202
mean,250.55246955478208,4000.0,525.0,775.5524695547821,381.7922696620028
mean,250.55246955478208,4000.0,530.0,780.5524695547821,385.9014710121855
mean,250.55246955478208,4000.0,535.0,785.5524695547821,390.010672362368
mean,250.55246955478208,4000.0,540.0,790.5524695547821,394.11987371255066
mean,250.55246955478208,4000.0,545.0,795.5524695547821,398.2290750627333
mean,250.55246955478208,4000.0,550.0,800.5524695547821,402.33827641291583
mean,250.55246955478208,4000.0,555.0,805.5524695547821,406.44747776309845
mean,250.55246955478208,4000.0,560.0,810.5524695547821,410.5566791132811
mean,250.55246955478208,4000.0,565.0,815.5524695547821,414.66588046346374
mean,250.55246955478208,4000.0,570.0,820.5524695547821,418.77508181364635
mean,250.55246955478208,4000.0,575.0,825.5524695547821,422.8842831638289
mean,250.55246955478208,4000.0,580.0,830.5524695547821,426.99348451401164
mean,250.55246955478208,4000.0,585.0,835.5524695547821,431.1026858641942
mean,250.55246955478208,4000.0,590.0,840.5524695547821,435.2118872143768
mean,250.55246955478208,4000.0,595.0,845.5524695547821,439.3210885645594
mean,250.55246955478208,4000.0,600.0,850.5524695547821,443.4302899147421
dec16,236.0087607031676,400.0,500.0,736.0087607031676,281.0018252016203
dec16,236.0087607031676,400.0,505.0,741.0087607031676,285.11102655180304
dec16,236.0087607031676,400.0,510.0,746.0087607031676,289.2202279019855
dec16,236.0087607031676,400.0,515.0,751.0087607031676,293.3294292521682
dec16,236.0087607031676,400.0,520.0,756.0087607031676,297.43863060235077
dec16,236.0087607031676,400.0,525.0,761.0087607031676,301.5478319525335
dec16,236.0087607031676,400.0,530.0,766.0087607031676,305.657033302716
dec16,236.0087607031676,400.0,535.0,771.0087607031676,309.7662346528987
dec16,236.0087607031676,400.0,540.0,776.0087607031676,313.8754360030813
dec16,236.0087607031676,400.0,545.0,781.0087607031676,317.98463735326396
dec16,236.0087607031676,400.0,550.0,786.0087607031676,322.09383870344647
dec16,236.0087607031676,400.0,555.0,791.0087607031676,326.20304005362914
dec16,236.0087607031676,400.0,560.0,796.0087607031676,330.31224140381175
dec16,236.0087607031676,400.0,565.0,801.0087607031676,334.4214427539943
dec16,236.0087607031676,400.0,570.0,806.0087607031676,338.53064410417693
dec16,236.0087607031676,400.0,575.0,811.0087607031676,342.6398454543596
dec16,236.0087607031676,400.0,580.0,816.0087607031676,346.7490468045422
dec16,236.0087607031676,400.0,585.0,821.0087607031676,350.8582481547248
dec16,236.0087607031676,400.0,590.0,826.0087607031676,354.9674495049074
dec16,236.0087607031676,400.0,595.0,831.0087607031676,359.0766508550901
dec16,236.0087607031676,400.0,600.0,836.0087607031676,363.1858522052727
dec16,236.0087607031676,1000.0,500.0,736.0087607031676,326.5297132679709
dec16,236.0087607031676,1000.0,505.0,741.0087607031676,330.63891461815365
dec16,236.0087607031676,1000.0,510.0,746.0087607031676,334.7481159683361
dec16,236.0087607031676,1000.0,515.0,751.0087607031676,338.8573173185188
dec16,236.0087607031676,1000.0,520.0,756.0087607031676,342.9665186687014
dec16,236.0087607031676,1000.0,525.0,761.0087607031676,347.0757200188841
dec16,236.0087607031676,1000.0,530.0,766.0087607031676,351.1849213690666
dec16,236.0087607031676,1000.0,535.0,771.0087607031676,355.2941227192493
dec16,236.0087607031676,1000.0,540.0,776.0087607031676,359.4033240694319
dec16,236.0087607031676,1000.0,545.0,781.0087607031676,363.5125254196146
dec16,236.0087607031676,1000.0,550.0,786.0087607031676,367.6217267697971
dec16,236.0087607031676,1000.0,555.0,791.0087607031676,371.73092811997975
dec16,236.0087607031676,1000.0,560.0,796.0087607031676,375.84012947016237
dec16,236.0087607031676,1000.0,565.0,801.0087607031676,379.9493308203449
dec16,236.0087607031676,1000.0,570.0,806.0087607031676,384.05853217052754
dec16,236.0087607031676,1000.0,575.0,811.0087607031676,388.1677335207102
dec16,236.0087607031676,1000.0,580.0,816.0087607031676,392.27693487089283
dec16,236.0087607031676,1000.0,585.0,821.0087607031676,396.3861362210754
dec16,236.0087607031676,1000.0,590.0,826.0087607031676,400.495337571258
dec16,236.0087607031676,1000.0,595.0,831.0087607031676,404.60453892144074
dec16,236.0087607031676,1000.0,600.0,836.0087607031676,408.7137402716233
dec16,236.0087607031676,4000.0,500.0,736.0087607031676,349.29365730114625
dec16,236.0087607031676,4000.0,505.0,741.0087607031676,353.402858651329
dec16,236.0087607031676,4000.0,510.0,746.0087607031676,357.51206000151143
dec16,236.0087607031676,4000.0,515.0,751.0087607031676,361.62126135169416
dec16,236.0087607031676,4000.0,520.0,756.0087607031676,365.7304627018767
dec16,236.0087607031676,4000.0,525.0,761.0087607031676,369.83966405205945
dec16,236.0087607031676,4000.0,530.0,766.0087607031676,373.94886540224195
dec16,236.0087607031676,4000.0,535.0,771.0087607031676,378.0580667524246
dec16,236.0087607031676,4000.0,540.0,776.0087607031676,382.16726810260724
dec16,236.0087607031676,4000.0,545.0,781.0087607031676,386.2764694527899
dec16,236.0087607031676,4000.0,550.0,786.0087607031676,390.3856708029724
dec16,236.0087607031676,4000.0,555.0,791.0087607031676,394.4948721531551
dec16,236.0087607031676,4000.0,560.0,796.0087607031676,398.6040735033377
dec16,236.0087607031676,4000.0,565.0,801.0087607031676,402.71327485352026
dec16,236.0087607031676,4000.0,570.0,806.0087607031676,406.8224762037029
dec16,236.0087607031676,4000.0,575.0,811.0087607031676,410.93167755388555
dec16,236.0087607031676,4000.0,580.0,816.0087607031676,415.04087890406817
dec16,236.0087607031676,4000.0,585.0,821.0087607031676,419.1500802542507
dec16,236.0087607031676,4000.0,590.0,826.0087607031676,423.25928160443334
dec16,236.0087607031676,4000.0,595.0,831.0087607031676,427.36848295461607
dec16,236.0087607031676,4000.0,600.0,836.0087607031676,431.47768430479863
