vmin_kms,eta_std_june16,eta_std_annual,eta_vesc500_june16,eta_vesc500_annual,eta_vesc528_june16,eta_vesc528_annual,eta_vesc560_june16,eta_vesc560_annual,eta_vesc600_june16,eta_vesc600_annual,eta_v0_220_june16,eta_v0_220_annual,eta_v0_250_june16,eta_v0_250_annual,eta_king1_june16,eta_king1_annual,eta_king2_june16,eta_king2_annual,eta_king3_june16,eta_king3_annual,eta_shmpp_june16,eta_shmpp_annual,eta_shmpp_iso_june16,eta_shmpp_iso_annual,eta_shmpp_evans_june16,eta_shmpp_evans_annual,eta_env_low_june16,eta_env_low_annual,eta_env_high_june16,eta_env_high_annual,eta_std_dec16,eta_std_wimpydd_june16,eta_std_wimpydd_annual
5.500000e+00,3.355560e-03,3.460831e-03,3.380033e-03,3.487104e-03,3.362903e-03,3.468693e-03,3.349675e-03,3.454544e-03,3.339859e-03,3.444091e-03,3.596400e-03,3.717635e-03,3.216759e-03,3.313421e-03,3.397808e-03,3.507378e-03,3.672473e-03,3.843827e-03,3.738173e-03,3.935981e-03,3.301875e-03,3.412010e-03,3.264041e-03,3.358342e-03,3.370072e-03,3.484903e-03,4.010253e-03,4.238334e-03,3.195560e-03,3.290814e-03,3.568926e-03,3.355625e-03,3.460905e-03
6.000000e+00,3.355420e-03,3.460671e-03,3.379890e-03,3.486942e-03,3.362763e-03,3.468533e-03,3.349535e-03,3.454385e-03,3.339720e-03,3.443933e-03,3.596228e-03,3.717437e-03,3.216635e-03,3.313281e-03,3.397663e-03,3.507213e-03,3.672362e-03,3.843681e-03,3.738116e-03,3.935893e-03,3.301761e-03,3.411880e-03,3.263910e-03,3.358194e-03,3.369952e-03,3.484764e-03,4.010185e-03,4.238227e-03,3.195438e-03,3.290676e-03,3.568746e-03,3.355491e-03,3.460752e-03
6.500000e+00,3.355268e-03,3.460498e-03,3.379735e-03,3.486766e-03,3.362610e-03,3.468359e-03,3.349384e-03,3.454212e-03,3.339569e-03,3.443762e-03,3.596041e-03,3.717222e-03,3.216501e-03,3.313129e-03,3.397506e-03,3.507033e-03,3.672241e-03,3.843523e-03,3.738053e-03,3.935798e-03,3.301637e-03,3.411737e-03,3.263767e-03,3.358033e-03,3.369820e-03,3.484613e-03,4.010111e-03,4.238110e-03,3.195306e-03,3.290527e-03,3.568551e-03,3.355345e-03,3.460586e-03
7.000000e+00,3.355103e-03,3.460311e-03,3.379568e-03,3.486575e-03,3.362444e-03,3.468171e-03,3.349220e-03,3.454026e-03,3.339406e-03,3.443576e-03,3.595839e-03,3.716990e-03,3.216356e-03,3.312965e-03,3.397336e-03,3.506840e-03,3.672111e-03,3.843352e-03,3.737985e-03,3.935695e-03,3.301503e-03,3.411584e-03,3.263612e-03,3.357859e-03,3.369679e-03,3.484449e-03,4.010031e-03,4.237983e-03,3.195163e-03,3.290365e-03,3.568340e-03,3.355187e-03,3.460405e-03
7.500000e+00,3.354927e-03,3.460110e-03,3.379388e-03,3.486371e-03,3.362267e-03,3.467968e-03,3.349044e-03,3.453825e-03,3.339231e-03,3.443377e-03,3.595622e-03,3.716740e-03,3.216200e-03,3.312789e-03,3.397154e-03,3.506632e-03,3.671971e-03,3.843168e-03,3.737913e-03,3.935584e-03,3.301360e-03,3.411419e-03,3.263446e-03,3.357672e-03,3.369526e-03,3.484274e-03,4.009945e-03,4.237848e-03,3.195010e-03,3.290191e-03,3.568113e-03,3.355016e-03,3.460211e-03
8.000000e+00,3.354738e-03,3.459895e-03,3.379196e-03,3.486152e-03,3.362077e-03,3.467753e-03,3.348855e-03,3.453611e-03,3.339044e-03,3.443164e-03,3.595390e-03,3.716474e-03,3.216034e-03,3.312601e-03,3.396959e-03,3.506410e-03,3.671821e-03,3.842971e-03,3.737835e-03,3.935466e-03,3.301206e-03,3.411243e-03,3.263269e-03,3.357472e-03,3.369364e-03,3.484086e-03,4.009853e-03,4.237702e-03,3.194846e-03,3.290006e-03,3.567871e-03,3.354833e-03,3.460003e-03
8.500000e+00,3.354537e-03,3.459666e-03,3.378991e-03,3.485920e-03,3.361875e-03,3.467523e-03,3.348655e-03,3.453383e-03,3.338845e-03,3.442938e-03,3.595143e-03,3.716190e-03,3.215857e-03,3.312400e-03,3.396752e-03,3.506173e-03,3.671661e-03,3.842762e-03,3.737752e-03,3.935340e-03,3.301043e-03,3.411055e-03,3.263080e-03,3.357260e-03,3.369190e-03,3.483887e-03,4.009755e-03,4.237548e-03,3.194671e-03,3.289808e-03,3.567613e-03,3.354638e-03,3.459781e-03
9.000000e+00,3.354323e-03,3.459423e-03,3.378775e-03,3.485673e-03,3.361661e-03,3.467279e-03,3.348443e-03,3.453142e-03,3.338634e-03,3.442698e-03,3.594881e-03,3.715889e-03,3.215669e-03,3.312188e-03,3.396532e-03,3.505922e-03,3.671492e-03,3.842540e-03,3.737664e-03,3.935206e-03,3.300870e-03,3.410856e-03,3.262880e-03,3.357035e-03,3.369006e-03,3.483675e-03,4.009651e-03,4.237383e-03,3.194486e-03,3.289599e-03,3.567339e-03,3.354431e-03,3.459546e-03
9.500000e+00,3.354098e-03,3.459167e-03,3.378545e-03,3.485412e-03,3.361434e-03,3.467021e-03,3.348218e-03,3.452886e-03,3.338411e-03,3.442444e-03,3.594605e-03,3.715570e-03,3.215470e-03,3.311963e-03,3.396299e-03,3.505657e-03,3.671313e-03,3.842305e-03,3.737571e-03,3.935065e-03,3.300686e-03,3.410646e-03,3.262668e-03,3.356796e-03,3.368812e-03,3.483451e-03,4.009541e-03,4.237210e-03,3.194290e-03,3.289377e-03,3.567050e-03,3.354212e-03,3.459296e-03
1.000000e+01,3.353860e-03,3.458896e-03,3.378304e-03,3.485137e-03,3.361195e-03,3.466749e-03,3.347982e-03,3.452617e-03,3.338176e-03,3.442176e-03,3.594313e-03,3.715235e-03,3.215260e-03,3.311726e-03,3.396054e-03,3.505377e-03,3.671124e-03,3.842057e-03,3.737473e-03,3.934916e-03,3.300493e-03,3.410424e-03,3.262445e-03,3.356545e-03,3.368607e-03,3.483216e-03,4.009425e-03,4.237026e-03,3.194083e-03,3.289144e-03,3.566745e-03,3.353980e-03,3.459033e-03
