width,mode,E_keV,f,BR,decays,Ne_mean,sigma_Ne,log10S2c_mean,S1c_mean,S1c_min_in_ROI,P_in_ROI,N_in_ROI
cal,KK,64.3,0.0,0.724,563.972127850864,1118.3103491653558,135.11620771921187,4.586381439076297,403.2362730524152,481.21298250161794,2.9432139226605616e-13,1.6598906186831652e-10
cal,KK,64.3,0.1,0.724,563.972127850864,1006.4793142488202,135.06707479291512,4.540623948515623,415.5376868932341,481.21298250161794,1.5586804774506985e-09,8.790523455074711e-07
cal,KK,64.3,0.2,0.724,563.972127850864,894.6482793322847,135.01220031255627,4.489471426068241,427.839100734053,481.21298250161794,1.5352566527931932e-06,0.0008658419612729724
cal,KK,64.3,0.3,0.724,563.972127850864,782.817244415749,134.9515772741834,4.431479479090554,440.14051457487193,481.21298250161794,0.0002945694732479076,0.16612897262753062
cal,KL,36.7,0.0,0.2,155.7934054836641,658.2401994718194,63.64782236210939,4.356203496695672,227.95734323079313,255.32633621370684,1.3479988640478098e-07,2.10009333618119e-05
cal,KL,36.7,0.1,0.2,155.7934054836641,592.4161795246375,63.58853506238285,4.310446006134997,235.19798542498316,255.32633621370684,0.00015976476606270607,0.0248902969812099
cal,KL,36.7,0.2,0.2,155.7934054836641,526.5921595774556,63.52180832523327,4.259293483687616,242.4386276191731,255.32633621370684,0.016710653635060857,2.603409637664101
cal,KL,36.7,0.3,0.2,155.7934054836641,460.7681396302736,63.447618678891146,4.201301536709929,249.67926981336313,255.32633621370684,0.21304826799614518,33.19151520351578
cal,KM_KN,33.2,0.0,0.056,43.622153535425944,605.910951029909,55.753084768361894,4.32022789693254,205.06851483448708,226.68129048879067,2.546302350421581e-06,0.00011107519207770616
cal,KM_KN,33.2,0.1,0.056,43.622153535425944,545.3198559269182,55.692069224061136,4.274470406371864,211.7335352958161,226.68129048879067,0.001522137305360688,0.06639890723644346
cal,KM_KN,33.2,0.2,0.056,43.622153535425944,484.72876082392725,55.62308839659085,4.223317883924483,218.3985557571451,226.68129048879067,0.07043810725213795,3.072661929297561
cal,KM_KN,33.2,0.3,0.056,43.622153535425944,424.1376657209363,55.546112610516445,4.165325936946797,225.0635762184741,226.68129048879067,0.42725018703576456,18.637573256913573
cal,LL_LM_MM,9.8,0.0,0.02,15.579340548366408,243.09409600243686,15.7192250975113,3.923593506385967,53.46577746949747,35.16869907077911,0.9999999999999993,15.579340548366398
cal,LL_LM_MM,9.8,0.1,0.02,15.579340548366408,218.7846864021932,15.670637162776497,3.877836015825292,56.13981252552427,35.16869907077911,1.0,15.579340548366408
cal,LL_LM_MM,9.8,0.2,0.02,15.579340548366408,194.4752768019495,15.606553856127727,3.8266834933779106,58.81384758155108,35.16869907077911,1.0,15.579340548366408
