tail,f,N_I125_K,N_V,N_G,P_0_in_G,P_ge1_in_V
nest_skew,0.1,100,5.474423515333532e-12,4.574889268824535e-08,0.9999999542511083,5.474398712124184e-12
nest_skew,0.1,1000,5.4744235153335315e-11,4.5748892688245356e-07,0.9999995425111777,5.474420916584677e-11
nest_skew,0.1,10000,5.474423515333531e-10,4.574889268824535e-06,0.999995425121196,5.474423137030726e-10
nest_skew,0.2,100,3.469285291508983e-08,5.411195323232281e-05,0.999945889510793,3.469285236867847e-08
nest_skew,0.2,1000,3.469285291508983e-07,0.0005411195323232281,0.9994590268464469,3.469284689527896e-07
nest_skew,0.2,10000,3.469285291508983e-06,0.005411195323232281,0.9946034188222999,3.469279273526915e-06
nest_skew,0.25,100,1.4746275603550456e-06,0.0010108030149870374,0.9989897076742973,1.4746264730414183e-06
nest_skew,0.25,1000,1.4746275603550455e-05,0.010108030149870375,0.9899428842942358,1.4746166877799283e-05
nest_skew,0.25,10000,0.00014746275603550455,0.10108030149870376,0.9038604486229471,0.00014745188393772146
nest_skew,0.3,100,4.140707062879014e-05,0.012683739437325729,0.9873963601738849,4.140621336790051e-05
nest_skew,0.3,1000,0.00041407070628790137,0.12683739437325728,0.880876896492173,0.00041398499084410734
nest_skew,0.3,10000,0.004140707062879014,1.2683739437325727,0.28128864126606656,0.0041321461555346994
nest_skew,0.4,100,0.009561564466027097,0.6301787140386628,0.5324966278798209,0.009515998052884389
nest_skew,0.4,1000,0.09561564466027096,6.301787140386628,0.0018330259733136637,0.09118674382391545
nest_skew,0.4,10000,0.9561564466027096,63.01787140386627,4.2823897216955e-28,0.6156326129255665
gauss,0.1,100,2.796792205282919e-06,0.00025146639145224924,0.9997485652235707,2.796788294290309e-06
gauss,0.1,1000,2.7967922052829188e-05,0.0025146639145224928,0.9974884952041836,2.7967530954131625e-05
gauss,0.1,10000,0.0002796792205282919,0.025146639145224928,0.9751669039020544,0.0002796401139409932
gauss,0.2,100,0.00018251533253298673,0.008771044107893887,0.9912673092844664,0.00018249867762298866
gauss,0.2,1000,0.0018251533253298671,0.08771044107893887,0.9160260818491417,0.0018234887458576932
gauss,0.2,10000,0.01825153325329867,0.8771044107893887,0.41598569314552036,0.018085982733874295
gauss,0.25,100,0.001150717873846668,0.04064503759255661,0.9601698936820793,0.0011500560519152048
gauss,0.25,1000,0.01150717873846668,0.4064503759255661,0.6660101449330433,0.011441224382468529
gauss,0.25,10000,0.1150717873846668,4.064503759255661,0.017171508361759374,0.10869784264067928
gauss,0.3,100,0.006149727439297046,0.1603128997151234,0.8518771951281428,0.006130856568894338
gauss,0.3,1000,0.06149727439297046,1.6031289971512341,0.20126577168133136,0.059644491224479235
gauss,0.3,10000,0.6149727439297046,16.03128997151234,1.0906847166661519e-07,0.4593443687436152
gauss,0.4,100,0.10694887077869085,1.540104815446399,0.2143586321537164,0.1014283849172265
gauss,0.4,1000,1.0694887077869084,15.40104815446399,2.048376435112674e-07,0.6568160601550743
gauss,0.4,10000,10.694887077869085,154.0104815446399,1.3004621300623824e-67,0.9999773394963873
exp_tail,0.1,100,0.0014106492985753371,0.012301523906367183,0.9877738305308764,0.0014096548005377851
exp_tail,0.1,1000,0.014106492985753371,0.12301523906367183,0.8842501873132398,0.014007462617523392
exp_tail,0.1,10000,0.14106492985753372,1.2301523906367182,0.29224803842260777,0.1315670773589237
exp_tail,0.2,100,0.007262418418396809,0.06336532994757368,0.9386005121699871,0.00723611078196662
exp_tail,0.2,1000,0.07262418418396809,0.6336532994757368,0.5306496334794121,0.07004974562420119
exp_tail,0.2,10000,0.7262418418396809,6.336532994757368,0.0017704296977708864,0.5162765122572048
exp_tail,0.25,100,0.016484044180679096,0.14386618837009013,0.8660036216625367,0.016348925775724776
exp_tail,0.25,1000,0.16484044180679097,1.4386618837009015,0.23724500778848556,0.15197099673086722
exp_tail,0.25,10000,1.6484044180679096,14.386618837009015,5.648990258907706e-07,0.807643415416742
exp_tail,0.3,100,0.0374249726241417,0.32672861505546436,0.7212794608544486,0.03673331361854515
exp_tail,0.3,1000,0.37424972624141695,3.2672861505546438,0.038109710881171814,0.3121948726089595
exp_tail,0.3,10000,3.7424972624141692,32.672861505546436,6.4618450557757106e-15,0.9763051430901563
exp_tail,0.4,100,0.19308369015443996,1.6867521938084822,0.18511978187846925,0.1755870239973678
exp_tail,0.4,1000,1.9308369015443998,16.86752193808482,4.7263763326709104e-08,0.8549732254508278
exp_tail,0.4,10000,19.308369015443997,168.6752193808482,5.562666061008386e-74,0.9999999958839383
