width,tail,line,f,rho_G_over_V,muV_best,L_best,L_bkg_floor,L_ratio_best_over_floor,N_line_assumed,muV_pred,muG_pred,P_0_in_G_pred,L_pred
cal,nest_skew,Xe124_KK,0.2,2440.9412671156592,0.0004095102586890499,0.00015065040512050046,0.00015997440204789079,0.9417156944609235,563.972127850864,2.2005115611284446e-07,0.0005371319478323523,0.9994630122817078,2.1993294294811216e-07
cal,nest_skew,Xe124_KK,0.3,430.15004052281193,0.002319378188593932,0.000853251551885168,0.00015997440204789079,5.33367551909795,563.972127850864,0.0002420646566718892,0.1041241218765537,0.9011134425880507,0.0002180749214819053
cal,nest_skew,Xe124_KK,0.4,84.38988251121756,0.011710989295115042,0.004308232197451665,0.00015997440204789079,26.930759810947315,563.972127850864,0.0504843168319398,4.260365566106483,0.014117140718584532,0.0006776074421018541
cal,nest_skew,I125_K,0.2,1559.7435403989664,0.0006407202555164022,0.0002357078095465978,0.00015997440204789079,1.4734095363334132,500.0,1.7346426457544915e-07,0.00027055976616161405,0.9997294768318312,1.7341730839132364e-07
cal,nest_skew,I125_K,0.3,306.3182022953052,0.0032539562984918472,0.0011970636246854758,0.00015997440204789079,7.482844813679106,500.0,0.00020703535314395069,0.06341869718662864,0.9385504229886495,0.00019427289274599464
cal,nest_skew,I125_K,0.4,65.90748995917264,0.01494600979068571,0.0054983297295403645,0.00015997440204789079,34.37005957924666,500.0,0.04780782233013548,3.150893570193314,0.04281385258667647,0.0019512845136478117
cal,gauss,Xe124_KK,0.2,68.02287291686436,0.01448795098987643,0.005329819313874986,0.00015997440204789079,33.31670095744082,563.972127850864,0.0008446279446358584,0.05745401933999734,0.9441653027321216,0.0007967951193237881
cal,gauss,Xe124_KK,0.3,35.396133571274895,0.027475445930037885,0.010107651694678517,0.00015997440204789079,63.182931552090665,563.972127850864,0.02783513711983584,0.9852562314684614,0.37334355231310995,0.010106793072498971
cal,gauss,Xe124_KK,0.4,18.816348673594526,0.05046338336448983,0.018564441271748777,0.00015997440204789079,116.04632387493612,563.972127850864,0.46874679761116134,8.820103183482457,0.00014773311582819644,4.333532158158889e-05
cal,gauss,I125_K,0.2,48.05647824852557,0.020384667544496138,0.007499100104734877,0.00015997440204789079,46.87687535465772,500.0,0.0009125766626649336,0.043855220539469435,0.9570925147806463,0.0008726235936039497
cal,gauss,I125_K,0.3,26.06829348089746,0.036943592351166,0.01359078810901252,0.00015997440204789079,84.9560175567583,500.0,0.03074863719648523,0.8015644985756171,0.4486265392075366,0.01337694280503821
